dataset,feature_family,model,evaluation_stage,fold,n_subjects,n_train_subjects,feature_count,threshold,auroc,auprc,balanced_accuracy,macro_f1,sensitivity,specificity,ppv,npv,brier_score,ece,mce,tn,fp,fn,tp
no_information,none,no_information_majority,cv_fold,0,720,2877,0,0.5,0.5,0.30277777777777776,0.5,0.41080196399345337,0.0,1.0,0.0,0.6972222222222222,0.21111298273431123,0.0030963967095354317,0.0030963967095354317,502,0,218,0
no_information,none,no_information_majority,cv_fold,1,720,2877,0,0.5,0.5,0.30277777777777776,0.5,0.41080196399345337,0.0,1.0,0.0,0.6972222222222222,0.21111298273431123,0.0030963967095354317,0.0030963967095354317,502,0,218,0
no_information,none,no_information_majority,cv_fold,2,719,2878,0,0.5,0.5,0.3101529902642559,0.5,0.4082304526748971,0.0,1.0,0.0,0.6898470097357441,0.21399559684115294,0.006122413474818789,0.006122413474818789,496,0,223,0
no_information,none,no_information_majority,cv_fold,3,719,2878,0,0.5,0.5,0.30737134909596664,0.5,0.40920295809367296,0.0,1.0,0.0,0.6926286509040334,0.2129012033481053,0.0026458452738680194,0.0026458452738680194,498,0,221,0
no_information,none,no_information_majority,cv_fold,4,719,2878,0,0.5,0.5,0.3031988873435327,0.5,0.41065573770491803,0.0,1.0,0.0,0.6968011126564673,0.2112759218542841,0.002569007027558301,0.002569007027558301,501,0,218,0
no_information,none,no_information_stratified_random,cv_fold,0,720,2877,0,0.5,0.458304397090537,0.28873376767273856,0.45830439709053694,0.45754853665604167,0.22935779816513763,0.6872509960159362,0.24154589371980675,0.672514619883041,0.4513888888888889,0.4513888888888889,0.7584541062801933,345,157,168,50
no_information,none,no_information_stratified_random,cv_fold,1,720,2877,0,0.5,0.47544683650718234,0.2936701264920183,0.47544683650718234,0.4746840901727044,0.24770642201834864,0.703187250996016,0.2660098522167488,0.6827852998065764,0.43472222222222223,0.4347222222222222,0.7339901477832512,353,149,164,54
no_information,none,no_information_stratified_random,cv_fold,2,719,2878,0,0.5,0.4906019456097208,0.3063134135377846,0.4906019456097208,0.4900603195945119,0.273542600896861,0.7076612903225806,0.2961165048543689,0.6842105263157895,0.42698191933240615,0.4269819193324061,0.7038834951456311,351,145,162,61
no_information,none,no_information_stratified_random,cv_fold,3,719,2878,0,0.5,0.49268113176688655,0.3043637511487165,0.49268113176688655,0.4924003322259136,0.28054298642533937,0.7048192771084337,0.2966507177033493,0.6882352941176471,0.42559109874826145,0.4255910987482615,0.7033492822966507,351,147,159,62
no_information,none,no_information_stratified_random,cv_fold,4,719,2878,0,0.5,0.5000824039993408,0.303233719843053,0.5000824039993408,0.5000265674200263,0.29357798165137616,0.7065868263473054,0.3033175355450237,0.6968503937007874,0.41863699582753827,0.4186369958275382,0.6966824644549763,354,147,154,64
demographics,demographics,demographics_logistic_regression,cv_fold,0,720,2877,4,0.5,0.6732016886582113,0.4166715721870424,0.6204174129171388,0.5862268518518519,0.6651376146788991,0.5756972111553785,0.40502793296089384,0.7983425414364641,0.22758851312638445,0.17777855598524897,0.3467783413548141,289,213,73,145
demographics,demographics,demographics_logistic_regression,cv_fold,1,720,2877,4,0.5,0.6692724514784898,0.42450669387579437,0.6245842318798202,0.5975323149236194,0.6376146788990825,0.6115537848605578,0.4161676646706587,0.7953367875647669,0.226319814429612,0.17299429859260454,0.26531298325493513,307,195,79,139
demographics,demographics,demographics_logistic_regression,cv_fold,2,719,2878,4,0.5,0.6750280269058295,0.4458618914565381,0.6166506943439896,0.5948764601146168,0.6143497757847534,0.6189516129032258,0.42024539877300615,0.7811704834605598,0.22772095460082478,0.17088528025126484,0.24624528012498081,307,189,86,137
demographics,demographics,demographics_logistic_regression,cv_fold,3,719,2878,4,0.5,0.6658307437896382,0.44236399137162175,0.61243162696033,0.5831732507569836,0.6425339366515838,0.5823293172690763,0.4057142857142857,0.7859078590785907,0.2283237472243288,0.17312499314648747,0.27999418031129575,290,208,79,142
demographics,demographics,demographics_logistic_regression,cv_fold,4,719,2878,4,0.5,0.6704023146367816,0.43520101723818827,0.6300792909593657,0.6012006721153689,0.6513761467889908,0.6087824351297405,0.42011834319526625,0.800524934383202,0.22987757713454557,0.1821054058600472,0.28292906453291256,305,196,76,142
demographics,demographics,demographics_lightgbm,cv_fold,0,720,2877,4,0.5,0.6672118863993566,0.4147070321172642,0.6289520815819292,0.5653359298928919,0.7798165137614679,0.47808764940239046,0.39351851851851855,0.8333333333333334,0.22931899057592123,0.17580310640105412,0.3781321262320808,240,262,48,170
demographics,demographics,demographics_lightgbm,cv_fold,1,720,2877,4,0.5,0.6807403413867466,0.435839518701472,0.6356226470265727,0.5753125,0.7752293577981652,0.4960159362549801,0.4004739336492891,0.8355704697986577,0.2250145144670173,0.17183523007050852,0.28849808610142286,249,253,49,169
demographics,demographics,demographics_lightgbm,cv_fold,2,719,2878,4,0.5,0.6648524519022132,0.43278482702730703,0.6187029871257053,0.5791275187761055,0.695067264573991,0.5423387096774194,0.40575916230366493,0.798219584569733,0.2289694916916412,0.16649479851769958,0.21757195327398804,269,227,68,155
