dataset,feature_family,model,evaluation_stage,fold,n_subjects,n_train_subjects,feature_count,threshold,auroc,auprc,balanced_accuracy,macro_f1,sensitivity,specificity,ppv,npv,brier_score,ece,mce,tn,fp,fn,tp
no_information,none,no_information_majority,cv_fold,0,10,65,0,0.5,0.5,0.5,0.5,0.3333333333333333,0.0,1.0,,0.5,0.2505325443786982,0.023076923076923106,0.023076923076923106,5,0,5,0
no_information,none,no_information_majority,cv_fold,1,20,55,0,0.5,0.5,0.3,0.5,0.23076923076923078,1.0,0.0,0.3,,0.27024793388429746,0.24545454545454531,0.24545454545454531,0,14,0,6
no_information,none,no_information_majority,cv_fold,2,14,61,0,0.5,0.5,0.5714285714285714,0.5,0.3,0.0,1.0,,0.42857142857142855,0.25753445694321797,0.11241217798594855,0.11241217798594855,6,0,8,0
no_information,none,no_information_majority,cv_fold,3,16,59,0,0.5,0.5,0.5625,0.5,0.30434782608695654,0.0,1.0,,0.4375,0.25709207124389544,0.1048728813559322,0.1048728813559322,7,0,9,0
no_information,none,no_information_majority,cv_fold,4,15,60,0,0.5,0.5,0.5333333333333333,0.5,0.3181818181818182,0.0,1.0,,0.4666666666666667,0.25333333333333335,0.0666666666666666,0.0666666666666666,7,0,8,0
no_information,none,no_information_stratified_random,cv_fold,0,10,65,0,0.5,0.9,0.8333333333333334,0.9,0.898989898989899,1.0,0.8,0.8333333333333334,1.0,0.1,0.09999999999999998,0.16666666666666663,4,1,0,5
no_information,none,no_information_stratified_random,cv_fold,1,20,55,0,0.5,0.45238095238095233,0.2833333333333333,0.45238095238095233,0.45054945054945056,0.3333333333333333,0.5714285714285714,0.25,0.6666666666666666,0.5,0.5,0.75,8,6,4,2
no_information,none,no_information_stratified_random,cv_fold,2,14,61,0,0.5,0.5833333333333334,0.6190476190476191,0.5833333333333333,0.5714285714285714,0.5,0.6666666666666666,0.6666666666666666,0.5,0.42857142857142855,0.4285714285714286,0.5,4,2,4,4
no_information,none,no_information_stratified_random,cv_fold,3,16,59,0,0.5,0.5634920634920635,0.5972222222222222,0.5634920634920635,0.5607843137254902,0.5555555555555556,0.5714285714285714,0.625,0.5,0.4375,0.4375,0.5,4,3,4,5
no_information,none,no_information_stratified_random,cv_fold,4,15,60,0,0.5,0.45535714285714285,0.5125,0.45535714285714285,0.4444444444444444,0.625,0.2857142857142857,0.5,0.4,0.5333333333333333,0.5333333333333333,0.6,2,5,3,5
demographics,demographics,demographics_logistic_regression,cv_fold,0,10,65,4,0.5,0.9600000000000001,0.9428571428571428,0.8,0.7916666666666667,1.0,0.6,0.7142857142857143,1.0,0.13684367016134721,0.24134968082592206,0.44070153284359553,3,2,0,5
demographics,demographics,demographics_logistic_regression,cv_fold,1,20,55,4,0.5,0.7916666666666667,0.5944444444444444,0.6309523809523809,0.6415770609318996,0.3333333333333333,0.9285714285714286,0.6666666666666666,0.7647058823529411,0.19241079234003317,0.18747178020372804,0.6761440408407036,13,1,4,2
demographics,demographics,demographics_logistic_regression,cv_fold,2,14,61,4,0.5,0.8645833333333334,0.9126984126984127,0.8125,0.7846153846153847,0.625,1.0,1.0,0.6666666666666666,0.170406672403905,0.16319794088139536,0.4131480172730191,6,0,3,5
demographics,demographics,demographics_logistic_regression,cv_fold,3,16,59,4,0.5,0.7063492063492064,0.8113756613756615,0.5634920634920635,0.5607843137254902,0.5555555555555556,0.5714285714285714,0.625,0.5,0.21400729635224022,0.15421080694906253,0.5065067313610407,4,3,4,5
demographics,demographics,demographics_logistic_regression,cv_fold,4,15,60,4,0.5,0.5714285714285714,0.6682088744588746,0.5535714285714286,0.49760765550239233,0.25,0.8571428571428571,0.6666666666666666,0.5,0.26114463733392573,0.17547577333539296,0.2671774224201929,6,1,6,2
demographics,demographics,demographics_lightgbm,cv_fold,0,10,65,4,0.5,0.96,0.9428571428571428,0.8,0.7916666666666667,1.0,0.6,0.7142857142857143,1.0,0.15268121437148602,0.278042868971568,0.4130184867039628,3,2,0,5
demographics,demographics,demographics_lightgbm,cv_fold,1,20,55,4,0.5,0.6309523809523809,0.4547619047619048,0.5952380952380952,0.5,0.8333333333333334,0.35714285714285715,0.35714285714285715,0.8333333333333334,0.24916918580457428,0.2635466496217644,0.43626361285436727,5,9,1,5
demographics,demographics,demographics_lightgbm,cv_fold,2,14,61,4,0.5,0.75,0.8005952380952381,0.7083333333333333,0.7083333333333333,0.75,0.6666666666666666,0.75,0.6666666666666666,0.21636767159642697,0.18781354740344627,0.24776431259718262,4,2,2,6
demographics,demographics,demographics_lightgbm,cv_fold,3,16,59,4,0.5,0.7063492063492063,0.7548076923076923,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.21371583536340924,0.09489823129523248,0.2648777396681189,4,3,3,6
demographics,demographics,demographics_lightgbm,cv_fold,4,15,60,4,0.5,0.5982142857142857,0.6345238095238095,0.5357142857142857,0.5333333333333333,0.5,0.5714285714285714,0.5714285714285714,0.5,0.2561548452408115,0.14971629227113947,0.25633914669255503,4,3,4,4
eeg_rest,tabular_numeric,eeg_rest_logistic_regression,cv_fold,0,17,60,533,0.5,0.5555555555555556,0.5802353896103896,0.5347222222222222,0.5277777777777778,0.625,0.4444444444444444,0.5,0.5714285714285714,0.3610045178628325,0.4327583356492022,0.6664917440094309,4,5,3,5
eeg_rest,tabular_numeric,eeg_rest_logistic_regression,cv_fold,1,16,61,533,0.5,0.6727272727272727,0.8062409812409812,0.6272727272727273,0.5607843137254902,0.45454545454545453,0.8,0.8333333333333334,0.4,0.3156127212422871,0.3435128192122097,0.8797972383436204,4,1,6,5
eeg_rest,tabular_numeric,eeg_rest_logistic_regression,cv_fold,2,19,58,533,0.5,0.5119047619047619,0.6887649387649388,0.3392857142857143,0.3157894736842105,0.25,0.42857142857142855,0.42857142857142855,0.25,0.4387441624603886,0.5209042569513648,0.8526464486349756,3,4,9,3
eeg_rest,tabular_numeric,eeg_rest_logistic_regression,cv_fold,3,12,65,533,0.5,0.6,0.26666666666666666,0.65,0.4125874125874126,1.0,0.3,0.2222222222222222,1.0,0.5360815390328447,0.6096969543122652,0.8928673272297194,3,7,0,2
eeg_rest,tabular_numeric,eeg_rest_logistic_regression,cv_fold,4,13,64,533,0.5,0.6666666666666667,0.7519230769230769,0.7619047619047619,0.7636363636363637,0.6666666666666666,0.8571428571428571,0.8,0.75,0.23476926443935026,0.27588759554304537,0.34114113159590675,6,1,2,4
eeg_rest,tabular_numeric,eeg_rest_random_forest,cv_fold,0,17,60,533,0.5,0.4444444444444445,0.5036625445632799,0.5277777777777778,0.5277777777777778,0.5,0.5555555555555556,0.5,0.5555555555555556,0.28352701753479276,0.30517438145146825,0.7365232945297913,5,4,4,4
eeg_rest,tabular_numeric,eeg_rest_random_forest,cv_fold,1,16,61,533,0.5,0.4727272727272728,0.7413862652499016,0.5272727272727272,0.4920634920634921,0.45454545454545453,0.6,0.7142857142857143,0.3333333333333333,0.30005036062266355,0.3492513413306322,0.585152843486384,3,2,6,5
eeg_rest,tabular_numeric,eeg_rest_random_forest,cv_fold,2,19,58,533,0.5,0.5,0.7040513000071824,0.4642857142857143,0.4602272727272727,0.5,0.42857142857142855,0.6,0.3333333333333333,0.2633958572549348,0.19133220281926155,0.6521554398233831,3,4,6,6
eeg_rest,tabular_numeric,eeg_rest_random_forest,cv_fold,3,12,65,533,0.5,0.8,0.41666666666666663,0.55,0.24475524475524477,1.0,0.1,0.18181818181818182,1.0,0.3080872092609617,0.427900095567991,0.703730103274821,1,9,0,2
