feature,n,r_half,spearman_brown
signal_early_happy_eyes_share,322,0.6902268622949953,0.8167268876058484
signal_early_happy_mouth_share,322,0.5056949103379486,0.671709662914975
signal_early_happy_face_other_share,322,0.3745211254304634,0.5449477909088859
signal_early_happy_off_face_share,322,0.7490388287523052,0.8565148085210205
signal_early_happy_n_fixations,322,0.6323657515384549,0.7747843900087581
signal_early_happy_mean_fixation_ms,322,0.7266232352151785,0.8416697058112088
signal_early_happy_scanpath,322,0.6097717375870026,0.757587828571312
signal_early_happy_bcea,322,0.6365160124116933,0.7778915789203619
signal_early_happy_pupil_delta,321,0.7641067146076187,0.8662817371312767
signal_early_happy_eyes_share_sd,322,0.23189252823248696,0.3764817513183641
signal_early_happy_pupil_delta_sd,321,0.27050940559298237,0.4258282613291289
signal_early_neutral_eyes_share,322,0.7160514371849612,0.8345337694068001
signal_early_neutral_mouth_share,322,0.5814998678217906,0.7353777001862086
signal_early_neutral_face_other_share,322,0.5454941441067556,0.7059155108245759
signal_early_neutral_off_face_share,322,0.6641787310836772,0.7982060083788937
signal_early_neutral_n_fixations,322,0.5987879157433819,0.7490523412731275
signal_early_neutral_mean_fixation_ms,322,0.7478209103852974,0.855718003992119
signal_early_neutral_scanpath,322,0.6140728966965898,0.7608985913255466
signal_early_neutral_bcea,322,0.3075782808488081,0.4704548635499592
signal_early_neutral_pupil_delta,321,0.6764432016580619,0.806998055155147
signal_early_neutral_eyes_share_sd,322,0.3142175901281154,0.4781819882619044
signal_early_neutral_pupil_delta_sd,321,0.3127226016206723,0.4764488723430046
signal_early_sad_eyes_share,322,0.6220042779691536,0.7669576294187587
signal_early_sad_mouth_share,322,0.44923774535816197,0.6199641802003137
signal_early_sad_face_other_share,322,0.4395897646117823,0.6107153237927161
signal_early_sad_off_face_share,322,0.658427349111489,0.7940382187549485
signal_early_sad_n_fixations,322,0.6250197027578112,0.7692456918486514
signal_early_sad_mean_fixation_ms,322,0.7022830058513221,0.825107227690505
signal_early_sad_scanpath,322,0.613711068593669,0.7606207586200809
signal_early_sad_bcea,322,0.4172306917839505,0.5887971438986521
signal_early_sad_pupil_delta,320,0.6634260556000979,0.7976622145199718
signal_early_sad_eyes_share_sd,322,0.16772572701542973,0.2872690446653377
signal_early_sad_pupil_delta_sd,320,0.12221219014320298,0.2178058502957587
signal_contrast_early_sad_minus_neutral_eyes_share,322,-0.0938331244248521,-0.20709899457601744
