feature,n,r_half,spearman_brown
signal_early_happy_eyes_share,249,0.7610523728269015,0.8643154338507653
signal_early_happy_mouth_share,249,0.6141303969349822,0.7609427318897329
signal_early_happy_face_other_share,249,0.5563414120378314,0.7149349207502909
signal_early_happy_off_face_share,249,0.5722534046948343,0.7279404235806447
signal_early_happy_n_fixations,249,0.694963632465214,0.8200336799609497
signal_early_happy_mean_fixation_ms,249,0.7707629338474907,0.8705433337400924
signal_early_happy_scanpath,249,0.6383567967783256,0.7792646852426702
signal_early_happy_bcea,249,0.40752797239007493,0.5790690918889032
signal_early_happy_pupil_delta,249,0.6637586190879912,0.7979025460458179
signal_early_happy_eyes_share_sd,248,0.3558126250686636,0.5248699097349737
signal_early_happy_pupil_delta_sd,248,0.24766622379665956,0.39700717879980596
signal_early_neutral_eyes_share,249,0.7301172359169001,0.84400897321847
signal_early_neutral_mouth_share,249,0.5932942457494316,0.7447390804708092
signal_early_neutral_face_other_share,249,0.6537517754111266,0.7906286603968753
signal_early_neutral_off_face_share,249,0.5754290424337808,0.7305045507410944
signal_early_neutral_n_fixations,249,0.6550316658372104,0.7915639070335946
signal_early_neutral_mean_fixation_ms,248,0.7353654962744455,0.8475050332084608
signal_early_neutral_scanpath,249,0.668086790255299,0.8010216184891062
signal_early_neutral_bcea,249,0.3987447373054291,0.5701465416392976
signal_early_neutral_pupil_delta,249,0.6231257556150411,0.767809584019476
signal_early_neutral_eyes_share_sd,249,0.3665913888209094,0.5365047545590101
signal_early_neutral_pupil_delta_sd,249,0.2847243474942867,0.4432458185284808
signal_early_sad_eyes_share,249,0.6897842135722264,0.8164169223879933
signal_early_sad_mouth_share,249,0.45498675037067243,0.6254170359348771
signal_early_sad_face_other_share,249,0.5507311454983211,0.7102857862848249
signal_early_sad_off_face_share,249,0.517386192863355,0.6819439840651655
signal_early_sad_n_fixations,249,0.692313340042121,0.8181857622476575
signal_early_sad_mean_fixation_ms,248,0.7192597333366421,0.8367086361532395
signal_early_sad_scanpath,249,0.5867584620765274,0.7395687196256197
signal_early_sad_bcea,249,0.5729691632443095,0.728519257253001
signal_early_sad_pupil_delta,249,0.5701456965711743,0.7262328557359197
signal_early_sad_eyes_share_sd,249,0.35963249414462145,0.5290142677428068
signal_early_sad_pupil_delta_sd,249,0.29798312336787197,0.4591479164916972
signal_contrast_early_sad_minus_neutral_eyes_share,249,0.02118802592513841,0.04149681623213954
signal_contrast_early_sad_minus_neutral_mouth_share,249,-0.0017882930409065432,-0.003582993524198023
signal_contrast_early_sad_minus_neutral_off_face_share,249,-0.27304704272075553,-0.7512096621566393
signal_contrast_early_sad_minus_neutral_n_fixations,249,-0.1389590767549597,-0.322769970633356
signal_contrast_early_sad_minus_neutral_mean_fixation_ms,248,-0.12586857235039559,-0.28798546389948587
signal_contrast_early_sad_minus_neutral_scanpath,249,-0.03533362401158697,-0.07325563509018039
signal_contrast_early_sad_minus_neutral_pupil_delta,249,-0.081517870375641,-0.17750562095090558
signal_contrast_early_happy_minus_neutral_eyes_share,249,-0.11381073048029791,-0.25685422831170407
signal_contrast_early_happy_minus_neutral_mouth_share,249,0.2782304274745305,0.4353368868307188
signal_contrast_early_happy_minus_neutral_off_face_share,249,-0.2579381786640624,-0.6951932338998252
signal_contrast_early_happy_minus_neutral_n_fixations,249,-0.061235603320204335,-0.1304600036745775
signal_contrast_early_happy_minus_neutral_mean_fixation_ms,248,-0.07718059842526506,-0.16727129553964964
signal_contrast_early_happy_minus_neutral_scanpath,249,0.035520564993200374,0.06860426763892152
signal_contrast_early_happy_minus_neutral_pupil_delta,249,-0.030592269131888762,-0.06311538098523967
signal_contrast_early_sad_minus_happy_eyes_share,249,0.11646267823527229,0.20862798283478332
signal_contrast_early_sad_minus_happy_mouth_share,249,0.0892928771696919,0.16394649968097003
signal_contrast_early_sad_minus_happy_off_face_share,249,-0.06639181616114691,-0.14222629430721992
signal_contrast_early_sad_minus_happy_n_fixations,249,0.07347073359267611,0.13688446511584967
signal_contrast_early_sad_minus_happy_mean_fixation_ms,248,0.1723059591422737,0.2939607323472835
signal_contrast_early_sad_minus_happy_scanpath,249,0.03846480524637181,0.07408013261893104
signal_contrast_early_sad_minus_happy_pupil_delta,249,-0.03217054466653773,-0.06647978006714722
signal_late_happy_eyes_share,249,0.7123042057126346,0.8319832461267415
signal_late_happy_mouth_share,249,0.5585093900818857,0.7167225217071563
signal_late_happy_face_other_share,249,0.5759544297658931,0.7309277716252883
signal_late_happy_off_face_share,249,0.6513182468442733,0.7888464238664656
signal_late_happy_n_fixations,249,0.6933785291875323,0.8189291611252554
signal_late_happy_mean_fixation_ms,249,0.7694360218296071,0.869696346561325
signal_late_happy_scanpath,249,0.5960131237569857,0.7468774722277742
signal_late_happy_bcea,249,0.4061483226419047,0.5776749381300311
signal_late_happy_pupil_delta,249,0.44157419042165375,0.612627769497587
signal_late_happy_eyes_share_sd,249,0.413615393603668,0.5851880157434567
signal_late_happy_pupil_delta_sd,249,0.317442417178569,0.48190708457437226
signal_late_neutral_eyes_share,249,0.700264941634738,0.8237127338066039
signal_late_neutral_mouth_share,249,0.5015368128170935,0.6680313243551321
signal_late_neutral_face_other_share,249,0.6249738368561621,0.7692109530394649
signal_late_neutral_off_face_share,249,0.6534157258281023,0.7903828609115754
signal_late_neutral_n_fixations,249,0.6911352346007549,0.8173624680747886
signal_late_neutral_mean_fixation_ms,249,0.7857010991286806,0.8799917293124336
signal_late_neutral_scanpath,249,0.5600401684907983,0.7179817286789326
signal_late_neutral_bcea,249,0.4324989904940023,0.6038384576380798
signal_late_neutral_pupil_delta,249,0.5307804723588161,0.6934769314648022
signal_late_neutral_eyes_share_sd,249,0.27063784961284804,0.4259873884526719
signal_late_neutral_pupil_delta_sd,249,0.43669817232135655,0.6079191589918402
signal_late_sad_eyes_share,249,0.6946423302605198,0.819809959726111
signal_late_sad_mouth_share,249,0.49919197722642555,0.6659480370885573
signal_late_sad_face_other_share,249,0.6046072706892011,0.7535890952675466
signal_late_sad_off_face_share,249,0.5710986412133614,0.7270054549500485
signal_late_sad_n_fixations,249,0.7650517453945921,0.8668887440731189
signal_late_sad_mean_fixation_ms,249,0.7713241167945174,0.8709011631257487
signal_late_sad_scanpath,249,0.6085623497349151,0.7566537285113055
signal_late_sad_bcea,249,0.49449532280597536,0.6617555977057732
signal_late_sad_pupil_delta,249,0.5346175258733653,0.6967436730779019
signal_late_sad_eyes_share_sd,249,0.26197772961144034,0.4151859790617741
signal_late_sad_pupil_delta_sd,249,0.3229238539238647,0.4881971898322867
signal_contrast_late_sad_minus_neutral_eyes_share,249,0.028792046926302044,0.0559725301382789
signal_contrast_late_sad_minus_neutral_mouth_share,249,0.10569888759507083,0.1911892808809262
signal_contrast_late_sad_minus_neutral_off_face_share,249,0.018879097220966368,0.037058562242487575
signal_contrast_late_sad_minus_neutral_n_fixations,249,-0.06484948356934042,-0.1386931460335646
signal_contrast_late_sad_minus_neutral_mean_fixation_ms,249,-0.02562471180841447,-0.05259721201668251
signal_contrast_late_sad_minus_neutral_scanpath,249,-0.20583953303884578,-0.5183827239008468
signal_contrast_late_sad_minus_neutral_pupil_delta,249,0.11671875373614297,0.2090387635125561
signal_contrast_late_happy_minus_neutral_eyes_share,249,-0.15054139238016043,-0.35444079565447784
signal_contrast_late_happy_minus_neutral_mouth_share,249,0.044010107722871165,0.08430973492941218
signal_contrast_late_happy_minus_neutral_off_face_share,249,-0.0793721934856997,-0.1724305803584628
signal_contrast_late_happy_minus_neutral_n_fixations,249,-0.27586153881559516,-0.7619027398831835
signal_contrast_late_happy_minus_neutral_mean_fixation_ms,249,-0.16884230747666573,-0.40628224702841353
signal_contrast_late_happy_minus_neutral_scanpath,249,-0.2539742398976084,-0.6808725743270597
signal_contrast_late_happy_minus_neutral_pupil_delta,249,0.06454110364025147,0.12125619841178502
signal_contrast_late_sad_minus_happy_eyes_share,249,0.011673316069873688,0.023077244174477055
signal_contrast_late_sad_minus_happy_mouth_share,249,0.07187209910714247,0.13410573736738018
signal_contrast_late_sad_minus_happy_off_face_share,249,-0.0638893154936308,-0.13649948996644767
signal_contrast_late_sad_minus_happy_n_fixations,249,-0.0003422797039090966,-0.0006847937988368979
signal_contrast_late_sad_minus_happy_mean_fixation_ms,249,-0.022850746681226,-0.04677022799457932
signal_contrast_late_sad_minus_happy_scanpath,249,0.07147469869998913,0.1334136938309579
signal_contrast_late_sad_minus_happy_pupil_delta,249,-0.05227461718840828,-0.11031595889798068
signal_first_fixation_ms_happy,249,0.5855869310158475,0.7386374339509421
signal_first_fixation_on_eyes_happy,249,0.3037158222796657,0.4659233509164458
signal_first_fixation_ms_neutral,248,0.6155681356114211,0.762045403152812
signal_first_fixation_on_eyes_neutral,248,0.44008505495451655,0.6111931422945239
signal_first_fixation_ms_sad,248,0.5849795017122097,0.7381540279609577
signal_first_fixation_on_eyes_sad,248,0.2563475975743797,0.4080838743502323
signal_contrast_sad_minus_neutral_first_fixation_ms,248,-0.09999354867349211,-0.2222062931351501
signal_contrast_sad_minus_neutral_first_fixation_on_eyes,248,0.0014353481185463673,0.002866581694450945
signal_contrast_happy_minus_neutral_first_fixation_ms,248,-0.057572530965016994,-0.12217922939782201
signal_contrast_happy_minus_neutral_first_fixation_on_eyes,248,-0.06870374267489399,-0.14754433325486932
signal_trend_eyes_share,249,0.5759704428186829,0.7309406663598816
signal_trend_n_fixations,249,0.5875000164257104,0.7401574933504302
signal_trend_pupil_delta,249,0.04611766632305936,0.08816917600704664
