task,L_id,event_sequence_first_30,start_sec_first_5,stop_sec_first_5
rest,L10,                             ,"[0.0, 5.0, 10.0, 15.0, 20.0]","[5.0, 10.0, 15.0, 20.0, 25.0]"
rest,L11,                             ,"[10.0, 15.0, 20.0, 25.0, 35.0]","[15.0, 20.0, 25.0, 30.0, 40.0]"
rest,L12,                             ,"[5.0, 10.0, 15.0, 20.0, 25.0]","[10.0, 15.0, 20.0, 25.0, 30.0]"
rest,L1355,                             ,"[0.0, 5.0, 10.0, 15.0, 20.0]","[5.0, 10.0, 15.0, 20.0, 25.0]"
rest,L1361,                             ,"[5.0, 10.0, 20.0, 25.0, 35.0]","[10.0, 15.0, 25.0, 30.0, 40.0]"
rest,L1363,                             ,"[0.0, 5.0, 15.0, 20.0, 40.0]","[5.0, 10.0, 20.0, 25.0, 45.0]"
rest,L1379,                             ,"[5.0, 10.0, 15.0, 20.0, 25.0]","[10.0, 15.0, 20.0, 25.0, 30.0]"
rest,L1382,                             ,"[0.0, 5.0, 10.0, 15.0, 20.0]","[5.0, 10.0, 15.0, 20.0, 25.0]"
rest,L1384,                             ,"[0.0, 5.0, 10.0, 15.0, 20.0]","[5.0, 10.0, 15.0, 20.0, 25.0]"
rest,L1386,                             ,"[0.0, 5.0, 10.0, 15.0, 20.0]","[5.0, 10.0, 15.0, 20.0, 25.0]"
oddball,L10,22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22,"[38.044, 42.056, 44.056, 98.116, 102.12]","[39.044, 43.056, 45.056, 99.116, 103.12]"
oddball,L100,22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22,"[42.128, 46.104, 49.084, 102.0, 108.956]","[43.128, 47.104, 50.084, 103.0, 109.956]"
oddball,L1000,22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22,"[39.58, 42.584, 51.676, 53.676, 55.68]","[40.58, 43.584, 52.676, 54.676, 56.68]"
oddball,L101,22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22,"[34.032, 38.004, 39.0, 49.924, 93.908]","[35.032, 39.004, 40.0, 50.924, 94.908]"
oddball,L102,22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22,"[47.124, 52.132, 54.136, 58.144, 60.144]","[48.124, 53.132, 55.136, 59.144, 61.144]"
oddball,L103,22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22,"[37.324, 46.316, 47.316, 56.344, 59.356]","[38.324, 47.316, 48.316, 57.344, 60.356]"
oddball,L104,22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22,"[42.404, 44.44, 54.684, 62.848, 64.892]","[43.404, 45.44, 55.684, 63.848, 65.892]"
oddball,L105,22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22,"[41.524, 43.592, 50.724, 55.768, 56.772]","[42.524, 44.592, 51.724, 56.768, 57.772]"
oddball,L106,22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22,"[48.284, 51.284, 57.284, 60.284, 108.608]","[49.284, 52.284, 58.284, 61.284, 109.608]"
oddball,L107,22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22,"[39.044, 46.288, 47.296, 50.368, 62.636]","[40.044, 47.288, 48.296, 51.368, 63.636]"
1back,L10,19 18 18 18 18 18 18 18 18 18 19 18 18 18 18 18,"[5.32, 9.292, 11.296, 13.3, 17.296]","[7.32, 11.292, 13.296, 15.3, 19.296]"
1back,L100,18 18 18 18 18 18 18 18 18,"[6.856, 12.856, 14.856, 16.856, 18.856]","[8.856, 14.856, 16.856, 18.856, 20.856]"
1back,L101,18 18 18 18 18 18 18 18,"[8.804, 12.8, 20.804, 41.804, 47.796]","[10.804, 14.8, 22.804, 43.804, 49.796]"
1back,L102,19 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18,"[12.632, 14.62, 16.612, 20.62, 22.624]","[14.632, 16.62, 18.612, 22.62, 24.624]"
1back,L103,18 18 18 18 18 18 18 18 18 18 19 18 18 18 18 18 18,"[8.568, 10.564, 14.576, 16.58, 20.572]","[10.568, 12.564, 16.576, 18.58, 22.572]"
1back,L104,19 18 18 18 18 18 18 18 18 18 18 18 18 18 18 19 18,"[21.56, 23.528, 25.528, 27.528, 29.528]","[23.56, 25.528, 27.528, 29.528, 31.528]"
1back,L105,19 18 18 18 18 18 18 18 18 18 18 18 18 18 18 19 18 18 18 18 18 18 18 18 18 18,"[3.944, 5.928, 7.92, 9.92, 11.92]","[5.944, 7.928, 9.92, 11.92, 13.92]"
1back,L106,18,[56.488],[58.488]
1back,L107,18 18 18 18 18,"[20.004, 22.0, 24.004, 28.0, 40.0]","[22.004, 24.0, 26.004, 30.0, 42.0]"
1back,L108,18 18 18 18 18 18 18 18 18 18 18 18 18,"[23.524, 29.524, 31.528, 33.528, 35.524]","[25.524, 31.524, 33.528, 35.528, 37.524]"
