device,task,L_id,raw_rows,duration_sec,marker_count,marker_values,marker_indices_first_20,markers_after_2000,source_file
yiruid,vft,L101,3000,149.95000000000002,1,1.0,599,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/3.VFT_1904/L101_V/L101_V_20251106085447.nirs
yiruid,vft,L107,3000,149.95000000000002,1,1.0,599,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/3.VFT_1904/L107_V/L107_V__20251106131235.nirs
yiruid,vft,L109,3000,149.95000000000002,1,1.0,599,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/3.VFT_1904/L109_V/L109_V_20251106132156.nirs
yiruid,vft,L110,3000,149.95000000000002,1,1.0,599,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/3.VFT_1904/L110_V/L110_V__20251106105423.nirs
yiruid,vft,L111,3000,149.95000000000002,1,1.0,599,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/3.VFT_1904/L111_V/L111_V__20251106105828.nirs
yiruid,vft,L113,3000,149.95000000000002,1,1.0,599,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/3.VFT_1904/L113_V/L113_V__20251106134353.nirs
yiruid,vft,L114,3000,149.95000000000002,1,1.0,599,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/3.VFT_1904/L114_V/L114_V__20251106134735.nirs
yiruid,vft,L115,3020,150.95000000000002,1,1.0,599,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/3.VFT_1904/L115_V/L115_V__20251106133817.nirs
yiruid,vft,L117,3000,149.95000000000002,1,1.0,599,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/3.VFT_1904/L117_V/L117_V_20251106135744.nirs
yiruid,vft,L120,3000,149.95000000000002,1,1.0,599,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/3.VFT_1904/L120_V/L120_V__20251106141524.nirs
yiruid,1back,L101,3160,157.95000000000002,2,1.0,599 1839,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/4.1_back_1824/1back_fNIRS/L101_B/L101_B_20251106085832.nirs
yiruid,1back,L107,3140,156.95000000000002,2,1.0,598 1839,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/4.1_back_1824/1back_fNIRS/L107_B/L107_B__20251106131606.nirs
yiruid,1back,L109,3100,154.95000000000002,2,1.0,598 1839,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/4.1_back_1824/1back_fNIRS/L109_B/L109_B_20251106132731.nirs
yiruid,1back,L110,3540,176.95000000000002,2,1.0,599 1839,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/4.1_back_1824/1back_fNIRS/L110_B/L110_B__20251106105932.nirs
yiruid,1back,L111,3260,162.95000000000002,2,1.0,598 1839,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/4.1_back_1824/1back_fNIRS/L111_B/L111_B__20251106110241.nirs
yiruid,1back,L113,3400,169.95000000000002,2,1.0,599 1839,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/4.1_back_1824/1back_fNIRS/L113_B/L113_B__20251106134702.nirs
yiruid,1back,L114,3200,159.95000000000002,2,1.0,599 1839,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/4.1_back_1824/1back_fNIRS/L114_B/L114_B__20251106135208.nirs
yiruid,1back,L115,3080,153.95000000000002,2,1.0,599 1839,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/4.1_back_1824/1back_fNIRS/L115_B/L115_B__20251106134203.nirs
yiruid,1back,L117,3100,154.95000000000002,2,1.0,598 1839,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/4.1_back_1824/1back_fNIRS/L117_B/L117_B_20251106140237.nirs
yiruid,1back,L120,3380,168.95000000000002,2,1.0,599 1839,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/4.1_back_1824/1back_fNIRS/L120_B/L120_B__20251106143149.nirs
yiruid,rest,L101,6980,348.95000000000005,0,,,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/1.Rest_1949/rest_fNIRS/L101_R/L101_R_20251106084811.nirs
yiruid,rest,L107,6980,348.95000000000005,0,,,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/1.Rest_1949/rest_fNIRS/L107_R/L107_R__20251106130534.nirs
yiruid,rest,L109,7000,349.95000000000005,0,,,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/1.Rest_1949/rest_fNIRS/L109_R/L109_R_20251106131408.nirs
yiruid,rest,L110,7000,349.95000000000005,0,,,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/1.Rest_1949/rest_fNIRS/L110_R/L110_R__20251106104513.nirs
yiruid,rest,L111,6980,348.95000000000005,0,,,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/1.Rest_1949/rest_fNIRS/L111_R/L111_R__20251106105105.nirs
yiruid,rest,L113,7000,349.95000000000005,0,,,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/1.Rest_1949/rest_fNIRS/L113_R/L113_R__20251106133623.nirs
yiruid,rest,L114,6980,348.95000000000005,0,,,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/1.Rest_1949/rest_fNIRS/L114_R/L114_R__20251106134055.nirs
yiruid,rest,L115,6980,348.95000000000005,0,,,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/1.Rest_1949/rest_fNIRS/L115_R/L115_R__20251106133133.nirs
yiruid,rest,L117,7000,349.95000000000005,0,,,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/1.Rest_1949/rest_fNIRS/L117_R/L117_R_20251106135041.nirs
yiruid,rest,L120,7000,349.95000000000005,0,,,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/依瑞德近红外/1.Rest_1949/rest_fNIRS/L120_R/L120_R__20251106140830.nirs
bikom,vft,L100,1700,169.9,0,,,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/必可明近红外/3.VFT_1308/L100_V/L100_V_HBA_Oxy_20251106 125945_A02175_XYX_VFT.csv
