L_id,task,status,reason,duration_sec,candidate_trials,rejected_trials,rejected_rate,n_trials_code_11,condition_code_11,n_trials_code_22,condition_code_22
L103,oddball,ok,,640.0,148,11,0.07432432432432433,114,standard,23,deviant_target
L1360,oddball,ok,,799.0,148,9,0.060810810810810814,115,standard,24,deviant_target
L1368,oddball,ok,,659.0,149,3,0.020134228187919462,122,standard,24,deviant_target
L1379,oddball,ok,,644.0,148,0,0.0,124,standard,24,deviant_target
L138,oddball,ok,,637.0,150,27,0.18,102,standard,21,deviant_target
L1382,oddball,ok,,692.0,120,7,0.058333333333333334,94,standard,19,deviant_target
L1390,oddball,ok,,643.0,149,17,0.11409395973154363,110,standard,22,deviant_target
L1394,oddball,ok,,638.0,149,10,0.06711409395973154,117,standard,22,deviant_target
L1401,oddball,ok,,645.0,148,12,0.08108108108108109,112,standard,24,deviant_target
L1432,oddball,ok,,650.0,148,2,0.013513513513513514,122,standard,24,deviant_target
L1440,oddball,blocked,no_spec_codes_in_event_file,305.0,0,0,,0,standard,0,deviant_target
L1445,oddball,ok,,664.0,148,25,0.16891891891891891,103,standard,20,deviant_target
L1446,oddball,ok,,656.0,138,19,0.13768115942028986,99,standard,20,deviant_target
L1459,oddball,ok,,637.0,150,10,0.06666666666666667,118,standard,22,deviant_target
L1463,oddball,ok,,673.0,122,17,0.13934426229508196,89,standard,16,deviant_target
L1471,oddball,ok,,652.0,144,0,0.0,119,standard,25,deviant_target
L1488,oddball,ok,,664.0,150,15,0.1,115,standard,20,deviant_target
L1499,oddball,ok,,648.0,143,10,0.06993006993006994,109,standard,24,deviant_target
L1503,oddball,ok,,635.0,148,35,0.23648648648648649,94,standard,19,deviant_target
L1504,oddball,ok,,636.0,150,4,0.02666666666666667,121,standard,25,deviant_target
L1509,oddball,ok,,808.0,150,4,0.02666666666666667,121,standard,25,deviant_target
L1512,oddball,ok,,653.0,143,9,0.06293706293706294,114,standard,20,deviant_target
L1513,oddball,ok,,653.0,137,6,0.043795620437956206,108,standard,23,deviant_target
L1518,oddball,ok,,636.0,149,42,0.28187919463087246,89,standard,18,deviant_target
L1527,oddball,ok,,669.0,150,56,0.37333333333333335,77,standard,17,deviant_target
L1550,oddball,ok,,640.0,149,9,0.06040268456375839,115,standard,25,deviant_target
L1556,oddball,ok,,638.0,147,29,0.19727891156462585,101,standard,17,deviant_target
L1560,oddball,ok,,634.0,150,2,0.013333333333333334,123,standard,25,deviant_target
L1568,oddball,ok,,643.0,144,0,0.0,119,standard,25,deviant_target
L1572,oddball,ok,,654.0,144,0,0.0,121,standard,23,deviant_target
L1580,oddball,ok,,639.0,147,56,0.38095238095238093,76,standard,15,deviant_target
L1582,oddball,ok,,652.0,149,9,0.06040268456375839,116,standard,24,deviant_target
L1588,oddball,ok,,639.0,147,1,0.006802721088435374,122,standard,24,deviant_target
L159,oddball,ok,,643.0,149,2,0.013422818791946308,123,standard,24,deviant_target
L1594,oddball,ok,,634.0,150,2,0.013333333333333334,123,standard,25,deviant_target
L1595,oddball,ok,,634.0,150,15,0.1,112,standard,23,deviant_target
L1600,oddball,ok,,655.0,150,21,0.14,108,standard,21,deviant_target
L1610,oddball,ok,,641.0,146,9,0.06164383561643835,113,standard,24,deviant_target
L1612,oddball,ok,,638.0,148,5,0.033783783783783786,122,standard,21,deviant_target
L1618,oddball,ok,,638.0,148,7,0.0472972972972973,116,standard,25,deviant_target
L1620,oddball,ok,,639.0,147,9,0.061224489795918366,113,standard,25,deviant_target
L1621,oddball,ok,,638.0,149,0,0.0,124,standard,25,deviant_target
L1623,oddball,ok,,639.0,148,67,0.4527027027027027,68,standard,13,deviant_target
L1626,oddball,blocked,too_few_trials_code_11,826.0,180,174,0.9666666666666667,5,standard,1,deviant_target
L1628,oddball,ok,,647.0,148,7,0.0472972972972973,118,standard,23,deviant_target
L163,oddball,ok,,696.0,148,14,0.0945945945945946,113,standard,21,deviant_target
L1631,oddball,ok,,640.0,149,0,0.0,124,standard,25,deviant_target
L1632,oddball,ok,,641.0,149,24,0.1610738255033557,102,standard,23,deviant_target
L164,oddball,ok,,649.0,146,7,0.04794520547945205,116,standard,23,deviant_target
L1649,oddball,ok,,655.0,148,40,0.2702702702702703,89,standard,19,deviant_target
L1663,oddball,ok,,638.0,149,10,0.06711409395973154,114,standard,25,deviant_target
L1671,oddball,ok,,637.0,149,5,0.03355704697986577,119,standard,25,deviant_target
L1673,oddball,ok,,648.0,150,0,0.0,125,standard,25,deviant_target
L1678,oddball,ok,,658.0,148,2,0.013513513513513514,122,standard,24,deviant_target
L1684,oddball,ok,,650.0,148,18,0.12162162162162163,108,standard,22,deviant_target
L1686,oddball,ok,,638.0,149,22,0.1476510067114094,106,standard,21,deviant_target
L1695,oddball,ok,,643.0,149,3,0.020134228187919462,121,standard,25,deviant_target
L170,oddball,ok,,665.0,147,5,0.034013605442176874,120,standard,22,deviant_target
L1706,oddball,ok,,638.0,149,3,0.020134228187919462,121,standard,25,deviant_target
L172,oddball,ok,,641.0,148,20,0.13513513513513514,105,standard,23,deviant_target
L1720,oddball,ok,,673.0,146,31,0.21232876712328766,96,standard,19,deviant_target
L1728,oddball,ok,,669.0,120,0,0.0,100,standard,20,deviant_target
L1731,oddball,ok,,640.0,148,3,0.02027027027027027,122,standard,23,deviant_target
L1738,oddball,ok,,639.0,149,9,0.06040268456375839,115,standard,25,deviant_target
L1740,oddball,ok,,637.0,148,18,0.12162162162162163,107,standard,23,deviant_target
L1747,oddball,ok,,641.0,146,3,0.02054794520547945,121,standard,22,deviant_target
L1749,oddball,ok,,640.0,147,20,0.1360544217687075,103,standard,24,deviant_target
L1762,oddball,ok,,643.0,147,14,0.09523809523809523,110,standard,23,deviant_target
L1763,oddball,ok,,643.0,147,0,0.0,122,standard,25,deviant_target
