L_id,A_id,status,reason,lead_in_sec,landmark_corr,lead_in_source,video_duration_sec,duration_mismatch,positive_start_sec,positive_end_sec,neutral_start_sec,neutral_end_sec,negative_start_sec,negative_end_sec
L1007,B06064,ok,,0.768375,0.07791995647048268,cohort_median,762.832552,,0.768375,95.54237499999944,105.55037499999925,193.32637499999908,203.3423749999987,329.49737499999935
L1018,B06075,ok,,0.768375,0.49002192029543834,cohort_median,775.432552,,0.768375,95.5213749999988,105.53737500000024,193.35437499999932,203.36637499999995,329.5113750000004
L1023,B06081,ok,,0.768375,0.48249121545308576,cohort_median,681.866016,,0.768375,95.66037499999983,105.67637499999945,193.47437500000012,203.48437500000034,329.6593749999996
L103,A02178,ok,,0.9375,0.8096050658279229,landmark,713.165951,,0.9375,95.94950000000063,105.95949999999993,193.76150000000052,203.76550000000043,329.90950000000066
L1032,B06094,ok,,0.768375,0.0951692698006661,cohort_median,740.065951,,0.768375,95.52537500000507,105.53437500000327,193.3273750000011,203.34137500000395,329.5033750000006
L1061,B06126,ok,,0.768375,0.38792697735992526,cohort_median,803.465886,,0.768375,95.66037499999983,105.66237500000024,193.45437499999423,203.46037499999545,329.62437499999976
L1070,B06136,ok,,0.768375,0.30908319775863186,cohort_median,665.432683,,0.768375,95.75537499999736,105.76037499999838,193.55537500000025,203.56137499999784,329.7203749999975
L1076,B06142,ok,,0.768375,0.07486951300697672,cohort_median,856.165821,,0.768375,95.55837500000088,105.57437499999686,193.3563749999961,203.36137500000075,329.51737499999615
L1079,B06146,ok,,0.768375,0.4929214126312259,cohort_median,852.432487,,0.768375,95.58137500000193,105.58537500000274,193.37237499999935,203.3843750000018,329.54737500000226
L1080,B06147,blocked,missing_anchor_timestamp,0.768375,0.0,,,,,,,,,
L1088,B06156,ok,,0.768375,0.30372056532724007,cohort_median,723.5,,0.768375,95.18737499999442,105.20237500000111,192.9723749999979,202.9833749999965,329.1043749999957
L1104,B06179,ok,,0.768375,0.20905507657599412,cohort_median,934.866667,,0.768375,95.18037499999663,105.18437499999744,192.95337499999766,202.95837499999504,329.0663749999952
L1119,B06196,ok,,0.768375,0.4436063558000333,cohort_median,707.065951,,0.768375,95.5623750000017,105.56937499999948,193.35837500000378,203.3733750000032,329.54137500000104
L1151,B06240,ok,,0.768375,0.08603413127001078,cohort_median,701.232618,,0.768375,95.6993750000005,105.70637500000011,193.51137500000038,203.5223750000008,329.661375
L1153,B06242,ok,,0.768375,0.4829939035685222,cohort_median,652.099349,,0.768375,95.81437499999846,105.81937499999948,193.63537499999836,203.64537499999858,329.80937499999925
L1170,B08034,ok,,0.768375,0.13314506882133373,cohort_median,819.599154,,0.768375,96.05637499999865,106.06437500000028,193.8303749999999,203.8443749999991,329.9763749999987
L1171,B08035,ok,,1.15225,0.8431263203903216,landmark,855.832487,,1.15225,95.55424999999458,105.5602499999958,193.32124999999442,203.32824999999949,329.46024999999725
L1177,B08042,ok,,1.3885,0.6515253522659304,landmark,760.832552,,1.3885,96.74549999999996,106.75150000000028,194.60149999999973,204.61449999999965,330.83150000000023
L1190,B08059,ok,,0.768375,0.12625347056230438,cohort_median,896.765756,,0.768375,96.05937500000017,106.076375,193.84837499999992,203.85637499999973,329.98837500000025
L1196,B08069,blocked,missing_anchor_timestamp,0.768375,0.0,,,,,,,,,
L1200,B08076,ok,,0.768375,0.22157635075483348,cohort_median,809.532552,,0.768375,96.19637499999989,106.20737500000031,194.10137500000053,204.10737499999993,330.3103750000013
L1202,B08079,ok,,0.768375,0.28713149258097037,cohort_median,696.899284,,0.768375,96.06137500000149,106.0693750000013,193.8343750000007,203.83737500000132,329.9573750000003
L1206,B08086,ok,,1.15125,0.8189933617181092,landmark,796.332552,,1.15125,95.53525000000548,105.54425000000367,193.3112500000035,203.3152500000043,329.45025000000635
L1214,B08095,ok,,0.768375,0.11783534027558829,cohort_median,727.874667,,0.768375,96.08237500000031,106.09237500000053,193.86937500000056,203.87637500000017,330.0103750000002
L1216,B08098,ok,,2.81325,0.7259648970485565,landmark,697.099284,,2.81325,98.09225000000045,108.09625000000126,195.8612500000007,205.87825000000052,332.0092500000017
L1251,B09023,ok,,0.768375,0.07686883045795273,cohort_median,669.166016,,0.768375,95.57737499999384,105.5933749999971,193.3803749999937,203.38137499999755,329.547374999995
L1253,B09025,ok,,0.768375,0.25442689754717196,cohort_median,808.432552,,0.768375,95.54537499999459,105.55937499999744,193.31737499999906,203.33337499999504,329.5073749999941
L1264,B11005,ok,,0.768375,0.24095749859230775,cohort_median,744.332618,,0.768375,96.09737500000155,106.11037500000056,193.87537499999996,203.8823750000014,330.0093750000018
L1265,B11006,ok,,0.768375,0.15447782569328328,cohort_median,721.032618,,0.768375,95.97337500000175,105.98137500000338,193.73537500000418,203.75137500000017,329.8823750000014
L1270,B11011,ok,,1.634375,0.7925098513216869,landmark,871.266667,,1.634375,96.3933749999982,106.39637500000245,194.15437500000408,204.15737500000105,330.282375000001
L1272,B11013,ok,,0.768375,0.33272428930190634,cohort_median,807.132552,,0.768375,96.07037499999969,106.08737499999951,193.85237499999891,203.85837500000014,329.99837499999956
L1273,B11014,ok,,1.0535,0.6268223064024369,landmark,766.432552,,1.0535,96.28349999999593,106.29549999999837,194.05449999999658,204.06350000000205,330.1934999999994
L1278,B11019,ok,,0.5225,0.7370239076684302,landmark,757.965886,,0.5225,95.20549999999726,105.20749999999767,193.31949999999867,203.32149999999908,329.7195000000001
L1282,B11023,ok,,0.330375,0.7690698843308567,landmark,747.265951,,0.330375,95.00937500000373,105.01137500000414,193.1133750000031,203.1153750000035,329.5163750000015
L1286,B11027,ok,,0.768375,0.5185506745573273,cohort_median,633.999349,,0.768375,95.98537499999692,105.99337499999855,193.73837500000116,203.7483750000032,329.87737499999673
L1289,B11030,ok,,0.34975,0.6687157628722642,landmark,819.332487,,0.34975,95.02975000000029,105.0317500000007,193.05074999999366,203.05274999999406,329.45374999999933
L1292,B11033,ok,,0.768375,0.26576076637510326,cohort_median,694.565951,,0.768375,96.11437500000046,106.12337499999957,193.902375,203.9063749999999,330.0323750000001
L1293,B11034,ok,,0.768375,0.5648017008658786,cohort_median,681.932683,,0.768375,95.98137500000338,105.99037500000158,193.75137500000017,203.7593750000018,329.88737499999877
L1297,B11038,ok,,0.768375,0.22750890982115574,cohort_median,799.565886,,0.768375,96.04937500000268,106.06037500000129,193.8253750000007,203.8293750000015,329.98337500000014
L1298,B11039,ok,,0.768375,0.19283918228636526,cohort_median,833.532487,,0.768375,96.06137500000149,106.07737500000111,193.8393749999999,203.85237499999891,329.99037500000156
L1301,B11042,ok,,0.768375,0.19545173548356357,cohort_median,803.765886,,0.768375,95.96237500000315,105.97737500000257,193.7263749999987,203.73237499999993,329.86337500000116
L1310,B11051,ok,,2.44575,0.7764259444225935,landmark,887.6,,2.44575,97.21575000000408,107.22974999999965,194.97275000000187,204.97974999999965,331.10675000000003
L1319,B12002,ok,,0.768375,0.152042820614532,cohort_median,772.599219,,0.768375,96.06637499999978,106.07037499999969,193.8363750000002,203.8423749999996,329.9753749999994
