L_id,task,status,reason,duration_sec,n_events,n_constructed,n_kept,construction_drops,n_trials_code_11,n_trials_code_22
L103,oddball,ok,,640.0,148,148,137,0,114,23
L1360,oddball,ok,,799.0,148,148,139,0,115,24
L1368,oddball,ok,,659.0,149,149,146,0,122,24
L1379,oddball,ok,,644.0,148,148,148,0,124,24
L138,oddball,ok,,637.0,150,150,123,0,102,21
L1382,oddball,ok,,692.0,120,120,113,0,94,19
L1390,oddball,ok,,643.0,149,149,132,0,110,22
L1394,oddball,ok,,638.0,149,149,139,0,117,22
L1401,oddball,ok,,645.0,148,148,136,0,112,24
L1432,oddball,ok,,650.0,148,148,146,0,122,24
L1445,oddball,ok,,664.0,148,148,123,0,103,20
L1446,oddball,ok,,656.0,138,138,119,0,99,20
L1459,oddball,ok,,637.0,150,150,140,0,118,22
L1463,oddball,ok,,673.0,122,122,105,0,89,16
L1471,oddball,ok,,652.0,144,144,144,0,119,25
L1488,oddball,ok,,664.0,150,150,135,0,115,20
L1499,oddball,ok,,648.0,143,143,133,0,109,24
L1503,oddball,ok,,635.0,148,148,113,0,94,19
L1504,oddball,ok,,636.0,150,150,146,0,121,25
L1509,oddball,ok,,808.0,150,150,146,0,121,25
L1512,oddball,ok,,653.0,143,143,134,0,114,20
L1513,oddball,ok,,653.0,137,137,131,0,108,23
L1518,oddball,ok,,636.0,149,149,107,0,89,18
L1527,oddball,ok,,669.0,150,150,94,0,77,17
L1550,oddball,ok,,640.0,149,149,140,0,115,25
L1556,oddball,ok,,638.0,147,147,118,0,101,17
L1560,oddball,ok,,634.0,150,150,148,0,123,25
L1568,oddball,ok,,643.0,144,144,144,0,119,25
L1572,oddball,ok,,654.0,144,144,144,0,121,23
L1580,oddball,ok,,639.0,147,147,91,0,76,15
L1582,oddball,ok,,652.0,149,149,140,0,116,24
L1588,oddball,ok,,639.0,147,147,146,0,122,24
L159,oddball,ok,,643.0,149,149,147,0,123,24
L1594,oddball,ok,,634.0,150,150,148,0,123,25
L1595,oddball,ok,,634.0,150,150,135,0,112,23
L1600,oddball,ok,,655.0,150,150,129,0,108,21
L1610,oddball,ok,,641.0,146,146,137,0,113,24
L1612,oddball,ok,,638.0,148,148,143,0,122,21
L1618,oddball,ok,,638.0,148,148,141,0,116,25
L1620,oddball,ok,,639.0,147,147,138,0,113,25
L1621,oddball,ok,,638.0,149,149,149,0,124,25
L1623,oddball,ok,,639.0,148,148,81,0,68,13
L1628,oddball,ok,,647.0,148,148,141,0,118,23
L163,oddball,ok,,696.0,148,148,134,0,113,21
L1631,oddball,ok,,640.0,149,149,149,0,124,25
L1632,oddball,ok,,641.0,149,149,125,0,102,23
L164,oddball,ok,,649.0,146,146,139,0,116,23
L1649,oddball,ok,,655.0,148,148,108,0,89,19
L1663,oddball,ok,,638.0,149,149,139,0,114,25
L1671,oddball,ok,,637.0,149,149,144,0,119,25
L1673,oddball,ok,,648.0,150,150,150,0,125,25
L1678,oddball,ok,,658.0,148,148,146,0,122,24
L1684,oddball,ok,,650.0,148,148,130,0,108,22
L1686,oddball,ok,,638.0,149,149,127,0,106,21
L1695,oddball,ok,,643.0,149,149,146,0,121,25
L170,oddball,ok,,665.0,147,147,142,0,120,22
L1706,oddball,ok,,638.0,149,149,146,0,121,25
L172,oddball,ok,,641.0,148,148,128,0,105,23
L1720,oddball,ok,,673.0,146,146,115,0,96,19
L1728,oddball,ok,,669.0,120,120,120,0,100,20
L1731,oddball,ok,,640.0,148,148,145,0,122,23
L1738,oddball,ok,,639.0,149,149,140,0,115,25
L1740,oddball,ok,,637.0,148,148,130,0,107,23
L1747,oddball,ok,,641.0,146,146,143,0,121,22
L1749,oddball,ok,,640.0,147,147,127,0,103,24
L1762,oddball,ok,,643.0,147,147,133,0,110,23
L1763,oddball,ok,,643.0,147,147,147,0,122,25
L1767,oddball,ok,,641.0,148,148,141,0,118,23
L1769,oddball,ok,,638.0,149,149,130,0,108,22
L1775,oddball,ok,,639.0,147,147,147,0,123,24
L1791,oddball,ok,,660.0,147,147,112,0,91,21
L1798,oddball,ok,,642.0,147,147,146,0,121,25
L1807,oddball,ok,,657.0,148,148,113,0,94,19
L1810,oddball,ok,,675.0,146,146,145,0,121,24
L1824,oddball,ok,,693.0,120,120,118,0,98,20
L1835,oddball,ok,,635.0,150,150,147,0,122,25
L1850,oddball,ok,,647.0,146,146,138,0,114,24
L1851,oddball,ok,,648.0,145,145,135,0,113,22
L1852,oddball,ok,,757.0,146,146,145,0,122,23
L1854,oddball,ok,,673.0,143,143,97,0,84,13
L1857,oddball,ok,,641.0,150,150,146,0,121,25
L186,oddball,ok,,665.0,129,129,121,0,101,20
L1865,oddball,ok,,644.0,150,150,150,0,125,25
L1874,oddball,ok,,649.0,148,148,140,0,115,25
L1882,oddball,ok,,760.0,150,150,150,0,125,25
L1893,oddball,ok,,641.0,147,147,126,0,109,17
L1896,oddball,ok,,649.0,142,142,121,0,100,21
L199,oddball,ok,,644.0,148,148,146,0,121,25
L200,oddball,ok,,641.0,147,147,147,0,122,25
L220,oddball,ok,,637.0,150,150,148,0,123,25
L226,oddball,ok,,648.0,147,147,146,0,122,24
L228,oddball,ok,,642.0,148,148,141,0,116,25
