row,L_id,code,condition,trial_in_recording,onset_sample
0,L103,11,standard,0,31536
1,L103,11,standard,1,32530
2,L103,11,standard,2,33529
3,L103,11,standard,3,34533
4,L103,11,standard,4,35532
5,L103,11,standard,5,36526
6,L103,22,deviant_target,6,37523
7,L103,11,standard,7,38524
8,L103,11,standard,8,39527
9,L103,11,standard,9,40521
10,L103,11,standard,10,41525
11,L103,11,standard,11,42520
12,L103,11,standard,12,43518
13,L103,11,standard,13,44523
14,L103,11,standard,14,45517
15,L103,22,deviant_target,15,46517
16,L103,22,deviant_target,16,47515
17,L103,11,standard,17,50529
18,L103,11,standard,18,51528
19,L103,11,standard,19,52527
20,L103,11,standard,20,53541
21,L103,11,standard,21,54540
22,L103,11,standard,22,55546
23,L103,22,deviant_target,23,56544
24,L103,11,standard,24,57540
25,L103,11,standard,25,58542
26,L103,22,deviant_target,26,59556
27,L103,11,standard,27,60573
28,L103,11,standard,28,91607
29,L103,11,standard,29,92609
30,L103,11,standard,30,93608
31,L103,11,standard,31,94602
32,L103,11,standard,32,95605
33,L103,11,standard,33,96600
34,L103,22,deviant_target,34,97600
35,L103,11,standard,35,98598
36,L103,11,standard,36,99613
37,L103,11,standard,37,100629
38,L103,11,standard,38,101631
39,L103,11,standard,39,102644
40,L103,11,standard,40,103650
41,L103,11,standard,41,104643
42,L103,11,standard,42,105646
43,L103,22,deviant_target,43,106645
44,L103,22,deviant_target,44,107639
45,L103,11,standard,45,108639
46,L103,11,standard,46,109638
47,L103,11,standard,47,110653
48,L103,11,standard,48,111673
49,L103,11,standard,49,112672
50,L103,11,standard,50,113684
51,L103,11,standard,51,114682
52,L103,11,standard,52,115703
53,L103,22,deviant_target,53,116702
54,L103,11,standard,54,117697
55,L103,11,standard,55,118711
56,L103,22,deviant_target,56,119717
57,L103,11,standard,57,120714
58,L103,11,standard,58,151764
59,L103,11,standard,59,152783
60,L103,11,standard,60,153794
61,L103,11,standard,61,154808
62,L103,11,standard,62,155831
63,L103,11,standard,63,156828
64,L103,22,deviant_target,64,157828
65,L103,11,standard,65,158827
66,L103,11,standard,66,159837
67,L103,11,standard,67,160838
68,L103,11,standard,68,161836
69,L103,11,standard,69,162857
70,L103,11,standard,70,163851
71,L103,11,standard,71,164855
72,L103,11,standard,72,165871
73,L103,22,deviant_target,73,166886
74,L103,22,deviant_target,74,167885
75,L103,11,standard,75,168884
76,L103,11,standard,76,170882
77,L103,11,standard,77,171882
78,L103,11,standard,78,173879
79,L103,11,standard,79,174895
80,L103,11,standard,80,175895
81,L103,22,deviant_target,81,176889
82,L103,11,standard,82,177886
83,L103,11,standard,83,178891
84,L103,22,deviant_target,84,179885
85,L103,11,standard,85,180906
86,L103,11,standard,86,211948
87,L103,11,standard,87,212958
88,L103,11,standard,88,213957
89,L103,11,standard,89,214972
90,L103,11,standard,90,215967
91,L103,22,deviant_target,91,217986
92,L103,11,standard,92,219002
93,L103,11,standard,93,220001
94,L103,11,standard,94,221000
95,L103,11,standard,95,224008
96,L103,11,standard,96,225028
97,L103,11,standard,97,226027
98,L103,22,deviant_target,98,227028
99,L103,22,deviant_target,99,228038
100,L103,11,standard,100,229054
101,L103,11,standard,101,230058
102,L103,11,standard,102,231051
103,L103,11,standard,103,232055
104,L103,11,standard,104,233054
105,L103,11,standard,105,234049
106,L103,22,deviant_target,106,237046
107,L103,11,standard,107,238046
108,L103,11,standard,108,241065
109,L103,11,standard,109,272097
110,L103,11,standard,110,273094
111,L103,11,standard,111,274094
112,L103,11,standard,112,275112
113,L103,11,standard,113,276123
114,L103,11,standard,114,277128
115,L103,22,deviant_target,115,278128
116,L103,11,standard,116,279121
117,L103,11,standard,117,280138
118,L103,11,standard,118,281136
119,L103,11,standard,119,282157
120,L103,11,standard,120,283155
121,L103,11,standard,121,284166
122,L103,11,standard,122,285182
123,L103,11,standard,123,286181
124,L103,22,deviant_target,124,287203
125,L103,22,deviant_target,125,288218
126,L103,11,standard,126,289212
127,L103,11,standard,127,290226
128,L103,11,standard,128,291247
129,L103,11,standard,129,292243
130,L103,11,standard,130,293262
131,L103,11,standard,131,294257
132,L103,11,standard,132,295271
133,L103,11,standard,133,296289
134,L103,22,deviant_target,134,297292
135,L103,11,standard,135,298286
136,L103,11,standard,136,299306
137,L1360,11,standard,0,32136
138,L1360,11,standard,1,33140
139,L1360,11,standard,2,35143
140,L1360,11,standard,3,36145
141,L1360,11,standard,4,37145
142,L1360,11,standard,5,38146
143,L1360,11,standard,6,39147
144,L1360,11,standard,7,40149
145,L1360,11,standard,8,41151
146,L1360,22,deviant_target,9,42152
147,L1360,11,standard,10,44155
148,L1360,22,deviant_target,11,45158
149,L1360,11,standard,12,46158
150,L1360,11,standard,13,47159
151,L1360,11,standard,14,48161
152,L1360,11,standard,15,49162
153,L1360,11,standard,16,50164
154,L1360,22,deviant_target,17,51165
155,L1360,11,standard,18,52168
156,L1360,11,standard,19,53167
157,L1360,11,standard,20,54169
158,L1360,22,deviant_target,21,55170
159,L1360,11,standard,22,57173
160,L1360,11,standard,23,58176
161,L1360,22,deviant_target,24,59176
162,L1360,11,standard,25,61181
163,L1360,11,standard,26,92276
164,L1360,11,standard,27,93283
165,L1360,11,standard,28,95286
166,L1360,11,standard,29,96287
167,L1360,11,standard,30,97288
168,L1360,11,standard,31,98290
169,L1360,11,standard,32,99292
170,L1360,11,standard,33,100293
171,L1360,11,standard,34,101295
172,L1360,22,deviant_target,35,102296
173,L1360,11,standard,36,103299
174,L1360,11,standard,37,104299
175,L1360,22,deviant_target,38,105303
176,L1360,11,standard,39,106302
177,L1360,11,standard,40,107304
178,L1360,11,standard,41,108307
179,L1360,11,standard,42,109307
180,L1360,11,standard,43,110310
181,L1360,22,deviant_target,44,111310
182,L1360,11,standard,45,112311
183,L1360,11,standard,46,113313
184,L1360,11,standard,47,114314
185,L1360,22,deviant_target,48,115316
186,L1360,11,standard,49,116318
187,L1360,11,standard,50,117319
188,L1360,11,standard,51,118320
189,L1360,22,deviant_target,52,119322
190,L1360,11,standard,53,120323
191,L1360,11,standard,54,121325
192,L1360,11,standard,55,152340
193,L1360,11,standard,56,153339
194,L1360,11,standard,57,154340
195,L1360,11,standard,58,155342
196,L1360,11,standard,59,156343
197,L1360,11,standard,60,157347
198,L1360,11,standard,61,158342
199,L1360,11,standard,62,159348
200,L1360,11,standard,63,160355
201,L1360,11,standard,64,161362
202,L1360,22,deviant_target,65,162365
203,L1360,11,standard,66,163365
204,L1360,11,standard,67,164372
205,L1360,22,deviant_target,68,165381
206,L1360,11,standard,69,167393
207,L1360,11,standard,70,168394
208,L1360,11,standard,71,169397
209,L1360,11,standard,72,170398
210,L1360,22,deviant_target,73,171399
211,L1360,11,standard,74,172401
212,L1360,11,standard,75,173401
213,L1360,11,standard,76,174404
214,L1360,22,deviant_target,77,175406
215,L1360,11,standard,78,176407
216,L1360,11,standard,79,177408
217,L1360,11,standard,80,178409
218,L1360,22,deviant_target,81,179411
219,L1360,11,standard,82,180414
220,L1360,11,standard,83,181414
221,L1360,11,standard,84,212441
222,L1360,11,standard,85,213439
223,L1360,11,standard,86,214441
224,L1360,11,standard,87,215445
225,L1360,11,standard,88,216444
226,L1360,11,standard,89,217445
227,L1360,11,standard,90,218446
228,L1360,11,standard,91,219448
229,L1360,11,standard,92,220452
230,L1360,11,standard,93,221451
231,L1360,22,deviant_target,94,222454
232,L1360,11,standard,95,224457
233,L1360,22,deviant_target,96,225457
234,L1360,11,standard,97,226458
235,L1360,11,standard,98,227462
236,L1360,11,standard,99,228461
237,L1360,11,standard,100,229465
238,L1360,11,standard,101,230466
239,L1360,22,deviant_target,102,231468
240,L1360,11,standard,103,232467
241,L1360,11,standard,104,233469
242,L1360,11,standard,105,234470
243,L1360,22,deviant_target,106,235472
244,L1360,11,standard,107,236474
245,L1360,11,standard,108,237475
246,L1360,11,standard,109,238477
247,L1360,22,deviant_target,110,239479
248,L1360,11,standard,111,240479
249,L1360,11,standard,112,241481
250,L1360,11,standard,113,272507
251,L1360,11,standard,114,273508
252,L1360,11,standard,115,274508
253,L1360,11,standard,116,275510
254,L1360,11,standard,117,276511
255,L1360,11,standard,118,277514
256,L1360,11,standard,119,278514
257,L1360,11,standard,120,279516
258,L1360,11,standard,121,280517
259,L1360,11,standard,122,281518
260,L1360,22,deviant_target,123,282520
261,L1360,11,standard,124,284522
262,L1360,22,deviant_target,125,285525
263,L1360,11,standard,126,286526
264,L1360,11,standard,127,287527
265,L1360,11,standard,128,288528
266,L1360,11,standard,129,289530
267,L1360,11,standard,130,290532
268,L1360,11,standard,131,292535
269,L1360,11,standard,132,293536
270,L1360,11,standard,133,294538
271,L1360,22,deviant_target,134,295545
272,L1360,11,standard,135,296552
273,L1360,11,standard,136,297549
274,L1360,11,standard,137,298555
275,L1360,22,deviant_target,138,299556
276,L1368,11,standard,0,31506
277,L1368,11,standard,1,32508
278,L1368,11,standard,2,33505
279,L1368,11,standard,3,34505
280,L1368,11,standard,4,35505
281,L1368,22,deviant_target,5,36505
282,L1368,11,standard,6,37505
283,L1368,11,standard,7,38505
284,L1368,22,deviant_target,8,39505
285,L1368,11,standard,9,40506
286,L1368,11,standard,10,41505
287,L1368,11,standard,11,42504
288,L1368,11,standard,12,43505
289,L1368,11,standard,13,44505
290,L1368,11,standard,14,45504
291,L1368,11,standard,15,46504
292,L1368,22,deviant_target,16,47507
293,L1368,11,standard,17,48505
294,L1368,22,deviant_target,18,49508
295,L1368,11,standard,19,50504
296,L1368,11,standard,20,51504
297,L1368,11,standard,21,52506
298,L1368,11,standard,22,53504
299,L1368,11,standard,23,54504
300,L1368,11,standard,24,55505
301,L1368,22,deviant_target,25,56504
302,L1368,11,standard,26,57506
303,L1368,11,standard,27,58504
304,L1368,11,standard,28,59505
305,L1368,11,standard,29,60506
306,L1368,11,standard,30,91528
307,L1368,11,standard,31,92526
308,L1368,11,standard,32,93526
309,L1368,11,standard,33,94527
310,L1368,11,standard,34,95526
311,L1368,22,deviant_target,35,96526
312,L1368,11,standard,36,97527
313,L1368,11,standard,37,98526
314,L1368,22,deviant_target,38,99527
315,L1368,11,standard,39,100526
316,L1368,11,standard,40,101526
