group_code,n_subjects,n_positive,positive_rate,age_mean,sex_counts,grade_group_counts,eeg_flag,fnirs_flag,face_flag,fnirs_device_counts,cv_folds_present,n_cv_folds_present,locked_test_count,shortcut_risk
A_prefix3_A01,4,0,0,11.75,女:2|男:2,primary:4,0,0,4,none:4,0|1|4,3,1,review
A_prefix3_A02,223,64,0.28699552,15.466368,女:141|男:82,high:145|middle:78,203,219,223,bikom:80|none:4|yiruid:139,0|1|2|3|4,5,48,review
A_prefix3_A03,13,1,0.076923077,9.9230769,女:4|男:9,primary:13,0,0,13,none:13,0|1|2|3|4,5,4,review
A_prefix3_A04,114,53,0.46491228,15.657895,女:71|男:43,high:91|middle:23,86,106,114,none:8|yiruid:106,0|1|2|3|4,5,25,review
A_prefix3_A09,48,9,0.1875,10.395833,女:24|男:24,primary:48,0,0,48,none:48,0|1|2|3|4,5,12,review
A_prefix3_A10,128,39,0.3046875,13.054688,女:81|男:47,middle:128,95,115,125,none:13|yiruid:115,0|1|2|3|4,5,30,review
A_prefix3_B01,107,28,0.26168224,13.934579,女:67|男:40,high:6|middle:47|primary:54,89,102,107,none:5|yiruid:102,0|1|2|3|4,5,21,review
A_prefix3_B02,5,0,0,10.4,女:2|男:3,primary:5,0,0,5,none:5,1|2|4,3,2,review
A_prefix3_B03,201,48,0.23880597,14.457711,女:124|男:77,high:78|middle:123,139,186,201,none:15|yiruid:186,0|1|2|3|4,5,27,review
A_prefix3_B05,74,42,0.56756757,14.743243,女:40|男:34,high:34|middle:40,0,72,74,none:2|yiruid:72,0|1|2|3|4,5,19,review
A_prefix3_B06,210,21,0.1,10.128571,女:110|男:100,primary:210,1,0,210,none:210,0|1|2|3|4,5,46,high
A_prefix3_B08,71,11,0.15492958,9.915493,女:43|男:28,primary:71,0,0,71,none:71,0|1|2|3|4,5,9,review
A_prefix3_B09,25,7,0.28,10.64,女:12|男:13,primary:25,0,0,25,none:25,0|1|2|3|4,5,8,review
A_prefix3_B11,59,13,0.22033898,10.101695,女:33|男:26,primary:59,0,0,59,none:59,0|1|2|3|4,5,10,review
A_prefix3_B12,32,6,0.1875,9.90625,女:14|男:18,primary:32,0,0,32,none:32,0|1|2|3|4,5,7,review
A_prefix3_B13,91,30,0.32967033,16.164835,女:53|男:38,high:91,78,76,91,bikom:76|none:15,0|1|2|3|4,5,21,review
A_prefix3_B14,128,62,0.484375,14.296875,女:86|男:42,high:34|middle:94,107,124,128,none:4|yiruid:124,0|1|2|3|4,5,21,review
A_prefix3_B15,34,16,0.47058824,13.294118,女:24|男:10,high:3|middle:31,32,32,34,none:2|yiruid:32,0|1|2|3|4,5,4,review
A_prefix3_B16,125,42,0.336,14.048,女:78|男:47,high:53|middle:72,102,119,115,bikom:119|none:6,0|1|2|3|4,5,20,review
A_prefix3_C02,89,38,0.42696629,14.314607,女:68|男:21,high:28|middle:61,73,89,88,bikom:76|yiruid:13,0|1|2|3|4,5,15,review
A_prefix3_C04,69,26,0.37681159,14.884058,女:50|男:19,high:29|middle:40,62,69,68,bikom:69,0|1|2|3|4,5,9,review
A_prefix3_C05,6,1,0.16666667,11.333333,女:4|男:2,primary:6,0,0,6,none:6,1|2|3,3,2,review
A_prefix3_C06,21,11,0.52380952,14.238095,女:15|男:6,middle:21,20,21,21,bikom:21,0|1|2|3|4,5,2,review
A_prefix3_C07,26,9,0.34615385,11.230769,女:20|男:6,primary:26,0,0,26,none:26,0|1|2|3|4,5,6,review
A_prefix3_C08,116,33,0.28448276,13.827586,女:87|男:29,high:52|middle:64,0,115,114,bikom:98|none:1|yiruid:17,0|1|2|3|4,5,19,review
A_prefix3_C12,189,59,0.31216931,13.634921,女:111|男:78,middle:189,99,106,185,none:83|yiruid:106,0|1|2|3|4,5,46,review
A_prefix3_C13,58,9,0.15517241,11.086207,女:29|男:29,primary:58,0,0,58,none:58,0|1|2|3|4,5,12,review
A_prefix3_C16,196,25,0.12755102,10.72449,女:106|男:90,primary:196,0,0,196,none:196,0|1|2|3|4,5,35,high
A_prefix3_C17,52,27,0.51923077,15.942308,女:43|男:9,high:27|middle:25,40,52,52,bikom:52,0|1|2|3|4,5,15,review
A_prefix3_C18,654,137,0.20948012,14.43578,女:425|男:229,high:207|middle:447,514,618,652,bikom:523|none:36|yiruid:95,0|1|2|3|4,5,142,review
A_prefix3_C19,24,2,0.083333333,11.25,女:14|男:10,primary:24,0,0,24,none:24,0|1|2|3|4,5,6,high
A_prefix3_D07,160,12,0.075,10.58125,女:61|男:99,primary:160,0,0,160,none:160,0|1|2|3|4,5,32,high
A_prefix3_D08,214,95,0.44392523,16.598131,女:136|男:78,high:214,149,199,209,none:15|yiruid:199,0|1|2|3|4,5,42,review
A_prefix3_D13,141,66,0.46808511,13.893617,女:91|男:50,high:25|middle:116,121,139,140,none:2|yiruid:139,0|1|2|3|4,5,26,review
A_prefix3_E03,14,2,0.14285714,10.785714,女:6|男:8,primary:14,0,0,14,none:14,0|1|2|3|4,5,1,review
A_prefix3_E04,74,41,0.55405405,16.094595,女:39|男:35,high:74,0,72,74,none:2|yiruid:72,0|1|2|3|4,5,18,review
A_prefix3_E05,77,6,0.077922078,10.766234,女:36|男:41,primary:77,0,0,77,none:77,0|1|2|3|4,5,14,high
A_prefix3_E06,178,74,0.41573034,15.141243,[missing]:1|女:131|男:46,grade_missing:1|high:86|middle:91,133,169,178,none:9|yiruid:169,0|1|2|3|4,5,35,review
A_prefix3_E11,37,29,0.78378378,15.108108,女:26|男:11,high:20|middle:17,0,37,37,yiruid:37,0|1|2|3|4,5,10,review
A_prefix3_E12,10,2,0.2,15.5,女:1|男:9,primary:10,0,0,10,none:10,0|1|2|3|4,5,2,review
A_prefix3_E13,22,2,0.090909091,10.909091,女:9|男:13,primary:22,0,1,22,bikom:1|none:21,0|1|2|3|4,5,3,high
A_prefix3_E16,369,164,0.44444444,14.588076,女:268|男:101,high:111|middle:258,305,364,369,bikom:166|both:1|none:5|yiruid:197,0|1|2|3|4,5,73,review
A_prefix3_X12,1,1,1,15,女:1,middle:1,0,0,1,none:1,2,1,0,review
A_prefix3_X16,1,1,1,14,女:1,middle:1,0,0,1,none:1,3,1,0,review
A_prefix3_X23,1,1,1,15,女:1,middle:1,0,0,1,none:1,0,1,0,review
A_prefix3_X27,1,1,1,15,女:1,middle:1,0,0,1,none:1,3,1,0,review
A_prefix3_X30,1,1,1,14,女:1,middle:1,0,0,1,none:1,0,1,0,review
A_prefix3_X31,1,1,1,14,女:1,middle:1,0,0,1,none:1,1,1,0,review
A_prefix3_X51,1,1,1,14,女:1,middle:1,0,0,1,none:1,4,1,0,review
A_prefix3_X67,1,1,1,14,女:1,middle:1,0,0,1,none:1,2,1,0,review
A_prefix3_X68,1,1,1,15,女:1,middle:1,0,0,1,none:1,4,1,0,review
