task,model,fold,split,L_id,label
1back,inceptiontime,1,train,L10,0
1back,inceptiontime,1,train,L101,0
1back,inceptiontime,1,train,L102,1
1back,inceptiontime,1,train,L103,1
1back,inceptiontime,1,train,L104,0
1back,inceptiontime,1,train,L105,0
1back,inceptiontime,1,train,L106,1
1back,inceptiontime,1,train,L108,0
1back,inceptiontime,1,train,L109,1
1back,inceptiontime,1,train,L11,1
1back,inceptiontime,1,train,L110,0
1back,inceptiontime,1,train,L111,1
1back,inceptiontime,1,train,L112,0
1back,inceptiontime,1,train,L114,0
1back,inceptiontime,1,train,L115,1
1back,inceptiontime,1,train,L116,0
1back,inceptiontime,1,train,L117,0
1back,inceptiontime,1,train,L118,1
1back,inceptiontime,1,train,L119,0
1back,inceptiontime,1,train,L12,0
1back,inceptiontime,1,train,L120,0
1back,inceptiontime,1,train,L121,0
1back,inceptiontime,1,train,L122,0
1back,inceptiontime,1,train,L124,0
1back,inceptiontime,1,train,L126,0
1back,inceptiontime,1,train,L127,0
1back,inceptiontime,1,train,L128,0
1back,inceptiontime,1,train,L130,0
1back,inceptiontime,1,train,L133,1
1back,inceptiontime,1,train,L134,1
1back,inceptiontime,1,train,L135,0
1back,inceptiontime,1,train,L137,0
1back,inceptiontime,1,train,L138,0
1back,inceptiontime,1,train,L139,0
1back,inceptiontime,1,train,L14,0
1back,inceptiontime,1,train,L140,0
1back,inceptiontime,1,train,L141,1
1back,inceptiontime,1,train,L143,0
1back,inceptiontime,1,train,L144,0
1back,inceptiontime,1,train,L145,0
1back,inceptiontime,1,train,L146,0
1back,inceptiontime,1,train,L147,0
1back,inceptiontime,1,train,L149,0
1back,inceptiontime,1,train,L15,0
1back,inceptiontime,1,train,L150,0
1back,inceptiontime,1,train,L151,0
1back,inceptiontime,1,train,L153,0
1back,inceptiontime,1,train,L154,1
1back,inceptiontime,1,train,L155,0
1back,inceptiontime,1,train,L157,1
1back,inceptiontime,1,train,L158,0
1back,inceptiontime,1,train,L159,0
1back,inceptiontime,1,train,L16,1
1back,inceptiontime,1,train,L1609,0
1back,inceptiontime,1,train,L161,1
1back,inceptiontime,1,train,L1610,0
1back,inceptiontime,1,train,L1611,0
1back,inceptiontime,1,train,L1612,0
1back,inceptiontime,1,train,L1616,0
1back,inceptiontime,1,train,L1618,0
1back,inceptiontime,1,train,L1619,0
1back,inceptiontime,1,train,L162,0
1back,inceptiontime,1,train,L1620,0
1back,inceptiontime,1,train,L1621,0
1back,inceptiontime,1,train,L1622,1
1back,inceptiontime,1,train,L1623,0
1back,inceptiontime,1,train,L1625,0
1back,inceptiontime,1,train,L1629,1
1back,inceptiontime,1,train,L163,0
1back,inceptiontime,1,train,L1631,0
1back,inceptiontime,1,train,L1632,0
1back,inceptiontime,1,train,L1633,0
1back,inceptiontime,1,train,L1634,0
1back,inceptiontime,1,train,L1635,0
1back,inceptiontime,1,train,L1637,0
1back,inceptiontime,1,train,L1638,0
1back,inceptiontime,1,train,L1639,1
1back,inceptiontime,1,train,L164,1
1back,inceptiontime,1,train,L1641,1
1back,inceptiontime,1,train,L1643,0
1back,inceptiontime,1,train,L1650,0
1back,inceptiontime,1,train,L1651,0
1back,inceptiontime,1,train,L1652,0
1back,inceptiontime,1,train,L1654,0
1back,inceptiontime,1,train,L1656,0
1back,inceptiontime,1,train,L1657,1
1back,inceptiontime,1,train,L1658,0
1back,inceptiontime,1,train,L1660,0
1back,inceptiontime,1,train,L1662,1
1back,inceptiontime,1,train,L1663,1
1back,inceptiontime,1,train,L1664,1
1back,inceptiontime,1,train,L1666,1
