task,model,fold,split,L_id,label
oddball,inceptiontime,1,train,L10,0
oddball,inceptiontime,1,train,L1000,0
oddball,inceptiontime,1,train,L101,0
oddball,inceptiontime,1,train,L103,1
oddball,inceptiontime,1,train,L104,0
oddball,inceptiontime,1,train,L105,0
oddball,inceptiontime,1,train,L106,1
oddball,inceptiontime,1,train,L107,0
oddball,inceptiontime,1,train,L108,0
oddball,inceptiontime,1,train,L109,1
oddball,inceptiontime,1,train,L11,1
oddball,inceptiontime,1,train,L110,0
oddball,inceptiontime,1,train,L111,1
oddball,inceptiontime,1,train,L112,0
oddball,inceptiontime,1,train,L113,0
oddball,inceptiontime,1,train,L115,1
oddball,inceptiontime,1,train,L116,0
oddball,inceptiontime,1,train,L119,0
oddball,inceptiontime,1,train,L12,0
oddball,inceptiontime,1,train,L120,0
oddball,inceptiontime,1,train,L122,0
oddball,inceptiontime,1,train,L124,0
oddball,inceptiontime,1,train,L127,0
oddball,inceptiontime,1,train,L128,0
oddball,inceptiontime,1,train,L131,1
oddball,inceptiontime,1,train,L132,0
oddball,inceptiontime,1,train,L133,1
oddball,inceptiontime,1,train,L134,1
oddball,inceptiontime,1,train,L1351,0
oddball,inceptiontime,1,train,L1352,0
oddball,inceptiontime,1,train,L1353,0
oddball,inceptiontime,1,train,L1354,0
oddball,inceptiontime,1,train,L1355,0
oddball,inceptiontime,1,train,L1357,1
oddball,inceptiontime,1,train,L1358,0
oddball,inceptiontime,1,train,L1360,1
oddball,inceptiontime,1,train,L1362,1
oddball,inceptiontime,1,train,L1363,0
oddball,inceptiontime,1,train,L1367,0
oddball,inceptiontime,1,train,L137,0
oddball,inceptiontime,1,train,L1371,1
oddball,inceptiontime,1,train,L1373,1
oddball,inceptiontime,1,train,L1374,1
oddball,inceptiontime,1,train,L1375,0
oddball,inceptiontime,1,train,L1376,1
oddball,inceptiontime,1,train,L1377,1
oddball,inceptiontime,1,train,L1378,0
oddball,inceptiontime,1,train,L1379,0
oddball,inceptiontime,1,train,L138,0
oddball,inceptiontime,1,train,L1380,0
oddball,inceptiontime,1,train,L1382,0
oddball,inceptiontime,1,train,L1383,0
oddball,inceptiontime,1,train,L1385,1
oddball,inceptiontime,1,train,L1387,0
oddball,inceptiontime,1,train,L1388,0
oddball,inceptiontime,1,train,L1389,0
oddball,inceptiontime,1,train,L1390,0
oddball,inceptiontime,1,train,L1391,0
oddball,inceptiontime,1,train,L1393,0
oddball,inceptiontime,1,train,L1394,0
oddball,inceptiontime,1,train,L14,0
oddball,inceptiontime,1,train,L140,0
oddball,inceptiontime,1,train,L1401,0
oddball,inceptiontime,1,train,L1403,0
oddball,inceptiontime,1,train,L1406,0
oddball,inceptiontime,1,train,L1407,1
oddball,inceptiontime,1,train,L1408,1
oddball,inceptiontime,1,train,L1409,0
oddball,inceptiontime,1,train,L141,1
oddball,inceptiontime,1,train,L1410,0
oddball,inceptiontime,1,train,L1414,0
oddball,inceptiontime,1,train,L1425,0
oddball,inceptiontime,1,train,L1428,1
oddball,inceptiontime,1,train,L1429,0
oddball,inceptiontime,1,train,L143,0
oddball,inceptiontime,1,train,L1432,0
oddball,inceptiontime,1,train,L1434,0
oddball,inceptiontime,1,train,L1436,1
oddball,inceptiontime,1,train,L1438,0
oddball,inceptiontime,1,train,L1439,0
oddball,inceptiontime,1,train,L144,0
oddball,inceptiontime,1,train,L1442,0
oddball,inceptiontime,1,train,L1445,0
oddball,inceptiontime,1,train,L1446,0
oddball,inceptiontime,1,train,L1447,0
oddball,inceptiontime,1,train,L1448,0
oddball,inceptiontime,1,train,L1449,0
oddball,inceptiontime,1,train,L145,0
oddball,inceptiontime,1,train,L1451,0
oddball,inceptiontime,1,train,L1452,1
oddball,inceptiontime,1,train,L1453,1
oddball,inceptiontime,1,train,L1454,1
oddball,inceptiontime,1,train,L1455,0
oddball,inceptiontime,1,train,L1456,0
oddball,inceptiontime,1,train,L1458,0
oddball,inceptiontime,1,train,L1459,0
oddball,inceptiontime,1,train,L146,0
oddball,inceptiontime,1,train,L1460,0
oddball,inceptiontime,1,train,L1461,1
oddball,inceptiontime,1,train,L1463,1
oddball,inceptiontime,1,train,L1464,1
oddball,inceptiontime,1,train,L1465,0
oddball,inceptiontime,1,train,L1466,1
oddball,inceptiontime,1,train,L1467,0
oddball,inceptiontime,1,train,L1469,0
oddball,inceptiontime,1,train,L1470,1
oddball,inceptiontime,1,train,L1471,0
oddball,inceptiontime,1,train,L1472,0
oddball,inceptiontime,1,train,L1474,0
oddball,inceptiontime,1,train,L1475,0
oddball,inceptiontime,1,train,L1476,0
oddball,inceptiontime,1,train,L1477,0
oddball,inceptiontime,1,train,L1479,1
oddball,inceptiontime,1,train,L148,1
oddball,inceptiontime,1,train,L1480,1
oddball,inceptiontime,1,train,L1483,1
oddball,inceptiontime,1,train,L1484,1
oddball,inceptiontime,1,train,L1485,0
oddball,inceptiontime,1,train,L1486,1
oddball,inceptiontime,1,train,L1487,0
oddball,inceptiontime,1,train,L149,0
oddball,inceptiontime,1,train,L1492,1
oddball,inceptiontime,1,train,L1494,1
oddball,inceptiontime,1,train,L1495,1
oddball,inceptiontime,1,train,L1497,1
oddball,inceptiontime,1,train,L1498,0
oddball,inceptiontime,1,train,L1499,1
oddball,inceptiontime,1,train,L15,0
oddball,inceptiontime,1,train,L150,0
oddball,inceptiontime,1,train,L1500,1
oddball,inceptiontime,1,train,L1502,1
oddball,inceptiontime,1,train,L1503,1
oddball,inceptiontime,1,train,L1504,1
oddball,inceptiontime,1,train,L1505,1
oddball,inceptiontime,1,train,L1506,1
oddball,inceptiontime,1,train,L1507,1
oddball,inceptiontime,1,train,L1508,0
oddball,inceptiontime,1,train,L1509,0
oddball,inceptiontime,1,train,L151,0
oddball,inceptiontime,1,train,L1511,0
oddball,inceptiontime,1,train,L1512,1
oddball,inceptiontime,1,train,L1513,0
oddball,inceptiontime,1,train,L1514,1
oddball,inceptiontime,1,train,L1515,1
oddball,inceptiontime,1,train,L1516,1
oddball,inceptiontime,1,train,L1517,0
oddball,inceptiontime,1,train,L1518,1
oddball,inceptiontime,1,train,L152,0
oddball,inceptiontime,1,train,L1521,1
oddball,inceptiontime,1,train,L1523,0
oddball,inceptiontime,1,train,L1524,0
oddball,inceptiontime,1,train,L1527,0
oddball,inceptiontime,1,train,L1532,1
oddball,inceptiontime,1,train,L154,1
oddball,inceptiontime,1,train,L1540,0
oddball,inceptiontime,1,train,L1541,0
oddball,inceptiontime,1,train,L1543,0
oddball,inceptiontime,1,train,L1544,0
oddball,inceptiontime,1,train,L1545,1
oddball,inceptiontime,1,train,L1546,0
oddball,inceptiontime,1,train,L1547,1
oddball,inceptiontime,1,train,L1548,1
oddball,inceptiontime,1,train,L1549,0
oddball,inceptiontime,1,train,L1551,0
oddball,inceptiontime,1,train,L1552,0
oddball,inceptiontime,1,train,L1553,0
oddball,inceptiontime,1,train,L1554,0
oddball,inceptiontime,1,train,L1555,0
oddball,inceptiontime,1,train,L1556,0
