task,model,fold,split,L_id,label
rest,inceptiontime,1,train,L10,0
rest,inceptiontime,1,train,L11,1
rest,inceptiontime,1,train,L12,0
rest,inceptiontime,1,train,L1355,0
rest,inceptiontime,1,train,L1361,0
rest,inceptiontime,1,train,L1363,0
rest,inceptiontime,1,train,L1379,0
rest,inceptiontime,1,train,L1382,0
rest,inceptiontime,1,train,L1384,0
rest,inceptiontime,1,train,L1386,0
rest,inceptiontime,1,train,L1388,0
rest,inceptiontime,1,train,L1389,0
rest,inceptiontime,1,train,L1392,0
rest,inceptiontime,1,train,L1396,1
rest,inceptiontime,1,train,L1400,0
rest,inceptiontime,1,train,L1404,1
rest,inceptiontime,1,train,L1405,0
rest,inceptiontime,1,train,L1411,0
rest,inceptiontime,1,train,L1412,0
rest,inceptiontime,1,train,L1413,0
rest,inceptiontime,1,train,L1416,1
rest,inceptiontime,1,train,L1422,0
rest,inceptiontime,1,train,L1423,0
rest,inceptiontime,1,train,L1424,1
rest,inceptiontime,1,train,L1426,0
rest,inceptiontime,1,train,L1437,0
rest,inceptiontime,1,train,L1444,1
rest,inceptiontime,1,train,L1445,0
rest,inceptiontime,1,train,L1446,0
rest,inceptiontime,1,train,L1447,0
rest,inceptiontime,1,train,L1450,1
rest,inceptiontime,1,train,L1453,1
rest,inceptiontime,1,train,L1454,1
rest,inceptiontime,1,train,L1457,1
rest,inceptiontime,1,train,L1461,1
rest,inceptiontime,1,train,L1463,1
rest,inceptiontime,1,train,L1464,1
rest,inceptiontime,1,train,L1467,0
rest,inceptiontime,1,train,L1468,1
rest,inceptiontime,1,train,L1469,0
rest,inceptiontime,1,train,L1470,1
rest,inceptiontime,1,train,L1471,0
rest,inceptiontime,1,train,L1472,0
rest,inceptiontime,1,train,L1473,1
rest,inceptiontime,1,train,L1474,0
rest,inceptiontime,1,train,L1476,0
rest,inceptiontime,1,train,L1477,0
rest,inceptiontime,1,train,L1478,1
rest,inceptiontime,1,train,L1483,1
rest,inceptiontime,1,train,L1484,1
rest,inceptiontime,1,train,L1485,0
rest,inceptiontime,1,train,L1487,0
rest,inceptiontime,1,train,L1488,1
rest,inceptiontime,1,train,L1493,0
rest,inceptiontime,1,train,L1495,1
rest,inceptiontime,1,train,L1496,0
rest,inceptiontime,1,train,L1498,0
rest,inceptiontime,1,train,L1499,1
rest,inceptiontime,1,train,L1500,1
rest,inceptiontime,1,train,L1502,1
rest,inceptiontime,1,train,L1504,1
rest,inceptiontime,1,train,L1505,1
rest,inceptiontime,1,train,L1506,1
rest,inceptiontime,1,train,L1507,1
rest,inceptiontime,1,train,L1508,0
rest,inceptiontime,1,train,L1509,0
rest,inceptiontime,1,train,L1511,0
rest,inceptiontime,1,train,L1512,1
rest,inceptiontime,1,train,L1513,0
rest,inceptiontime,1,train,L1515,1
rest,inceptiontime,1,train,L1516,1
rest,inceptiontime,1,train,L1517,0
rest,inceptiontime,1,train,L1518,1
rest,inceptiontime,1,train,L1520,0
rest,inceptiontime,1,train,L1539,0
rest,inceptiontime,1,train,L1541,0
rest,inceptiontime,1,train,L1542,0
rest,inceptiontime,1,train,L1543,0
rest,inceptiontime,1,train,L1544,0
rest,inceptiontime,1,train,L1546,0
rest,inceptiontime,1,train,L1548,1
rest,inceptiontime,1,train,L1549,0
rest,inceptiontime,1,train,L1550,1
rest,inceptiontime,1,train,L1552,0
rest,inceptiontime,1,train,L1554,0
rest,inceptiontime,1,train,L1555,0
rest,inceptiontime,1,train,L1556,0
rest,inceptiontime,1,train,L1557,0
rest,inceptiontime,1,train,L1558,1
rest,inceptiontime,1,train,L1566,1
rest,inceptiontime,1,train,L1567,1
