L_id,task,label,window_in_subject,event_code,event_onset_sec,start_sec,stop_sec,n_samples
L10,1back,0,0,19,5.519,5.32,7.32,500
L10,1back,0,2,18,9.493,9.292,11.292,500
L10,1back,0,3,18,11.497,11.296,13.296,500
L10,1back,0,4,18,13.499,13.3,15.3,500
L10,1back,0,6,18,17.495,17.296,19.296,500
L10,1back,0,9,18,23.505,23.304,25.304,500
L10,1back,0,10,18,25.495,25.296,27.296,500
L10,1back,0,11,18,27.505,27.304,29.304,500
L10,1back,0,12,18,29.507,29.308,31.308,500
L10,1back,0,13,18,31.493,31.292,33.292,500
L10,1back,0,15,19,38.522,38.32,40.32,500
L10,1back,0,16,18,40.494,40.296,42.296,500
L10,1back,0,18,18,44.5,44.3,46.3,500
L10,1back,0,19,18,46.492,46.292,48.292,500
L10,1back,0,20,18,48.495,48.296,50.296,500
L10,1back,0,23,18,54.495,54.296,56.296,500
L100,1back,0,1,18,7.056,6.856,8.856,500
L100,1back,0,4,18,13.056,12.856,14.856,500
L100,1back,0,5,18,15.055,14.856,16.856,500
L100,1back,0,6,18,17.056,16.856,18.856,500
L100,1back,0,7,18,19.056,18.856,20.856,500
L100,1back,0,8,18,21.057,20.856,22.856,500
L100,1back,0,13,18,31.05,30.848,32.848,500
L100,1back,0,17,18,42.049,41.848,43.848,500
L100,1back,0,19,18,46.056,45.856,47.856,500
L101,1back,0,1,18,9.004,8.804,10.804,500
L101,1back,0,3,18,12.998,12.8,14.8,500
L101,1back,0,7,18,21.004,20.804,22.804,500
L101,1back,0,16,18,42.004,41.804,43.804,500
L101,1back,0,19,18,47.998,47.796,49.796,500
L101,1back,0,20,18,49.998,49.796,51.796,500
L101,1back,0,21,18,52.005,51.804,53.804,500
L101,1back,0,22,18,54.004,53.804,55.804,500
L102,1back,1,0,19,12.834,12.632,14.632,500
L102,1back,1,1,18,14.82,14.62,16.62,500
L102,1back,1,2,18,16.811,16.612,18.612,500
L102,1back,1,4,18,20.818,20.62,22.62,500
L102,1back,1,5,18,22.822,22.624,24.624,500
L102,1back,1,7,18,26.82,26.62,28.62,500
L102,1back,1,8,18,28.818,28.62,30.62,500
L102,1back,1,9,18,30.822,30.624,32.624,500
L102,1back,1,10,18,32.813,32.612,34.612,500
L102,1back,1,11,18,34.816,34.616,36.616,500
L102,1back,1,13,18,38.811,38.612,40.612,500
L102,1back,1,14,18,40.814,40.616,42.616,500
L102,1back,1,16,18,47.815,47.616,49.616,500
L102,1back,1,17,18,49.816,49.616,51.616,500
L102,1back,1,18,18,51.82,51.62,53.62,500
L102,1back,1,19,18,53.811,53.612,55.612,500
L102,1back,1,21,18,57.818,57.616,59.616,500
L103,1back,1,2,18,8.767,8.568,10.568,500
L103,1back,1,3,18,10.764,10.564,12.564,500
L103,1back,1,5,18,14.776,14.576,16.576,500
L103,1back,1,6,18,16.779,16.58,18.58,500
L103,1back,1,8,18,20.771,20.572,22.572,500
L103,1back,1,9,18,22.769,22.568,24.568,500
L103,1back,1,10,18,24.767,24.568,26.568,500
L103,1back,1,11,18,26.765,26.564,28.564,500
L103,1back,1,12,18,28.763,28.564,30.564,500
L103,1back,1,13,18,30.782,30.584,32.584,500
L103,1back,1,15,19,37.802,37.6,39.6,500
L103,1back,1,16,18,39.769,39.568,41.568,500
L103,1back,1,17,18,41.766,41.564,43.564,500
L103,1back,1,19,18,45.764,45.564,47.564,500
L103,1back,1,20,18,47.783,47.584,49.584,500
L103,1back,1,22,18,51.778,51.576,53.576,500
L103,1back,1,23,18,53.771,53.572,55.572,500
L104,1back,0,0,19,21.762,21.56,23.56,500
L104,1back,0,1,18,23.726,23.528,25.528,500
L104,1back,0,2,18,25.727,25.528,27.528,500
L104,1back,0,3,18,27.727,27.528,29.528,500
L104,1back,0,4,18,29.727,29.528,31.528,500
L104,1back,0,5,18,31.728,31.528,33.528,500
L104,1back,0,6,18,33.728,33.528,35.528,500
L104,1back,0,7,18,35.728,35.528,37.528,500
L104,1back,0,8,18,37.727,37.528,39.528,500
L104,1back,0,9,18,39.727,39.528,41.528,500
L104,1back,0,10,18,41.727,41.528,43.528,500
L104,1back,0,11,18,43.728,43.528,45.528,500
L104,1back,0,12,18,45.726,45.524,47.524,500
L104,1back,0,13,18,47.728,47.528,49.528,500
L104,1back,0,14,18,49.727,49.528,51.528,500
L104,1back,0,15,19,54.759,54.56,56.56,500
L104,1back,0,16,18,56.726,56.524,58.524,500
L105,1back,0,0,19,4.142,3.944,5.944,500
L105,1back,0,1,18,6.126,5.928,7.928,500
L105,1back,0,2,18,8.122,7.92,9.92,500
L105,1back,0,3,18,10.122,9.92,11.92,500
L105,1back,0,4,18,12.121,11.92,13.92,500
L105,1back,0,5,18,14.122,13.92,15.92,500
L105,1back,0,6,18,16.122,15.92,17.92,500
L105,1back,0,7,18,18.126,17.928,19.928,500
L105,1back,0,8,18,20.126,19.928,21.928,500
L105,1back,0,9,18,22.122,21.92,23.92,500
L105,1back,0,10,18,24.122,23.92,25.92,500
L105,1back,0,11,18,26.122,25.92,27.92,500
L105,1back,0,12,18,28.121,27.92,29.92,500
L105,1back,0,13,18,30.122,29.92,31.92,500
L105,1back,0,14,18,32.129,31.928,33.928,500
L105,1back,0,15,19,37.132,36.932,38.932,500
L105,1back,0,16,18,39.121,38.92,40.92,500
L105,1back,0,17,18,41.113,40.912,42.912,500
L105,1back,0,18,18,43.122,42.92,44.92,500
L105,1back,0,19,18,45.126,44.924,46.924,500
L105,1back,0,20,18,47.122,46.92,48.92,500
