L_id,task,label,window_in_subject,event_code,event_onset_sec,start_sec,stop_sec,n_samples
L10,oddball,0,0,22,38.243,38.044,39.044,250
L10,oddball,0,1,22,42.256,42.056,43.056,250
L10,oddball,0,2,22,44.258,44.056,45.056,250
L10,oddball,0,5,22,98.315,98.116,99.116,250
L10,oddball,0,6,22,102.321,102.12,103.12,250
L10,oddball,0,7,22,104.324,104.124,105.124,250
L10,oddball,0,9,22,117.344,117.144,118.144,250
L10,oddball,0,10,22,158.382,158.184,159.184,250
L10,oddball,0,11,22,162.39,162.192,163.192,250
L10,oddball,0,12,22,164.393,164.192,165.192,250
L10,oddball,0,13,22,174.406,174.208,175.208,250
L10,oddball,0,14,22,177.411,177.212,178.212,250
L10,oddball,0,15,22,218.449,218.248,219.248,250
L10,oddball,0,16,22,222.454,222.256,223.256,250
L10,oddball,0,17,22,224.457,224.256,225.256,250
L10,oddball,0,18,22,234.473,234.272,235.272,250
L10,oddball,0,19,22,237.477,237.276,238.276,250
L10,oddball,0,20,22,278.516,278.316,279.316,250
L10,oddball,0,21,22,282.522,282.32,283.32,250
L10,oddball,0,22,22,284.527,284.328,285.328,250
L10,oddball,0,23,22,294.54,294.34,295.34,250
L10,oddball,0,24,22,297.545,297.344,298.344,250
L100,oddball,0,0,22,42.327,42.128,43.128,250
L100,oddball,0,1,22,46.303,46.104,47.104,250
L100,oddball,0,2,22,49.284,49.084,50.084,250
L100,oddball,0,5,22,102.199,102.0,103.0,250
L100,oddball,0,7,22,109.157,108.956,109.956,250
L100,oddball,0,8,22,111.145,110.944,111.944,250
L100,oddball,0,9,22,113.133,112.932,113.932,250
L100,oddball,0,10,22,162.036,161.836,162.836,250
L100,oddball,0,11,22,166.005,165.804,166.804,250
L100,oddball,0,12,22,168.988,168.788,169.788,250
L100,oddball,0,13,22,170.969,170.768,171.768,250
L100,oddball,0,14,22,172.957,172.756,173.756,250
L100,oddball,0,15,22,221.854,221.656,222.656,250
L100,oddball,0,16,22,225.83,225.632,226.632,250
L100,oddball,0,17,22,228.812,228.612,229.612,250
L100,oddball,0,18,22,230.799,230.6,231.6,250
L100,oddball,0,19,22,232.788,232.588,233.588,250
L100,oddball,0,20,22,281.672,281.472,282.472,250
L100,oddball,0,21,22,285.648,285.448,286.448,250
L100,oddball,0,22,22,288.624,288.424,289.424,250
L100,oddball,0,23,22,290.611,290.412,291.412,250
L100,oddball,0,24,22,292.599,292.4,293.4,250
L1000,oddball,0,0,22,39.781,39.58,40.58,250
L1000,oddball,0,1,22,42.785,42.584,43.584,250
L1000,oddball,0,2,22,51.875,51.676,52.676,250
L1000,oddball,0,3,22,53.877,53.676,54.676,250
L1000,oddball,0,4,22,55.881,55.68,56.68,250
L1000,oddball,0,5,22,99.913,99.712,100.712,250
L1000,oddball,0,6,22,102.918,102.72,103.72,250
L1000,oddball,0,7,22,111.93,111.728,112.728,250
L1000,oddball,0,8,22,113.933,113.732,114.732,250
L1000,oddball,0,9,22,115.936,115.736,116.736,250
L1000,oddball,0,10,22,159.981,159.78,160.78,250
