L_id,task,status,error,windows,rejected_windows
L10,1back,ok,,16,9
L100,1back,ok,,9,16
L101,1back,ok,,8,16
L102,1back,ok,,17,5
L103,1back,ok,,17,8
L104,1back,ok,,17,0
L105,1back,ok,,26,0
L106,1back,ok,,1,24
L107,1back,ok,,5,14
L108,1back,ok,,13,5
L109,1back,ok,,12,11
L11,1back,ok,,24,0
L110,1back,ok,,19,5
L111,1back,ok,,20,5
L112,1back,ok,,19,0
L113,1back,ok,,8,16
L114,1back,ok,,15,10
L115,1back,ok,,22,1
L116,1back,ok,,23,1
L117,1back,ok,,10,15
L118,1back,ok,,22,2
L119,1back,ok,,23,2
L12,1back,ok,,17,3
L120,1back,ok,,17,9
L121,1back,ok,,12,12
L122,1back,ok,,14,1
L124,1back,ok,,14,8
L125,1back,ok,,23,3
L126,1back,ok,,4,21
L127,1back,ok,,26,0
L128,1back,ok,,19,6
L129,1back,ok,,23,1
L130,1back,ok,,25,0
L131,1back,ok,,10,10
L132,1back,ok,,13,11
L133,1back,ok,,16,9
L134,1back,ok,,3,22
L135,1back,ok,,10,16
L136,1back,ok,,17,0
L137,1back,ok,,2,18
L138,1back,ok,,7,18
L139,1back,ok,,18,7
L14,1back,ok,,21,5
L140,1back,ok,,19,4
L141,1back,ok,,17,8
L142,1back,ok,,20,5
L143,1back,ok,,20,5
L144,1back,ok,,25,1
L145,1back,ok,,25,0
L146,1back,ok,,25,0
L147,1back,ok,,20,6
L148,1back,ok,,4,21
L149,1back,ok,,23,2
L15,1back,ok,,22,2
L150,1back,ok,,23,0
L151,1back,ok,,22,0
L152,1back,ok,,12,10
L153,1back,ok,,24,1
L154,1back,ok,,26,0
L155,1back,ok,,22,3
L157,1back,ok,,20,3
L158,1back,ok,,21,4
L159,1back,ok,,7,15
L16,1back,ok,,16,9
L160,1back,ok,,21,4
L1609,1back,ok,,15,6
L161,1back,ok,,12,13
L1610,1back,ok,,17,8
L1611,1back,ok,,9,16
L1612,1back,ok,,17,7
L1615,1back,ok,,13,11
L1616,1back,ok,,24,1
L1618,1back,ok,,18,6
L1619,1back,ok,,5,21
L162,1back,ok,,19,7
L1620,1back,ok,,18,7
