L_id,task,status,error,windows,rejected_windows
L10,oddball,ok,,22,3
L100,oddball,ok,,22,3
L1000,oddball,ok,,25,0
L101,oddball,ok,,24,1
L102,oddball,ok,,24,0
L103,oddball,ok,,24,0
L104,oddball,ok,,23,0
L105,oddball,ok,,25,0
L106,oddball,ok,,23,1
L107,oddball,ok,,16,8
L108,oddball,ok,,23,0
L109,oddball,ok,,25,0
L11,oddball,ok,,24,1
L110,oddball,ok,,21,0
L111,oddball,ok,,24,0
L112,oddball,ok,,25,0
L113,oddball,ok,,25,0
L114,oddball,ok,,25,0
L115,oddball,ok,,14,11
L116,oddball,ok,,20,5
L117,oddball,ok,,25,0
L118,oddball,ok,,25,0
L119,oddball,ok,,22,0
L12,oddball,ok,,24,1
L120,oddball,ok,,24,0
L121,oddball,ok,,21,0
L122,oddball,ok,,25,0
L124,oddball,ok,,20,0
L125,oddball,ok,,25,0
L126,oddball,ok,,25,0
L127,oddball,ok,,24,1
L128,oddball,ok,,5,0
L129,oddball,ok,,23,0
L130,oddball,ok,,24,0
L131,oddball,ok,,25,0
L132,oddball,ok,,25,0
L133,oddball,ok,,20,5
L134,oddball,ok,,5,0
L135,oddball,ok,,23,0
L1351,oddball,ok,,24,1
L1352,oddball,ok,,24,0
L1353,oddball,ok,,25,0
L1354,oddball,ok,,23,0
L1355,oddball,ok,,23,0
L1356,oddball,fail,no_valid_windows,0,0
L1357,oddball,ok,,23,0
L1358,oddball,ok,,25,0
L136,oddball,ok,,23,1
L1360,oddball,ok,,24,1
L1361,oddball,fail,IndexError('list index out of range'),0,0
L1362,oddball,ok,,25,0
L1363,oddball,ok,,25,0
L1367,oddball,ok,,25,0
L1368,oddball,ok,,25,0
L137,oddball,ok,,25,0
L1370,oddball,fail,IndexError('list index out of range'),0,0
L1371,oddball,ok,,22,3
L1373,oddball,ok,,25,0
L1374,oddball,ok,,24,1
L1375,oddball,ok,,23,2
L1376,oddball,ok,,25,0
L1377,oddball,ok,,23,2
L1378,oddball,ok,,20,4
L1379,oddball,ok,,24,0
L138,oddball,ok,,23,2
L1380,oddball,ok,,17,8
L1381,oddball,ok,,21,3
L1382,oddball,ok,,19,1
L1383,oddball,ok,,24,0
L1384,oddball,ok,,23,2
L1385,oddball,ok,,21,4
L1386,oddball,fail,no_valid_windows,0,0
L1387,oddball,ok,,24,0
L1388,oddball,ok,,23,1
L1389,oddball,ok,,23,1
L139,oddball,ok,,25,0
L1390,oddball,ok,,23,2
L1391,oddball,ok,,25,0
L1392,oddball,ok,,24,0
L1393,oddball,ok,,16,2
L1394,oddball,ok,,23,2
L14,oddball,ok,,20,5
L140,oddball,ok,,25,0
L1401,oddball,ok,,24,1
L1403,oddball,ok,,23,1
L1406,oddball,ok,,25,0
L1407,oddball,ok,,23,2
L1408,oddball,ok,,10,15
L1409,oddball,ok,,22,3
L141,oddball,ok,,24,0
L1410,oddball,ok,,23,0
L1414,oddball,ok,,23,1
L1418,oddball,ok,,23,1
L142,oddball,ok,,23,1
L1425,oddball,ok,,14,11
L1427,oddball,fail,IndexError('list index out of range'),0,0
L1428,oddball,ok,,25,0
L1429,oddball,ok,,21,2
L143,oddball,ok,,23,0
L1430,oddball,ok,,24,1
L1431,oddball,ok,,25,0
L1432,oddball,ok,,24,1
L1433,oddball,ok,,20,5
L1434,oddball,ok,,24,0
L1436,oddball,ok,,17,8
L1438,oddball,ok,,23,2
L1439,oddball,ok,,25,0
L144,oddball,ok,,25,0
L1440,oddball,fail,no_valid_windows,0,0
L1441,oddball,ok,,25,0
L1442,oddball,ok,,22,3
L1443,oddball,ok,,25,0
L1445,oddball,ok,,25,0
L1446,oddball,ok,,23,0
L1447,oddball,ok,,22,3
L1448,oddball,ok,,18,6
L1449,oddball,ok,,24,1
L145,oddball,ok,,17,3
L1450,oddball,ok,,25,0
L1451,oddball,ok,,23,2
L1452,oddball,ok,,22,3
L1453,oddball,ok,,19,6
L1454,oddball,ok,,21,4
L1455,oddball,ok,,21,4
L1456,oddball,ok,,25,0
L1457,oddball,ok,,24,0
L1458,oddball,ok,,23,0
L1459,oddball,ok,,25,0
L146,oddball,ok,,24,0
L1460,oddball,ok,,20,0
L1461,oddball,ok,,24,1
L1462,oddball,ok,,22,3
L1463,oddball,ok,,16,4
L1464,oddball,ok,,25,0
L1465,oddball,ok,,24,0
L1466,oddball,ok,,23,2
L1467,oddball,ok,,13,7
L1468,oddball,ok,,22,2
L1469,oddball,ok,,25,0
L147,oddball,ok,,24,1
L1470,oddball,ok,,18,2
L1471,oddball,ok,,25,0
L1472,oddball,ok,,23,2
L1473,oddball,ok,,23,2
L1474,oddball,ok,,23,1
L1475,oddball,ok,,21,4
L1476,oddball,ok,,20,0
L1477,oddball,ok,,24,1
L1478,oddball,ok,,23,1
L1479,oddball,ok,,22,3
L148,oddball,ok,,25,0
L1480,oddball,ok,,21,4
L1483,oddball,ok,,24,1
L1484,oddball,ok,,21,4
L1485,oddball,ok,,23,1
L1486,oddball,ok,,24,1
L1487,oddball,ok,,25,0
L1488,oddball,ok,,21,4
L149,oddball,ok,,21,4
L1492,oddball,ok,,25,0
L1493,oddball,ok,,24,0
L1494,oddball,ok,,15,0
L1495,oddball,ok,,25,0
L1496,oddball,ok,,25,0
L1497,oddball,ok,,23,1
L1498,oddball,ok,,24,1
L1499,oddball,ok,,24,1
L15,oddball,ok,,23,2
L150,oddball,ok,,20,0
L1500,oddball,ok,,21,0
L1502,oddball,ok,,23,2
L1503,oddball,ok,,19,6
L1504,oddball,ok,,25,0
L1505,oddball,ok,,25,0
L1506,oddball,ok,,23,2
L1507,oddball,ok,,25,0
L1508,oddball,ok,,24,1
L1509,oddball,ok,,25,0
L151,oddball,ok,,23,0
L1511,oddball,ok,,24,1
L1512,oddball,ok,,21,2
L1513,oddball,ok,,24,0
L1514,oddball,ok,,23,1
L1515,oddball,ok,,22,0
L1516,oddball,ok,,23,2
L1517,oddball,ok,,25,0
L1518,oddball,ok,,22,2
L1519,oddball,ok,,22,2
L152,oddball,ok,,19,1
L1520,oddball,ok,,25,0
L1521,oddball,ok,,22,0
L1522,oddball,ok,,20,0
L1523,oddball,ok,,25,0
L1524,oddball,ok,,25,0
