L_id,task,status,error,windows,rejected_windows
L10,rest,ok,,56,5
L11,rest,ok,,39,23
L12,rest,ok,,60,7
L1355,rest,ok,,66,0
L1361,rest,ok,,38,23
L1363,rest,ok,,38,24
L1379,rest,ok,,60,5
L1382,rest,ok,,48,18
L1384,rest,ok,,36,24
L1386,rest,ok,,61,0
L1387,rest,ok,,56,5
L1388,rest,ok,,57,7
L1389,rest,ok,,36,32
L1392,rest,ok,,49,13
L1393,rest,ok,,38,24
L1396,rest,ok,,58,2
L1399,rest,ok,,34,26
L1400,rest,ok,,58,3
L1404,rest,ok,,53,7
L1405,rest,ok,,44,17
L1411,rest,ok,,56,4
L1412,rest,ok,,59,1
L1413,rest,ok,,43,17
L1416,rest,ok,,40,20
L1422,rest,ok,,61,1
L1423,rest,ok,,28,42
L1424,rest,ok,,60,1
L1426,rest,ok,,60,0
L1437,rest,ok,,60,1
L1444,rest,ok,,46,15
L1445,rest,ok,,58,4
L1446,rest,ok,,38,26
L1447,rest,ok,,72,6
L1449,rest,ok,,49,11
L1450,rest,ok,,59,11
L1451,rest,ok,,36,39
L1452,rest,ok,,58,4
L1453,rest,ok,,50,10
L1454,rest,ok,,52,10
L1455,rest,ok,,65,0
L1457,rest,ok,,50,20
L1461,rest,ok,,36,25
L1463,rest,ok,,19,43
L1464,rest,ok,,53,40
L1467,rest,ok,,45,17
L1468,rest,ok,,71,8
L1469,rest,ok,,47,16
L1470,rest,ok,,68,5
L1471,rest,ok,,42,20
L1472,rest,ok,,41,20
L1473,rest,ok,,55,24
L1474,rest,ok,,67,7
L1475,rest,ok,,43,17
L1476,rest,ok,,59,3
L1477,rest,ok,,19,46
L1478,rest,ok,,53,17
L1483,rest,ok,,67,14
L1484,rest,ok,,36,26
L1485,rest,ok,,57,14
L1487,rest,ok,,49,13
L1488,rest,ok,,52,11
L1492,rest,ok,,59,7
L1493,rest,ok,,60,10
L1494,rest,ok,,51,17
L1495,rest,ok,,48,14
L1496,rest,ok,,63,1
L1497,rest,ok,,69,19
L1498,rest,ok,,58,3
L1499,rest,ok,,55,9
L1500,rest,ok,,68,2
L1502,rest,ok,,56,10
L1503,rest,ok,,72,2
L1504,rest,ok,,54,7
L1505,rest,ok,,29,31
L1506,rest,ok,,71,2
L1507,rest,ok,,57,3
L1508,rest,ok,,62,0
L1509,rest,ok,,59,13
L1511,rest,ok,,52,10
L1512,rest,ok,,57,7
L1513,rest,ok,,46,22
L1515,rest,ok,,61,1
L1516,rest,ok,,51,9
L1517,rest,ok,,62,2
L1518,rest,ok,,50,20
L1520,rest,ok,,40,20
L1539,rest,ok,,29,43
L1540,rest,ok,,23,39
L1541,rest,ok,,54,6
L1542,rest,ok,,56,4
L1543,rest,ok,,71,2
L1544,rest,ok,,54,6
L1545,rest,ok,,49,15
L1546,rest,ok,,55,7
L1547,rest,ok,,37,23
L1548,rest,ok,,58,4
L1549,rest,ok,,40,22
L1550,rest,ok,,69,8
L1551,rest,ok,,23,39
L1552,rest,ok,,49,15
L1553,rest,ok,,38,26
L1554,rest,ok,,47,15
L1555,rest,ok,,47,13
L1556,rest,ok,,48,15
L1557,rest,ok,,57,3
L1558,rest,ok,,48,13
L1560,rest,ok,,67,4
L1562,rest,ok,,58,4
L1564,rest,ok,,58,7
L1565,rest,ok,,52,12
L1566,rest,ok,,69,0
L1567,rest,ok,,65,25
L1568,rest,ok,,59,4
L1569,rest,ok,,68,0
L1570,rest,ok,,29,42
L1571,rest,ok,,52,10
L1572,rest,ok,,60,2
L1573,rest,ok,,61,4
L1574,rest,ok,,41,20
L1575,rest,ok,,66,7
L1576,rest,ok,,29,55
L1577,rest,ok,,46,16
L1578,rest,ok,,60,3
L1579,rest,ok,,55,6
L1580,rest,ok,,26,36
L1581,rest,ok,,56,18
L1582,rest,ok,,62,8
L1583,rest,ok,,32,44
L1584,rest,ok,,47,19
L1585,rest,ok,,65,4
L1586,rest,ok,,49,19
L1587,rest,ok,,52,12
L1588,rest,ok,,51,11
L1589,rest,ok,,59,1
L1590,rest,ok,,67,3
L1591,rest,ok,,45,19
L1592,rest,ok,,8,64
L1593,rest,ok,,50,10
L1594,rest,ok,,45,17
L1595,rest,ok,,54,6
L1596,rest,ok,,65,4
L1597,rest,ok,,29,40
L1598,rest,ok,,96,12
L1600,rest,ok,,63,6
L1601,rest,ok,,60,3
L1602,rest,ok,,30,42
L1603,rest,ok,,52,18
L1604,rest,ok,,36,26
L1606,rest,ok,,67,4
L1608,rest,ok,,64,9
L1609,rest,ok,,48,15
L1610,rest,ok,,58,2
L1611,rest,ok,,39,21
L1612,rest,ok,,49,13
L1613,rest,ok,,18,74
L1615,rest,ok,,70,16
L1616,rest,ok,,59,1
L1618,rest,ok,,53,9
L1619,rest,ok,,40,20
L1620,rest,ok,,66,2
L1621,rest,ok,,80,4
L1622,rest,ok,,37,25
L1623,rest,ok,,50,12
L1624,rest,ok,,45,27
L1625,rest,ok,,45,16
L1626,rest,fail,no_valid_windows,0,63
L1627,rest,ok,,46,14
L1628,rest,ok,,60,1
L1629,rest,ok,,36,25
L1630,rest,ok,,57,11
L1631,rest,ok,,42,18
L1632,rest,ok,,38,23
L1633,rest,ok,,50,13
L1634,rest,ok,,61,2
L1635,rest,ok,,55,5
L1636,rest,ok,,35,25
L1637,rest,ok,,57,3
L1638,rest,ok,,62,6
L1639,rest,ok,,50,14
L1641,rest,ok,,59,3
L1642,rest,ok,,38,24
L1643,rest,ok,,42,24
L1644,rest,fail,no_valid_windows,0,63
L1645,rest,ok,,59,1
L1648,rest,ok,,60,0
L1649,rest,ok,,9,54
L1650,rest,ok,,59,2
L1651,rest,ok,,59,8
L1652,rest,ok,,63,3
L1654,rest,ok,,44,18
L1655,rest,ok,,62,2
L1656,rest,ok,,51,13
L1657,rest,ok,,64,2
L1658,rest,ok,,77,6
L1659,rest,ok,,95,3
L1660,rest,ok,,54,7
L1662,rest,ok,,59,10
L1663,rest,ok,,55,7
L1664,rest,ok,,67,4
L1666,rest,ok,,46,14
L1667,rest,ok,,62,4
L1668,rest,ok,,59,6
L1672,rest,ok,,66,9
L1673,rest,ok,,59,1
L1675,rest,ok,,55,6
L1676,rest,ok,,49,12
L1677,rest,ok,,49,13
L1678,rest,ok,,56,5
L168,rest,fail,no_valid_windows,0,64
L1680,rest,ok,,116,12
L1683,rest,ok,,57,10
L1684,rest,ok,,53,9
L1685,rest,ok,,57,4
L169,rest,ok,,55,8
L170,rest,ok,,44,30
L171,rest,ok,,58,5
L172,rest,ok,,50,11
L1725,rest,ok,,59,2
L1726,rest,ok,,34,26
L1727,rest,ok,,59,3
L1728,rest,ok,,68,0
L1729,rest,ok,,60,2
L173,rest,ok,,64,1
L1731,rest,ok,,57,6
L1732,rest,ok,,53,8
L1733,rest,ok,,49,12
L1734,rest,ok,,3,10
L1736,rest,ok,,52,15
L1737,rest,ok,,33,29
L1738,rest,ok,,51,11
L174,rest,ok,,45,19
L1740,rest,ok,,54,6
L1741,rest,ok,,52,8
L1742,rest,ok,,33,27
L1743,rest,ok,,58,3
L1744,rest,ok,,42,18
L1745,rest,ok,,34,29
L1746,rest,ok,,34,27
L1747,rest,ok,,60,1
L1748,rest,ok,,51,16
L1749,rest,ok,,54,6
L175,rest,ok,,53,8
L1750,rest,ok,,64,7
L1751,rest,ok,,71,9
L1753,rest,ok,,56,7
L1755,rest,ok,,45,23
L1756,rest,ok,,61,1
L1757,rest,ok,,54,6
L1758,rest,ok,,56,7
L1759,rest,ok,,52,9
L176,rest,ok,,58,9
L1760,rest,ok,,49,24
L1761,rest,ok,,32,28
L1762,rest,ok,,51,9
L1763,rest,ok,,60,0
L1764,rest,ok,,40,23
L1765,rest,ok,,67,5
L1766,rest,ok,,45,21
L1767,rest,ok,,55,5
L1768,rest,ok,,46,14
L1769,rest,ok,,55,13
L177,rest,ok,,68,4
L1770,rest,ok,,17,43
L1771,rest,ok,,51,9
L1773,rest,ok,,53,35
L1774,rest,ok,,43,18
L1775,rest,ok,,48,12
L1776,rest,ok,,58,3
L1777,rest,ok,,68,1
L1778,rest,ok,,57,10
L178,rest,ok,,65,9
L1782,rest,ok,,89,8
L1783,rest,ok,,58,8
L1784,rest,ok,,51,10
L1786,rest,ok,,49,12
L1788,rest,ok,,59,12
L1789,rest,ok,,65,2
L179,rest,ok,,66,1
L1790,rest,ok,,56,5
L1791,rest,ok,,53,8
L1795,rest,ok,,51,11
L1798,rest,ok,,60,1
L1799,rest,ok,,65,10
L18,rest,fail,no_valid_windows,0,2
L180,rest,fail,no_valid_windows,0,68
L1800,rest,ok,,74,5
L1802,rest,ok,,60,5
L1803,rest,ok,,61,1
L1804,rest,ok,,60,2
L1805,rest,ok,,54,8
L1806,rest,ok,,28,35
L1807,rest,ok,,62,2
L1808,rest,ok,,63,1
L1809,rest,ok,,63,2
L181,rest,ok,,62,1
L1810,rest,ok,,60,1
L1811,rest,ok,,57,4
L1812,rest,ok,,70,21
L1813,rest,ok,,34,28
L1814,rest,ok,,54,8
L1816,rest,ok,,40,22
L1817,rest,ok,,59,4
L1818,rest,ok,,67,0
L1819,rest,fail,no_valid_windows,0,63
L182,rest,ok,,53,16
L1823,rest,ok,,37,28
L183,rest,ok,,61,1
L1830,rest,ok,,59,10
L1832,rest,ok,,46,19
L1833,rest,ok,,54,7
L1835,rest,ok,,60,0
L1836,rest,ok,,46,14
L1837,rest,ok,,52,13
L1838,rest,ok,,43,26
L184,rest,ok,,47,15
L1850,rest,ok,,59,4
L1851,rest,ok,,56,8
L1852,rest,ok,,72,1
L1853,rest,ok,,60,1
L1854,rest,ok,,61,7
L1855,rest,ok,,82,6
L1860,rest,ok,,46,20
L1864,rest,ok,,43,18
L1865,rest,ok,,52,8
L1866,rest,ok,,56,4
L1867,rest,fail,no_valid_windows,0,64
L1871,rest,ok,,51,12
L1872,rest,ok,,62,2
L1876,rest,ok,,47,13
L1877,rest,ok,,61,1
L1878,rest,ok,,58,3
L1879,rest,ok,,59,3
L1881,rest,ok,,55,8
L1891,rest,ok,,47,14
L1892,rest,ok,,16,44
L1893,rest,ok,,36,28
L1894,rest,ok,,59,3
L1895,rest,ok,,46,30
L1896,rest,ok,,64,10
L1897,rest,ok,,8,52
L1898,rest,ok,,49,14
L1899,rest,ok,,57,5
L190,rest,ok,,53,9
L1901,rest,ok,,58,3
L1902,rest,fail,no_valid_windows,0,61
L1903,rest,ok,,53,9
L1904,rest,ok,,32,30
L1905,rest,ok,,51,10
L1906,rest,ok,,55,7
L1907,rest,ok,,49,13
L1908,rest,ok,,57,5
L1909,rest,ok,,47,16
L1910,rest,ok,,17,47
L1911,rest,ok,,18,42
L192,rest,ok,,63,3
L194,rest,ok,,59,14
L195,rest,ok,,53,14
L196,rest,ok,,49,13
L198,rest,ok,,45,18
L199,rest,ok,,61,3
L203,rest,ok,,34,27
L2059,rest,ok,,60,3
L2060,rest,ok,,58,3
L2061,rest,ok,,52,9
L2062,rest,ok,,65,0
L2063,rest,ok,,43,20
L2064,rest,ok,,32,29
L2065,rest,ok,,39,25
L2066,rest,ok,,64,1
L2067,rest,ok,,62,1
L2068,rest,ok,,46,15
L2072,rest,ok,,59,1
L2076,rest,ok,,64,0
L2077,rest,ok,,59,4
L2079,rest,ok,,26,36
L208,rest,ok,,34,29
L2080,rest,ok,,61,1
L2082,rest,ok,,56,8
L2083,rest,ok,,54,8
L2084,rest,ok,,62,2
L2085,rest,ok,,50,10
L2086,rest,ok,,61,3
L2087,rest,ok,,48,14
L2088,rest,ok,,56,4
L2089,rest,ok,,56,4
L2090,rest,ok,,59,1
L2091,rest,ok,,54,8
L2092,rest,ok,,57,11
L2093,rest,ok,,62,2
L2094,rest,ok,,40,22
L2095,rest,ok,,56,4
L2096,rest,ok,,50,14
L2097,rest,ok,,56,8
L2098,rest,ok,,63,1
L2099,rest,ok,,55,6
L210,rest,ok,,61,21
L2100,rest,ok,,48,16
L2101,rest,ok,,61,1
L2102,rest,ok,,46,18
L2103,rest,ok,,53,8
L2104,rest,ok,,28,37
L2105,rest,ok,,11,54
L2106,rest,ok,,14,46
L2107,rest,ok,,53,11
L2108,rest,ok,,59,4
L2109,rest,ok,,51,11
L2110,rest,ok,,62,3
L2111,rest,ok,,62,1
L2112,rest,ok,,46,16
L2113,rest,ok,,62,0
L2114,rest,ok,,50,10
L2115,rest,ok,,55,9
L2116,rest,ok,,58,2
L2117,rest,ok,,50,13
L2120,rest,ok,,26,40
L2128,rest,ok,,40,22
L2147,rest,ok,,60,0
L2150,rest,ok,,57,7
L2152,rest,ok,,58,2
L2154,rest,ok,,48,14
L2162,rest,ok,,60,4
L2167,rest,ok,,62,2
L2169,rest,ok,,63,3
L2171,rest,ok,,36,27
L2172,rest,ok,,59,5
L2173,rest,ok,,36,24
L2174,rest,ok,,48,12
L2175,rest,ok,,34,26
L2176,rest,ok,,64,1
L2178,rest,ok,,36,24
L2180,rest,ok,,50,14
L2181,rest,ok,,51,11
L2182,rest,ok,,43,18
L2183,rest,ok,,63,0
L2185,rest,ok,,48,12
L2188,rest,ok,,53,7
L219,rest,ok,,43,19
L2190,rest,ok,,62,1
L2192,rest,ok,,53,10
L2193,rest,ok,,54,15
L2194,rest,ok,,46,16
L2195,rest,ok,,58,4
L2196,rest,ok,,51,12
L220,rest,ok,,79,0
L2201,rest,ok,,60,2
L2202,rest,ok,,37,24
L2203,rest,ok,,59,5
L2204,rest,ok,,59,3
L2206,rest,ok,,60,4
L2207,rest,ok,,62,0
L221,rest,ok,,65,4
L222,rest,ok,,62,0
L2225,rest,ok,,50,10
L2226,rest,ok,,46,16
L223,rest,ok,,64,4
