L_id,task,feature_status,feature_error,sfreq,n_epochs_total,n_epochs_good,bad_epoch_rate,n_channels_used,duration_sec_loaded
L10,rest,ok,,250.0,61,56,0.08196721311475408,32,307.996
L11,rest,ok,,250.0,62,39,0.3709677419354839,32,312.996
L12,rest,ok,,250.0,67,60,0.10447761194029848,32,336.996
L1355,rest,ok,,250.0,66,66,0.0,32,332.996
L1361,rest,ok,,250.0,61,38,0.3770491803278688,32,306.996
L1363,rest,ok,,250.0,62,38,0.3870967741935484,32,310.996
L1379,rest,ok,,250.0,65,60,0.07692307692307687,32,325.996
L1382,rest,ok,,250.0,66,48,0.2727272727272727,32,332.996
L1384,rest,ok,,250.0,60,36,0.4,32,302.996
L1386,rest,ok,,250.0,61,61,0.0,32,306.996
L1387,rest,ok,,250.0,61,56,0.08196721311475408,32,306.996
L1388,rest,ok,,250.0,64,57,0.109375,32,319.996
L1389,rest,ok,,250.0,68,36,0.47058823529411764,32,341.996
L1392,rest,ok,,250.0,62,49,0.20967741935483875,32,311.996
L1393,rest,ok,,250.0,62,38,0.3870967741935484,32,310.996
L1396,rest,ok,,250.0,60,58,0.033333333333333326,32,302.996
L1399,rest,ok,,250.0,60,34,0.43333333333333335,32,302.996
L1400,rest,ok,,250.0,61,58,0.049180327868852514,32,305.996
L1404,rest,ok,,250.0,60,53,0.1166666666666667,32,302.996
L1405,rest,ok,,250.0,61,44,0.2786885245901639,32,307.996
L1411,rest,ok,,250.0,60,56,0.06666666666666665,32,300.996
L1412,rest,ok,,250.0,60,59,0.01666666666666672,32,302.996
L1413,rest,ok,,250.0,60,43,0.2833333333333333,32,301.996
L1416,rest,ok,,250.0,60,40,0.33333333333333337,32,302.996
L1422,rest,ok,,250.0,62,61,0.016129032258064502,32,310.996
L1423,rest,ok,,250.0,70,28,0.6,32,349.996
L1424,rest,ok,,250.0,61,60,0.016393442622950838,32,307.996
L1426,rest,ok,,250.0,60,60,0.0,32,300.996
L1437,rest,ok,,250.0,61,60,0.016393442622950838,32,304.996
L1444,rest,ok,,250.0,61,46,0.24590163934426235,32,304.996
L1445,rest,ok,,250.0,62,58,0.06451612903225812,32,310.996
L1446,rest,ok,,250.0,64,38,0.40625,32,321.996
L1447,rest,ok,,250.0,78,72,0.07692307692307687,32,390.996
L1449,rest,ok,,250.0,60,49,0.18333333333333335,32,302.996
L1450,rest,ok,,250.0,70,59,0.15714285714285714,32,353.996
L1451,rest,ok,,250.0,75,36,0.52,32,374.996
L1452,rest,ok,,250.0,62,58,0.06451612903225812,32,313.996
L1453,rest,ok,,250.0,60,50,0.16666666666666663,32,301.996
L1454,rest,ok,,250.0,62,52,0.16129032258064513,32,311.996
L1455,rest,ok,,250.0,65,65,0.0,32,326.996
L1457,rest,ok,,250.0,70,50,0.2857142857142857,32,349.996
L1461,rest,ok,,250.0,61,36,0.4098360655737705,32,305.996
L1463,rest,fail,too_few_good_epochs:19,250.0,62,19,0.6935483870967742,32,311.996
L1464,rest,ok,,250.0,93,53,0.4301075268817204,32,466.996
L1467,rest,ok,,250.0,62,45,0.27419354838709675,32,310.996
L1468,rest,ok,,250.0,79,71,0.10126582278481011,32,394.996
L1469,rest,ok,,250.0,63,47,0.25396825396825395,32,314.996
L1470,rest,ok,,250.0,73,68,0.06849315068493156,32,364.996
L1471,rest,ok,,250.0,62,42,0.32258064516129037,32,312.996
L1472,rest,ok,,250.0,61,41,0.3278688524590164,32,307.996
L1473,rest,ok,,250.0,79,55,0.30379746835443033,32,398.996
L1474,rest,ok,,250.0,74,67,0.09459459459459463,32,370.996
L1475,rest,ok,,250.0,60,43,0.2833333333333333,32,302.996
L1476,rest,ok,,250.0,62,59,0.048387096774193505,32,310.996
L1477,rest,fail,too_few_good_epochs:19,250.0,65,19,0.7076923076923076,32,325.996
L1478,rest,ok,,250.0,70,53,0.24285714285714288,32,353.996
L1483,rest,ok,,250.0,81,67,0.1728395061728395,32,404.996
L1484,rest,ok,,250.0,62,36,0.4193548387096774,32,310.996
L1485,rest,ok,,250.0,71,57,0.19718309859154926,32,358.996
L1487,rest,ok,,250.0,62,49,0.20967741935483875,32,309.996
L1488,rest,ok,,250.0,63,52,0.17460317460317465,32,314.996
L1492,rest,ok,,250.0,66,59,0.10606060606060608,32,333.996
L1493,rest,ok,,250.0,70,60,0.1428571428571429,32,350.996
L1494,rest,ok,,250.0,68,51,0.25,32,341.996
L1495,rest,ok,,250.0,62,48,0.22580645161290325,32,310.996
L1496,rest,ok,,250.0,64,63,0.015625,32,322.996
L1497,rest,ok,,250.0,88,69,0.21590909090909094,32,443.996
L1498,rest,ok,,250.0,61,58,0.049180327868852514,32,307.996
L1499,rest,ok,,250.0,64,55,0.140625,32,321.996
L1500,rest,ok,,250.0,70,68,0.02857142857142858,32,350.996
L1502,rest,ok,,250.0,66,56,0.1515151515151515,32,333.996
L1503,rest,ok,,250.0,74,72,0.027027027027026973,32,372.996
L1504,rest,ok,,250.0,61,54,0.11475409836065575,32,307.996
L1505,rest,ok,,250.0,60,29,0.5166666666666666,32,302.996
L1506,rest,ok,,250.0,73,71,0.0273972602739726,32,364.996
L1507,rest,ok,,250.0,60,57,0.050000000000000044,32,303.996
L1508,rest,ok,,250.0,62,62,0.0,32,311.996
L1509,rest,ok,,250.0,72,59,0.18055555555555558,32,360.996
L1511,rest,ok,,250.0,62,52,0.16129032258064513,32,310.996
L1512,rest,ok,,250.0,64,57,0.109375,32,321.996
L1513,rest,ok,,250.0,68,46,0.32352941176470584,32,340.996
L1515,rest,ok,,250.0,62,61,0.016129032258064502,32,310.996
L1516,rest,ok,,250.0,60,51,0.15000000000000002,32,301.996
L1517,rest,ok,,250.0,64,62,0.03125,32,321.996
L1518,rest,ok,,250.0,70,50,0.2857142857142857,32,351.996
L1520,rest,ok,,250.0,60,40,0.33333333333333337,32,303.996
L1539,rest,ok,,250.0,72,29,0.5972222222222222,32,362.996
L1540,rest,ok,,250.0,62,23,0.6290322580645161,32,311.996
L1541,rest,ok,,250.0,60,54,0.09999999999999998,32,302.996
L1542,rest,ok,,250.0,60,56,0.06666666666666665,32,301.996
L1543,rest,ok,,250.0,73,71,0.0273972602739726,32,364.996
L1544,rest,ok,,250.0,60,54,0.09999999999999998,32,301.996
L1545,rest,ok,,250.0,64,49,0.234375,32,323.996
L1546,rest,ok,,250.0,62,55,0.11290322580645162,32,310.996
L1547,rest,ok,,250.0,60,37,0.3833333333333333,32,300.996
L1548,rest,ok,,250.0,62,58,0.06451612903225812,32,312.996
L1549,rest,ok,,250.0,62,40,0.3548387096774194,32,311.996
L1550,rest,ok,,250.0,77,69,0.10389610389610393,32,388.996
L1551,rest,ok,,250.0,62,23,0.6290322580645161,32,313.996
L1552,rest,ok,,250.0,64,49,0.234375,32,320.996
L1553,rest,ok,,250.0,64,38,0.40625,32,320.996
L1554,rest,ok,,250.0,62,47,0.24193548387096775,32,310.996
L1555,rest,ok,,250.0,60,47,0.21666666666666667,32,300.996
L1556,rest,ok,,250.0,63,48,0.23809523809523814,32,315.996
L1557,rest,ok,,250.0,60,57,0.050000000000000044,32,303.996
L1558,rest,ok,,250.0,61,48,0.21311475409836067,32,304.996
L1560,rest,ok,,250.0,71,67,0.05633802816901412,32,356.996
L1562,rest,ok,,250.0,62,58,0.06451612903225812,32,311.996
L1563,rest,ok,,250.0,62,54,0.12903225806451613,32,310.996
L1564,rest,ok,,250.0,65,58,0.10769230769230764,32,325.996
L1565,rest,ok,,250.0,64,52,0.1875,32,323.996
L1566,rest,ok,,250.0,69,69,0.0,32,344.996
L1567,rest,ok,,250.0,90,65,0.2777777777777778,32,449.996
L1568,rest,ok,,250.0,63,59,0.06349206349206349,32,318.996
L1569,rest,ok,,250.0,68,68,0.0,32,343.996
L1570,rest,ok,,250.0,71,29,0.5915492957746479,32,357.996
L1571,rest,ok,,250.0,62,52,0.16129032258064513,32,313.996
L1572,rest,ok,,250.0,62,60,0.032258064516129004,32,310.996
L1573,rest,ok,,250.0,65,61,0.06153846153846154,32,326.996
L1574,rest,ok,,250.0,61,41,0.3278688524590164,32,308.996
L1575,rest,ok,,250.0,73,66,0.09589041095890416,32,364.996
L1576,rest,ok,,250.0,84,29,0.6547619047619048,32,421.996
L1577,rest,ok,,250.0,62,46,0.25806451612903225,32,309.996
L1578,rest,ok,,250.0,63,60,0.04761904761904767,32,314.996
L1579,rest,ok,,250.0,61,55,0.09836065573770492,32,305.996
L1580,rest,ok,,250.0,62,26,0.5806451612903225,32,311.996
L1581,rest,ok,,250.0,74,56,0.2432432432432432,32,373.996
L1582,rest,ok,,250.0,70,62,0.11428571428571432,32,350.996
L1583,rest,ok,,250.0,76,32,0.5789473684210527,32,380.996
L1584,rest,ok,,250.0,66,47,0.28787878787878785,32,330.996
L1585,rest,ok,,250.0,69,65,0.05797101449275366,32,347.996
L1586,rest,ok,,250.0,68,49,0.27941176470588236,32,343.996
L1587,rest,ok,,250.0,64,52,0.1875,32,320.996
L1588,rest,ok,,250.0,62,51,0.17741935483870963,32,313.996
L1589,rest,ok,,250.0,60,59,0.01666666666666672,32,301.996
L1590,rest,ok,,250.0,70,67,0.042857142857142816,32,349.996
L1591,rest,ok,,250.0,64,45,0.296875,32,320.996
L1592,rest,fail,too_few_good_epochs:8,250.0,72,8,0.8888888888888888,32,362.996
L1593,rest,ok,,250.0,60,50,0.16666666666666663,32,300.996
L1594,rest,ok,,250.0,62,45,0.27419354838709675,32,312.996
L1595,rest,ok,,250.0,60,54,0.09999999999999998,32,302.996
L1596,rest,ok,,250.0,69,65,0.05797101449275366,32,348.996
L1597,rest,ok,,250.0,69,29,0.5797101449275363,32,345.996
L1598,rest,ok,,250.0,108,96,0.11111111111111116,32,541.996
L1600,rest,ok,,250.0,69,63,0.08695652173913049,32,347.996
L1601,rest,ok,,250.0,63,60,0.04761904761904767,32,315.996
L1602,rest,ok,,250.0,72,30,0.5833333333333333,32,362.996
L1603,rest,ok,,250.0,70,52,0.2571428571428571,32,349.996
L1604,rest,ok,,250.0,62,36,0.4193548387096774,32,311.996
L1605,rest,ok,,250.0,64,63,0.015625,32,320.996
L1606,rest,ok,,250.0,71,67,0.05633802816901412,32,354.996
L1608,rest,ok,,250.0,73,64,0.12328767123287676,32,364.996
L1609,rest,ok,,250.0,63,48,0.23809523809523814,32,316.996
L1610,rest,ok,,250.0,60,58,0.033333333333333326,32,302.996
L1611,rest,ok,,250.0,60,39,0.35,32,303.996
L1612,rest,ok,,250.0,62,49,0.20967741935483875,32,310.996
L1613,rest,fail,too_few_good_epochs:18,250.0,92,18,0.8043478260869565,32,459.996
L1615,rest,ok,,250.0,86,70,0.18604651162790697,32,430.996
L1616,rest,ok,,250.0,60,59,0.01666666666666672,32,300.996
L1618,rest,ok,,250.0,62,53,0.14516129032258063,32,313.996
L1619,rest,ok,,250.0,60,40,0.33333333333333337,32,300.996
L1620,rest,ok,,250.0,68,66,0.02941176470588236,32,343.996
L1621,rest,ok,,250.0,84,80,0.04761904761904767,32,421.996
L1622,rest,ok,,250.0,62,37,0.4032258064516129,32,312.996
L1623,rest,ok,,250.0,62,50,0.19354838709677424,32,311.996
L1624,rest,ok,,250.0,72,45,0.375,32,362.996
L1625,rest,ok,,250.0,61,45,0.2622950819672131,32,307.996
L1626,rest,fail,too_few_good_epochs:0,250.0,63,0,1.0,32,318.996
L1627,rest,ok,,250.0,60,46,0.23333333333333328,32,300.996
L1628,rest,ok,,250.0,61,60,0.016393442622950838,32,306.996
L1629,rest,ok,,250.0,61,36,0.4098360655737705,32,306.996
L1630,rest,ok,,250.0,68,57,0.16176470588235292,32,339.996
L1631,rest,ok,,250.0,60,42,0.30000000000000004,32,300.996
L1632,rest,ok,,250.0,61,38,0.3770491803278688,32,304.996
L1633,rest,ok,,250.0,63,50,0.2063492063492064,32,314.996
L1634,rest,ok,,250.0,63,61,0.031746031746031744,32,317.996
L1635,rest,ok,,250.0,60,55,0.08333333333333337,32,302.996
L1636,rest,ok,,250.0,60,35,0.41666666666666663,32,300.996
L1637,rest,ok,,250.0,60,57,0.050000000000000044,32,301.996
L1638,rest,ok,,250.0,68,62,0.08823529411764708,32,339.996
L1639,rest,ok,,250.0,64,50,0.21875,32,319.996
L1641,rest,ok,,250.0,62,59,0.048387096774193505,32,313.996
L1642,rest,ok,,250.0,62,38,0.3870967741935484,32,310.996
L1643,rest,ok,,250.0,66,42,0.36363636363636365,32,333.996
L1644,rest,fail,too_few_good_epochs:0,250.0,63,0,1.0,32,315.996
L1645,rest,ok,,250.0,60,59,0.01666666666666672,32,300.996
L1648,rest,ok,,250.0,60,60,0.0,32,301.996
L1649,rest,fail,too_few_good_epochs:9,250.0,63,9,0.8571428571428572,32,316.996
L1650,rest,ok,,250.0,61,59,0.032786885245901676,32,306.996
L1651,rest,ok,,250.0,67,59,0.11940298507462688,32,338.996
L1652,rest,ok,,250.0,66,63,0.045454545454545414,32,333.996
L1654,rest,ok,,250.0,62,44,0.29032258064516125,32,310.996
