task,task_dir,subject_dir,L_id,data_file,evt_file,data_file_size_bytes,evt_file_size_bytes,data_header_status,evt_header_status,n_channels,sampling_rate_hz,n_records,record_duration_sec,duration_sec,channel_labels,qc_status,qc_issues
rest,1_rest-1334,1_L10,L10,/home/qiangminc/codes/data4_qiangminc/datasets_qiangmin/chongqing/脑电/1_rest-1334/1_L10/1_L10_data.bdf,/home/qiangminc/codes/data4_qiangminc/datasets_qiangmin/chongqing/脑电/1_rest-1334/1_L10/1_L10_evt.bdf,29576448,1071,ok,ok,32,1000.0,308,1.0,308.0,Fp1|Fp2|Fz|F3|F4|F7|F8|FC1|FC2|FC5|FC6|Cz|C3|C4|T7|T8|A1|A2|CP1|CP2|CP5|CP6|Pz|P3|P4|P7|P8|PO3|PO4|Oz|O1|O2,ok,
rest,1_rest-1334,1_L11,L11,/home/qiangminc/codes/data4_qiangminc/datasets_qiangmin/chongqing/脑电/1_rest-1334/1_L11/1_L11_data.bdf,/home/qiangminc/codes/data4_qiangminc/datasets_qiangmin/chongqing/脑电/1_rest-1334/1_L11/1_L11_evt.bdf,30056448,1071,ok,ok,32,1000.0,313,1.0,313.0,Fp1|Fp2|Fz|F3|F4|F7|F8|FC1|FC2|FC5|FC6|Cz|C3|C4|T7|T8|A1|A2|CP1|CP2|CP5|CP6|Pz|P3|P4|P7|P8|PO3|PO4|Oz|O1|O2,ok,
rest,1_rest-1334,1_L12,L12,/home/qiangminc/codes/data4_qiangminc/datasets_qiangmin/chongqing/脑电/1_rest-1334/1_L12/1_L12_data.bdf,/home/qiangminc/codes/data4_qiangminc/datasets_qiangmin/chongqing/脑电/1_rest-1334/1_L12/1_L12_evt.bdf,32360448,1071,ok,ok,32,1000.0,337,1.0,337.0,Fp1|Fp2|Fz|F3|F4|F7|F8|FC1|FC2|FC5|FC6|Cz|C3|C4|T7|T8|A1|A2|CP1|CP2|CP5|CP6|Pz|P3|P4|P7|P8|PO3|PO4|Oz|O1|O2,ok,
rest,1_rest-1334,1_L1355,L1355,/home/qiangminc/codes/data4_qiangminc/datasets_qiangmin/chongqing/脑电/1_rest-1334/1_L1355/1_L1355_data.bdf,/home/qiangminc/codes/data4_qiangminc/datasets_qiangmin/chongqing/脑电/1_rest-1334/1_L1355/1_L1355_evt.bdf,31976448,1071,ok,ok,32,1000.0,333,1.0,333.0,Fp1|Fp2|Fz|F3|F4|F7|F8|FC1|FC2|FC5|FC6|Cz|C3|C4|T7|T8|A1|A2|CP1|CP2|CP5|CP6|Pz|P3|P4|P7|P8|PO3|PO4|Oz|O1|O2,ok,
rest,1_rest-1334,1_L1361,L1361,/home/qiangminc/codes/data4_qiangminc/datasets_qiangmin/chongqing/脑电/1_rest-1334/1_L1361/1_L1361_data.bdf,/home/qiangminc/codes/data4_qiangminc/datasets_qiangmin/chongqing/脑电/1_rest-1334/1_L1361/1_L1361_evt.bdf,29480448,1071,ok,ok,32,1000.0,307,1.0,307.0,Fp1|Fp2|Fz|F3|F4|F7|F8|FC1|FC2|FC5|FC6|Cz|C3|C4|T7|T8|A1|A2|CP1|CP2|CP5|CP6|Pz|P3|P4|P7|P8|PO3|PO4|Oz|O1|O2,ok,
rest,1_rest-1334,1_L1363,L1363,/home/qiangminc/codes/data4_qiangminc/datasets_qiangmin/chongqing/脑电/1_rest-1334/1_L1363/1_L1363_data.bdf,/home/qiangminc/codes/data4_qiangminc/datasets_qiangmin/chongqing/脑电/1_rest-1334/1_L1363/1_L1363_evt.bdf,29864448,1071,ok,ok,32,1000.0,311,1.0,311.0,Fp1|Fp2|Fz|F3|F4|F7|F8|FC1|FC2|FC5|FC6|Cz|C3|C4|T7|T8|A1|A2|CP1|CP2|CP5|CP6|Pz|P3|P4|P7|P8|PO3|PO4|Oz|O1|O2,ok,
rest,1_rest-1334,1_L1379,L1379,/home/qiangminc/codes/data4_qiangminc/datasets_qiangmin/chongqing/脑电/1_rest-1334/1_L1379/1_L1379_data.bdf,/home/qiangminc/codes/data4_qiangminc/datasets_qiangmin/chongqing/脑电/1_rest-1334/1_L1379/1_L1379_evt.bdf,31304448,1071,ok,ok,32,1000.0,326,1.0,326.0,Fp1|Fp2|Fz|F3|F4|F7|F8|FC1|FC2|FC5|FC6|Cz|C3|C4|T7|T8|A1|A2|CP1|CP2|CP5|CP6|Pz|P3|P4|P7|P8|PO3|PO4|Oz|O1|O2,ok,
rest,1_rest-1334,1_L1382,L1382,/home/qiangminc/codes/data4_qiangminc/datasets_qiangmin/chongqing/脑电/1_rest-1334/1_L1382/1_L1382_data.bdf,/home/qiangminc/codes/data4_qiangminc/datasets_qiangmin/chongqing/脑电/1_rest-1334/1_L1382/1_L1382_evt.bdf,31976448,1071,ok,ok,32,1000.0,333,1.0,333.0,Fp1|Fp2|Fz|F3|F4|F7|F8|FC1|FC2|FC5|FC6|Cz|C3|C4|T7|T8|A1|A2|CP1|CP2|CP5|CP6|Pz|P3|P4|P7|P8|PO3|PO4|Oz|O1|O2,ok,
rest,1_rest-1334,1_L1384,L1384,/home/qiangminc/codes/data4_qiangminc/datasets_qiangmin/chongqing/脑电/1_rest-1334/1_L1384/1_L1384_data.bdf,/home/qiangminc/codes/data4_qiangminc/datasets_qiangmin/chongqing/脑电/1_rest-1334/1_L1384/1_L1384_evt.bdf,29096448,1071,ok,ok,32,1000.0,303,1.0,303.0,Fp1|Fp2|Fz|F3|F4|F7|F8|FC1|FC2|FC5|FC6|Cz|C3|C4|T7|T8|A1|A2|CP1|CP2|CP5|CP6|Pz|P3|P4|P7|P8|PO3|PO4|Oz|O1|O2,ok,
rest,1_rest-1334,1_L1386,L1386,/home/qiangminc/codes/data4_qiangminc/datasets_qiangmin/chongqing/脑电/1_rest-1334/1_L1386/1_L1386_data.bdf,/home/qiangminc/codes/data4_qiangminc/datasets_qiangmin/chongqing/脑电/1_rest-1334/1_L1386/1_L1386_evt.bdf,29480448,768,ok,ok,32,1000.0,307,1.0,307.0,Fp1|Fp2|Fz|F3|F4|F7|F8|FC1|FC2|FC5|FC6|Cz|C3|C4|T7|T8|A1|A2|CP1|CP2|CP5|CP6|Pz|P3|P4|P7|P8|PO3|PO4|Oz|O1|O2,ok,
