fold,L_id,split
1,L547,train
1,L549,train
1,L550,train
1,L553,train
1,L554,train
1,L555,train
1,L560,train
1,L562,train
1,L564,train
1,L565,train
1,L566,train
1,L568,train
1,L569,train
1,L571,train
1,L573,train
1,L574,train
1,L575,train
1,L576,train
1,L577,train
1,L578,train
1,L580,train
1,L581,train
1,L582,train
1,L583,train
1,L584,train
1,L585,train
1,L586,train
1,L589,train
1,L590,train
1,L592,train
1,L595,train
1,L596,train
1,L597,train
1,L598,train
1,L599,train
1,L600,train
1,L601,train
1,L603,train
1,L604,train
1,L605,train
1,L607,train
1,L610,train
1,L611,train
1,L612,train
1,L613,train
1,L615,train
1,L616,train
1,L617,train
1,L618,train
1,L619,train
1,L620,train
1,L622,train
1,L623,train
1,L625,train
1,L626,train
1,L628,train
1,L630,train
1,L632,train
1,L634,train
1,L635,train
1,L636,train
1,L637,train
1,L638,train
1,L6,train
1,L8,train
1,L9,train
1,L10,train
1,L11,train
1,L12,train
1,L29,train
1,L46,train
1,L49,train
1,L50,train
1,L51,train
1,L169,train
1,L170,train
1,L171,train
1,L173,train
1,L174,train
1,L175,train
1,L176,train
1,L177,train
1,L178,train
1,L179,train
1,L181,train
1,L182,train
1,L190,train
1,L192,train
1,L194,train
1,L195,train
1,L545,train
1,L196,train
1,L198,train
1,L203,train
1,L208,train
1,L210,train
1,L219,train
1,L220,train
1,L221,train
1,L222,train
1,L223,train
1,L225,train
1,L226,train
1,L242,train
1,L243,train
1,L244,train
1,L247,train
1,L248,train
1,L249,train
1,L250,train
1,L251,train
1,L253,train
1,L258,train
1,L259,train
1,L260,train
1,L261,train
1,L262,train
1,L264,train
1,L273,train
1,L276,train
1,L277,train
1,L279,train
1,L280,train
1,L281,train
1,L282,train
1,L286,train
1,L287,train
1,L289,train
1,L292,train
1,L293,train
1,L294,train
1,L295,train
1,L297,train
1,L298,train
1,L299,train
1,L300,train
1,L302,train
1,L304,train
1,L307,train
1,L309,train
1,L312,train
1,L313,train
1,L315,train
1,L316,train
1,L317,train
1,L319,train
1,L320,train
1,L322,train
1,L323,train
1,L324,train
1,L327,train
1,L330,train
1,L331,train
1,L333,train
1,L335,train
1,L336,train
1,L338,train
1,L339,train
1,L340,train
1,L344,train
1,L345,train
1,L346,train
1,L348,train
1,L349,train
1,L350,train
1,L353,train
1,L357,train
1,L359,train
1,L361,train
1,L411,train
1,L414,train
1,L415,train
1,L416,train
1,L417,train
1,L418,train
1,L421,train
1,L423,train
1,L426,train
1,L428,train
1,L429,train
1,L430,train
1,L431,train
1,L432,train
1,L436,train
1,L437,train
1,L438,train
1,L439,train
1,L441,train
1,L443,train
1,L444,train
1,L445,train
1,L446,train
1,L447,train
1,L448,train
1,L451,train
1,L455,train
1,L456,train
1,L461,train
1,L462,train
1,L465,train
1,L466,train
1,L478,train
1,L479,train
1,L480,train
1,L481,train
1,L482,train
1,L487,train
1,L491,train
1,L493,train
1,L494,train
1,L496,train
1,L497,train
1,L498,train
1,L499,train
1,L500,train
1,L501,train
1,L502,train
1,L505,train
1,L506,train
1,L507,train
1,L508,train
1,L509,train
1,L511,train
1,L515,train
1,L516,train
1,L517,train
1,L518,train
1,L520,train
1,L522,train
1,L524,train
1,L525,train
1,L528,train
1,L529,train
1,L531,train
1,L534,train
1,L539,train
1,L540,train
1,L640,train
1,L641,train
1,L642,train
1,L643,train
1,L644,train
1,L647,train
1,L648,train
1,L650,train
1,L660,train
