model,fold,n,threshold,auroc,auprc,balanced_accuracy,sensitivity,specificity,f1,brier,tn,fp,fn,tp
dummy_prior,1,250,0.33901705115346037,0.5,0.34,0.5,1.0,0.0,0.5074626865671642,0.2244009661884349,0,165,0,85
elasticnet_logreg,1,250,0.5116879636380628,0.5379679144385028,0.38575355419092694,0.5502673796791444,0.4823529411764706,0.6181818181818182,0.43386243386243384,0.29227248122850347,102,63,44,41
random_forest,1,250,0.5446444767801634,0.5510873440285206,0.40458662816811575,0.5028520499108734,0.011764705882352941,0.9939393939393939,0.022988505747126436,0.22430509839475285,164,1,84,1
lightgbm,1,250,0.9632924348566901,0.5310516934046347,0.3922019462019391,0.5,0.0,1.0,0.0,0.2571345027248601,165,0,85,0
dummy_prior,2,250,0.33901705115346037,0.5,0.34,0.5,1.0,0.0,0.5074626865671642,0.2244009661884349,0,165,0,85
elasticnet_logreg,2,250,0.511489818199546,0.5031729055258467,0.35360290347830337,0.5081996434937611,0.4588235294117647,0.5575757575757576,0.39593908629441626,0.31494972194364684,92,73,46,39
random_forest,2,250,0.5368746143871584,0.48663101604278075,0.3427905530441051,0.5051693404634581,0.058823529411764705,0.9515151515151515,0.10204081632653061,0.23566892951202154,157,8,80,5
lightgbm,2,250,0.9641913597363984,0.5271301247771836,0.35415730654883726,0.49696969696969695,0.0,0.9939393939393939,0.0,0.2738312451539947,164,1,85,0
dummy_prior,3,249,0.3396793587174349,0.5,0.3373493975903614,0.5,1.0,0.0,0.5045045045045045,0.2235502102546353,0,165,0,84
elasticnet_logreg,3,249,0.5423823648814527,0.46471861471861464,0.32593827492734073,0.44859307359307365,0.32142857142857145,0.5757575757575758,0.2983425414364641,0.32255823886669466,95,70,57,27
random_forest,3,249,0.5449806055405974,0.4626262626262626,0.31405740308905844,0.4906926406926407,0.023809523809523808,0.9575757575757575,0.043010752688172046,0.23784903815322953,158,7,82,2
lightgbm,3,249,0.9599331178247251,0.4737373737373737,0.3112728538121478,0.5,0.0,1.0,0.0,0.2808761246785785,165,0,84,0
dummy_prior,4,249,0.3396793587174349,0.5,0.3373493975903614,0.5,1.0,0.0,0.5045045045045045,0.22355021025463534,0,165,0,84
elasticnet_logreg,4,249,0.4512095113936109,0.5378066378066377,0.38515031456526605,0.5165584415584416,0.5119047619047619,0.5212121212121212,0.4174757281553398,0.304590858044108,86,79,41,43
random_forest,4,249,0.5576811506490599,0.5463203463203463,0.38769785465907347,0.5176406926406926,0.05952380952380952,0.9757575757575757,0.10752688172043011,0.22798155311628565,161,4,79,5
lightgbm,4,249,0.9614729444227746,0.5272727272727273,0.3558985098787333,0.5,0.0,1.0,0.0,0.2722625974401836,165,0,84,0
dummy_prior,5,249,0.33867735470941884,0.5,0.3413654618473896,0.5,1.0,0.0,0.5089820359281437,0.22484230922509324,0,164,0,85
elasticnet_logreg,5,249,0.5354651864018253,0.45624103299856533,0.3161953910307602,0.4678263988522239,0.25882352941176473,0.676829268292683,0.275,0.3160374332285932,111,53,63,22
random_forest,5,249,0.532023553390168,0.5194404591104734,0.3502612457778666,0.48758967001434717,0.011764705882352941,0.9634146341463414,0.021739130434782608,0.2315633159322712,158,6,84,1
lightgbm,5,249,0.9639050986749524,0.49433285509325686,0.3464978611501828,0.5,0.0,1.0,0.0,0.27451323558061674,164,0,85,0
dummy_prior,overall_oof,1247,0.33901705115346037,0.4980949757855357,0.33825779852248716,0.49904174986802546,0.7990543735224587,0.19902912621359223,0.4757213230119634,0.22414933664641068,164,660,85,338
elasticnet_logreg,overall_oof,1247,0.5116879636380628,0.5009381670453763,0.34823492102518694,0.49993831623401963,0.41371158392434987,0.5861650485436893,0.37273695420660274,0.3100713687231333,483,341,248,175
lightgbm,overall_oof,1247,0.9632924348566901,0.5123482292455646,0.3413385067637197,0.4993932038834951,0.0,0.9987864077669902,0.0,0.2717135320263504,823,1,423,0
random_forest,overall_oof,1247,0.5446444767801634,0.5145172025981776,0.3502216813931844,0.5019853565608575,0.03309692671394799,0.970873786407767,0.06073752711496746,0.23147120278262903,800,24,409,14
demographics_only_logreg,1,250,0.4307000151948903,0.5891978609625669,0.38101496721970035,0.5388591800356506,0.8352941176470589,0.24242424242424243,0.505338078291815,0.24351191404622047,40,125,14,71
demographics_only_logreg,2,250,0.41908939719907246,0.5618181818181819,0.3668130364074832,0.5377896613190731,0.9058823529411765,0.1696969696969697,0.5150501672240803,0.24835491068592416,28,137,8,77
demographics_only_logreg,3,249,0.3951753147821894,0.571861471861472,0.4005066369850354,0.5307359307359307,0.9523809523809523,0.10909090909090909,0.5144694533762058,0.24264882258670886,18,147,4,80
demographics_only_logreg,4,249,0.41056727267026155,0.5765151515151515,0.4259612005747576,0.5044372294372295,0.8452380952380952,0.16363636363636364,0.48464163822525597,0.24578704150335973,27,138,13,71
demographics_only_logreg,5,249,0.4345186649030568,0.5197632711621234,0.3508045389072064,0.48970588235294116,0.7294117647058823,0.25,0.45925925925925926,0.25233909399000076,41,123,23,62
demographics_only_logreg,overall_oof,1247,0.41908939719907246,0.563474029700016,0.37392247284319496,0.5193572264683605,0.8226950354609929,0.21601941747572814,0.4911785462244178,0.24652740236164672,178,646,75,348
