dataset,feature_family,model,evaluation_stage,fold,n_subjects,n_train_subjects,n_positive,n_negative,positive_rate,feature_count,threshold,auroc,auprc,balanced_accuracy,macro_f1,sensitivity,specificity,ppv,npv,brier_score,ece,mce,tn,fp,fn,tp,auroc_ci_low,auroc_ci_high,auprc_ci_low,auprc_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1_ci_low,macro_f1_ci_high,sensitivity_ci_low,sensitivity_ci_high,specificity_ci_low,specificity_ci_high,ppv_ci_low,ppv_ci_high,npv_ci_low,npv_ci_high,brier_score_ci_low,brier_score_ci_high,ece_ci_low,ece_ci_high,mce_ci_low,mce_ci_high,n_bootstrap
no_information,none,no_information_majority,cv_oof,,3597,,1098,2499,0.30525437864887406,0,0.5,0.4963522749719196,0.3035607676295421,0.5,0.40994094488188976,0.0,1.0,0.0,0.6947456213511259,0.21207919996850572,4.30712882859563e-07,4.30712882859563e-07,2499,0,1098,0,0.4754372676198043,0.5152708031399641,0.28687007953593524,0.321879238271132,0.5,0.5,0.40466732869910627,0.4147412951513179,0.0,0.0,1.0,1.0,0.0,0.0,0.6797331109257715,0.7086460939671949,0.20666795222715853,0.2179219143931903,0.00027422172317326796,0.015857872615108477,0.00027422172317326796,0.015857872615108477,1000
no_information,none,no_information_majority,locked_test,,900,3597.0,273,627,0.30333333333333334,0,0.5,0.5,0.30333333333333334,0.5,0.4106090373280943,0.0,1.0,0.0,0.6966666666666667,0.21132591263732659,0.0019210453155407148,0.0019210453155407148,627,0,273,0,0.5,0.5,0.27108333333333334,0.3333333333333333,0.5,0.5,0.4,0.42160311752381235,0.0,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.7289166666666667,0.19876482006017895,0.22301064991839414,0.0008099342044295965,0.03525437864887404,0.0008099342044295965,0.03525437864887404,1000
no_information,none,no_information_stratified_random,cv_oof,,3597,,1098,2499,0.30525437864887406,0,0.5,0.4834540373526459,0.29879663074504403,0.483454037352646,0.48300395256916995,0.2650273224043716,0.7018807523009204,0.2808880308880309,0.6848887153455682,0.4314706700027801,0.43147067000278017,0.7191119691119692,1754,745,807,291,0.4672986530908115,0.49892626978551047,0.2829003031941508,0.31452435825717107,0.46729865309081153,0.4989262697855104,0.46646311469679264,0.498499042294554,0.2383920673716414,0.2909910977328039,0.6843543555705849,0.7201310526215298,0.25222118342335365,0.30697021326215956,0.6671727448000598,0.702235849340187,0.4156241312204615,0.4473241590214067,0.4156241312204615,0.4473241590214067,0.6930297867378404,0.7477788165766464,1000
no_information,none,no_information_stratified_random,locked_test,,900,3597.0,273,627,0.30333333333333334,0,0.5,0.4943565206723102,0.30100758396533045,0.4943565206723102,0.49433163236566424,0.3076923076923077,0.6810207336523126,0.29577464788732394,0.6931818181818182,0.43222222222222223,0.4322222222222222,0.704225352112676,427,200,189,84,0.4612307162267081,0.5258183954940806,0.26968148224253413,0.3331989270958156,0.4612307162267081,0.5258183954940806,0.4614075968848117,0.52529143044219,0.25580749354005167,0.36366003787878787,0.6431973026315789,0.7196159146250753,0.2434850076394194,0.35128264208909366,0.6583747927031509,0.7296064454976303,0.4,0.4644722222222222,0.4,0.4644722222222222,0.6487173579109063,0.7565149923605806,1000
demographics,demographics,demographics_logistic_regression,cv_oof,,3597,,1098,2499,0.30525437864887406,4,0.5,0.6697391160471475,0.43022996299770294,0.6207581393213023,0.5926566018606676,0.6420765027322405,0.5994397759103641,0.41324736225087927,0.7921734531993654,0.22796555863562445,0.1750647156499093,0.28147279280641696,1498,1001,393,705,0.6517972275844922,0.6887795187668075,0.40382297694889896,0.45967624186710954,0.6038854333046926,0.6384167739551774,0.5767521955163888,0.6096678748607149,0.6149497764187545,0.6714677983635468,0.5825038905744935,0.620222697292939,0.3897423633892346,0.4369601638449317,0.7740408561006139,0.811314029634142,0.2229854660477961,0.23255517888349306,0.1606816792956522,0.1903344902181118,0.20251147777287404,0.4019921063800345,1000
demographics,demographics,demographics_logistic_regression,locked_test,,900,3597.0,273,627,0.30333333333333334,4,0.5,0.668702642386853,0.4200165293279054,0.6272061272061272,0.5984604398334528,0.6483516483516484,0.6060606060606061,0.41745283018867924,0.7983193277310925,0.22967469167236113,0.18031050578468,0.22218810524982086,380,247,96,177,0.6331984676762755,0.7031619023056564,0.37312709925195353,0.4753040498263723,0.5943777713514555,0.6584937582545289,0.566987108363906,0.6288204496643922,0.5913856304985338,0.7023966165413533,0.5700290707856117,0.6431127058835713,0.3723108128725712,0.46479429625154994,0.7624709894985191,0.8333333333333334,0.22114679338538715,0.23883942012361045,0.1513372227753144,0.20839076919358476,0.201148018796848,0.7100399068792056,1000
demographics,demographics,demographics_lightgbm,cv_oof,,3597,,1098,2499,0.30525437864887406,4,0.5,0.6694716137821248,0.4273941117732135,0.6254791534099979,0.5757001494886957,0.7331511839708561,0.5178071228491397,0.40049751243781095,0.8153749212350346,0.22821951393360057,0.17251591701923516,0.2476318481296778,1294,1205,293,805,0.6507608369893383,0.6866799306358061,0.4013553293495682,0.4549228736656822,0.6105865891465352,0.6421524562954726,0.5601546946849879,0.5924299524515441,0.7075341577837677,0.7595553571381516,0.498581717650438,0.5367529787940514,0.37874171054002537,0.42265169558024723,0.7972275247383168,0.8337488460962207,0.2236901282864309,0.23308314883724915,0.15715053691893285,0.18621246621931956,0.20020074510904493,0.3177414987766889,1000
demographics,demographics,demographics_lightgbm,locked_test,,900,3597.0,273,627,0.30333333333333334,4,0.5,0.6765018607123872,0.42842992999131746,0.6332702385333964,0.5786765398010731,0.7545787545787546,0.5119617224880383,0.40234375,0.8273195876288659,0.22737766116346336,0.1780924315831145,0.24612822715009097,321,306,67,206,0.6410352157001026,0.7120891133272774,0.37558069793047344,0.4891267999495333,0.5988764437719664,0.6643594344866395,0.5450503053694601,0.612021639728627,0.7012413682228108,0.8050564743045232,0.4722550241733066,0.5505664716109855,0.3598373974608095,0.44592689484101194,0.789186938060341,0.8635259924970111,0.21787554957962704,0.23595547028587194,0.15036387334318208,0.2075935105107675,0.21387516333418982,0.746128227150091,1000
eeg_rest,tabular_numeric,eeg_rest_logistic_regression,cv_oof,,999,,340,659,0.34034034034034033,533,0.5,0.4757118628938677,0.32244341583977976,0.48765062929572434,0.4855576923076923,0.3941176470588235,0.5811836115326252,0.32682926829268294,0.6502546689303905,0.34134864084225247,0.2825435498018143,0.7266900424775863,383,276,206,134,0.4372360807071953,0.5086360028085745,0.28813139582667685,0.36455442804770116,0.4528696412798901,0.5180980361816723,0.45284509957012076,0.5146602203006262,0.3422438186813187,0.44349283199195166,0.5420989515844034,0.6165501423241361,0.27844966096077034,0.3717670706473544,0.6117580446812872,0.6847642154182613,0.3230254099884566,0.3613585999022738,0.2570197508849705,0.31628949777864157,0.641539069701107,0.8111132628643546,1000
eeg_rest,tabular_numeric,eeg_rest_logistic_regression,locked_test,,248,999.0,83,165,0.3346774193548387,533,0.5,0.5832055494706098,0.4185506071284893,0.5470244614822928,0.5407645847394562,0.4819277108433735,0.6121212121212121,0.38461538461538464,0.7013888888888888,0.2816260780394678,0.21610846506983145,0.5545434487468972,101,64,43,40,0.5058600573329571,0.657476566344429,0.3324466045782755,0.5337677161301847,0.4781779157029849,0.6085611727108919,0.4752600441092718,0.600851461502518,0.3670886075949367,0.5875347222222222,0.5352941176470588,0.6888922764227642,0.2941041554236374,0.474771991762283,0.6258767985611511,0.7724137931034483,0.24797313263058704,0.31826582533703707,0.17673152129738148,0.28461140678262575,0.4138078188491729,0.7465918484350047,1000
