dataset,feature_family,model,evaluation_stage,fold,n_subjects,n_train_subjects,n_positive,n_negative,positive_rate,feature_count,threshold,auroc,auprc,balanced_accuracy,macro_f1,sensitivity,specificity,ppv,npv,brier_score,ece,mce,tn,fp,fn,tp,auroc_ci_low,auroc_ci_high,auprc_ci_low,auprc_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1_ci_low,macro_f1_ci_high,sensitivity_ci_low,sensitivity_ci_high,specificity_ci_low,specificity_ci_high,ppv_ci_low,ppv_ci_high,npv_ci_low,npv_ci_high,brier_score_ci_low,brier_score_ci_high,ece_ci_low,ece_ci_high,mce_ci_low,mce_ci_high,n_bootstrap
no_information,none,no_information_majority,cv_oof,,75,,36,39,0.48,0,0.5,0.3903133903133903,0.4164480016739904,0.40384615384615385,0.3731003039513678,0.16666666666666666,0.6410256410256411,0.3,0.45454545454545453,0.2590565287810707,0.12522128977811123,0.24545454545454531,25,14,30,6,0.2786095305832148,0.5468126679128154,0.3214053785894836,0.586483302158834,0.3441578907203907,0.5185301579979241,0.2968712269390515,0.47509656291983876,0.06289592760180995,0.3007021433850702,0.5567750677506775,0.8062271062271062,0.126875,0.5714285714285714,0.31761784511784513,0.5902218782249742,0.24982455354151661,0.2652047017522068,0.04325413776122309,0.20492180025833817,0.06335926552547397,0.41857954545454534,50
no_information,none,no_information_majority,locked_test,,21,75.0,12,9,0.5714285714285714,0,0.5,0.5,0.5714285714285714,0.5,0.3,0.0,1.0,,0.42857142857142855,0.25325714285714296,0.0914285714285713,0.0914285714285713,9,0,12,0,0.5,0.5,0.39166666666666666,0.7988095238095237,0.5,0.5,0.16726923076923078,0.3781417112299465,0.0,0.0,1.0,1.0,,,0.2011904761904762,0.6083333333333333,0.24606666666666677,0.26235238095238106,0.003809523809523929,0.31880952380952365,0.003809523809523929,0.31880952380952365,50
no_information,none,no_information_stratified_random,cv_oof,,75,,36,39,0.48,0,0.5,0.5737179487179488,0.5223684210526316,0.5737179487179487,0.5732574679943101,0.5833333333333334,0.5641025641025641,0.5526315789473685,0.5945945945945946,0.4266666666666667,0.42666666666666664,0.4473684210526315,22,17,15,21,0.490969772403983,0.6671813511990161,0.3752134426704319,0.6622059469385051,0.49096977240398293,0.6671813511990162,0.4893737830498053,0.6657158138705652,0.4385694249649369,0.7393581081081081,0.42177033492822963,0.7132284382284382,0.37962121212121214,0.7171245421245421,0.45036290322580647,0.7469896331738436,0.3333333333333333,0.5066666666666667,0.33333333333333337,0.5066666666666667,0.36167929292929296,0.6203787878787878,50
no_information,none,no_information_stratified_random,locked_test,,21,75.0,12,9,0.5714285714285714,0,0.5,0.33333333333333337,0.5142857142857143,0.3333333333333333,0.3318181818181818,0.3333333333333333,0.3333333333333333,0.4,0.2727272727272727,0.6666666666666666,0.6666666666666667,0.7272727272727273,3,6,8,4,0.17979239510489511,0.5365104166666665,0.3807224025974026,0.7165338541666666,0.17979239510489511,0.5365104166666667,0.18306636155606407,0.5111777095901809,0.1,0.6516666666666665,0.020454545454545465,0.59,0.11423611111111111,0.6982692307692308,0.020454545454545465,0.5774999999999998,0.47619047619047616,0.8095238095238095,0.47619047619047616,0.8095238095238095,0.5438701923076923,0.9795454545454544,50
demographics,demographics,demographics_logistic_regression,cv_oof,,75,,36,39,0.48,4,0.5,0.733974358974359,0.7791582903645885,0.6741452991452992,0.6700879765395895,0.5277777777777778,0.8205128205128205,0.7307692307692307,0.6530612244897959,0.19924843018284716,0.08978739206413326,0.18549661506838522,32,7,17,19,0.6402775878104826,0.8167037037037038,0.6236708017611818,0.8865243945553525,0.5872392401196157,0.7632478632478632,0.5724864746536573,0.7556980308362078,0.3407352941176471,0.6618279569892472,0.7248274870615297,0.94875,0.5503879310344828,0.9138928571428572,0.5515089014329135,0.7856063829787234,0.1712624549471391,0.23016422737851416,0.07410671812141059,0.20465691858817042,0.18549661506838522,0.6761440408407036,50
demographics,demographics,demographics_logistic_regression,locked_test,,21,75.0,12,9,0.5714285714285714,4,0.5,0.6435185185185186,0.7488525234655264,0.5972222222222222,0.5675057208237986,0.4166666666666667,0.7777777777777778,0.7142857142857143,0.5,0.24315082548981806,0.24686576350970535,0.6805590603153161,7,2,7,5,0.4071714743589743,0.8954166666666666,0.565623811163584,0.95445892995893,0.4269432773109244,0.7857142857142857,0.36161582985596985,0.7136363636363636,0.16013986013986015,0.5714285714285714,0.5,1.0,0.4064285714285714,1.0,0.23509615384615384,0.6666666666666666,0.18853580455140923,0.3059094382455772,0.1539269150766115,0.4547296080129622,0.3718814782520069,0.727222838891229,50
demographics,demographics,demographics_lightgbm,cv_oof,,75,,36,39,0.48,4,0.5,0.6702279202279202,0.7101041587508102,0.6175213675213675,0.6108427267847558,0.7222222222222222,0.5128205128205128,0.5777777777777777,0.6666666666666666,0.2240149240877739,0.155064190411223,0.2527891475443086,20,19,10,26,0.5575882911366196,0.8018640873015873,0.6208483605811462,0.826394161294481,0.5066403875379939,0.7249472402597403,0.5049114361943368,0.7063316018085756,0.5794981640146879,0.8363372093023256,0.3847163865546218,0.6572916666666666,0.44982822410147993,0.7226382978723405,0.40229885057471265,0.8194196428571429,0.19176963699021418,0.25961124325116514,0.0907245331617,0.22431665429568207,0.2450047491798013,0.7838286875932089,50
demographics,demographics,demographics_lightgbm,locked_test,,21,75.0,12,9,0.5714285714285714,4,0.5,0.6296296296296297,0.669866231979235,0.5972222222222222,0.5675057208237986,0.4166666666666667,0.7777777777777778,0.7142857142857143,0.5,0.24788136163680785,0.1012839161186062,0.2253305691300705,7,2,7,5,0.4168367346938775,0.8819727891156464,0.3817832341269841,0.9383145363408522,0.4381448412698413,0.8147321428571428,0.37798196043678567,0.7597254004576659,0.12901785714285713,0.6388392857142857,0.617548076923077,1.0,0.25,1.0,0.3087740384615385,0.7519230769230768,0.16387572767130554,0.3103934210914022,0.0936349852748122,0.33094500616073136,0.22233992830877788,0.789432105673443,50
eeg_rest,tabular_numeric,eeg_rest_logistic_regression,cv_oof,,77,,39,38,0.5064935064935064,533,0.5,0.5418353576248313,0.5692594532567213,0.5067476383265856,0.5064102564102564,0.48717948717948717,0.5263157894736842,0.5135135135135135,0.5,0.37672725112204963,0.3739643302579473,0.6564591017231078,20,18,20,19,0.4470876999448428,0.6466899979665027,0.4744949070644908,0.705375397685353,0.4358765701677287,0.587200752393981,0.4292782696662583,0.5842190976401503,0.35755494505494506,0.655797342192691,0.38160714285714287,0.6705882352941176,0.4166666666666667,0.6558143669985775,0.3902046783625731,0.6275418660287081,0.30332940208483566,0.4401079547796268,0.29214986418029054,0.45130725554623163,0.5996499666364911,0.7476375465905818,50
eeg_rest,tabular_numeric,eeg_rest_logistic_regression,locked_test,,19,77.0,9,10,0.47368421052631576,533,0.5,0.6666666666666667,0.6474206349206348,0.6277777777777778,0.6274509803921569,0.5555555555555556,0.7,0.625,0.6363636363636364,0.2930339999118281,0.2844599590550464,0.46910334014263466,7,3,4,5,0.3784920634920635,0.9425213675213675,0.32373018525592057,0.9696505177514793,0.3975014568764569,0.8009935897435898,0.39174052396878484,0.788888888888889,0.25803571428571426,0.865625,0.35833333333333334,1.0,0.22847222222222222,1.0,0.34487179487179487,0.8688888888888887,0.1316784201672802,0.4561137528422701,0.11779290298661098,0.4635997035893176,0.21193481819863588,0.973724434327049,50
