feature_set,cv_protocol,model,n_subjects,auroc,auroc_fold_mean,auroc_per_fold
age_only,standard_cv,logistic_regression,3597,0.6195,0.6195,"[0.6174, 0.6209, 0.6215, 0.6138, 0.6241]"
age_only,standard_cv,random_forest,3597,0.6216,0.6254,"[0.6096, 0.6381, 0.627, 0.6245, 0.6277]"
age_only,standard_cv,hist_gradient_boosting,3597,0.6238,0.6268,"[0.6096, 0.6399, 0.6271, 0.6246, 0.6327]"
age_only,group_cv,logistic_regression,3597,0.6185,0.6029,"[0.5391, 0.6084, 0.5331, 0.7184, 0.6155]"
age_only,group_cv,random_forest,3597,0.5993,0.5993,"[0.5589, 0.5807, 0.5216, 0.7087, 0.6264]"
age_only,group_cv,hist_gradient_boosting,3597,0.5735,0.5986,"[0.5589, 0.5768, 0.5221, 0.7085, 0.6264]"
sex_only,standard_cv,logistic_regression,3597,0.5893,0.5914,"[0.5989, 0.5887, 0.592, 0.5869, 0.5904]"
sex_only,standard_cv,random_forest,3597,0.5887,0.5914,"[0.5989, 0.5887, 0.592, 0.5869, 0.5904]"
sex_only,standard_cv,hist_gradient_boosting,3597,0.5883,0.5914,"[0.5989, 0.5887, 0.592, 0.5869, 0.5904]"
sex_only,group_cv,logistic_regression,3597,0.592,0.5925,"[0.6049, 0.5662, 0.5978, 0.5851, 0.6085]"
sex_only,group_cv,random_forest,3597,0.5865,0.5925,"[0.6049, 0.5662, 0.5978, 0.5851, 0.6085]"
sex_only,group_cv,hist_gradient_boosting,3597,0.5398,0.5925,"[0.6049, 0.5662, 0.5978, 0.5851, 0.6085]"
grade_only,standard_cv,logistic_regression,3597,0.6342,0.6384,"[0.63, 0.6434, 0.6436, 0.6397, 0.6352]"
grade_only,standard_cv,random_forest,3597,0.6344,0.6399,"[0.6328, 0.6434, 0.6411, 0.6397, 0.6424]"
grade_only,standard_cv,hist_gradient_boosting,3597,0.6338,0.6386,"[0.63, 0.6434, 0.6411, 0.6397, 0.6388]"
grade_only,group_cv,logistic_regression,3597,0.6178,0.6179,"[0.5776, 0.5921, 0.5585, 0.7115, 0.65]"
grade_only,group_cv,random_forest,3597,0.6214,0.6185,"[0.5776, 0.5921, 0.5585, 0.7145, 0.65]"
grade_only,group_cv,hist_gradient_boosting,3597,0.5997,0.6185,"[0.5776, 0.5921, 0.5585, 0.7145, 0.65]"
age_sex,standard_cv,logistic_regression,3597,0.6575,0.6576,"[0.6618, 0.6573, 0.6599, 0.6481, 0.661]"
age_sex,standard_cv,random_forest,3597,0.6636,0.6659,"[0.6585, 0.6722, 0.6632, 0.6614, 0.6742]"
age_sex,standard_cv,hist_gradient_boosting,3597,0.6649,0.6662,"[0.6608, 0.6719, 0.6645, 0.6593, 0.6744]"
age_sex,group_cv,logistic_regression,3597,0.6538,0.6427,"[0.5987, 0.628, 0.6082, 0.7128, 0.6656]"
age_sex,group_cv,random_forest,3597,0.6524,0.6507,"[0.638, 0.6183, 0.5979, 0.7211, 0.6781]"
age_sex,group_cv,hist_gradient_boosting,3597,0.6316,0.6509,"[0.637, 0.6155, 0.6024, 0.7226, 0.6772]"
demographics,standard_cv,logistic_regression,3597,0.6688,0.6705,"[0.6733, 0.6678, 0.6762, 0.665, 0.67]"
demographics,standard_cv,random_forest,3597,0.6708,0.6726,"[0.6695, 0.6813, 0.6672, 0.673, 0.6718]"
demographics,standard_cv,hist_gradient_boosting,3597,0.6689,0.6699,"[0.6694, 0.6771, 0.6659, 0.6686, 0.6686]"
demographics,group_cv,logistic_regression,3597,0.6596,0.6539,"[0.6173, 0.6237, 0.621, 0.7246, 0.6831]"
demographics,group_cv,random_forest,3597,0.6551,0.6523,"[0.6082, 0.6265, 0.6238, 0.7178, 0.6853]"
demographics,group_cv,hist_gradient_boosting,3597,0.643,0.6514,"[0.61, 0.6248, 0.6197, 0.716, 0.6867]"
demographics_site,standard_cv,logistic_regression,3597,0.7062,0.7063,"[0.7033, 0.6993, 0.7212, 0.6986, 0.7089]"
demographics_site,standard_cv,random_forest,3597,0.7009,0.7017,"[0.7064, 0.7001, 0.7025, 0.691, 0.7085]"
demographics_site,standard_cv,hist_gradient_boosting,3597,0.7054,0.7062,"[0.7056, 0.7025, 0.7154, 0.6942, 0.7134]"
demographics_site,group_cv,logistic_regression,3597,0.6658,0.6567,"[0.6173, 0.619, 0.6325, 0.7273, 0.6876]"
demographics_site,group_cv,random_forest,3597,0.6625,0.6576,"[0.6268, 0.6253, 0.6326, 0.7095, 0.6939]"
demographics_site,group_cv,hist_gradient_boosting,3597,0.6404,0.6575,"[0.6318, 0.6219, 0.629, 0.7184, 0.6864]"
site_proxy_only,standard_cv,logistic_regression,3597,0.6734,0.6753,"[0.6691, 0.6602, 0.7024, 0.6694, 0.6751]"
site_proxy_only,standard_cv,random_forest,3597,0.674,0.676,"[0.6687, 0.6583, 0.7044, 0.6733, 0.6751]"
site_proxy_only,standard_cv,hist_gradient_boosting,3597,0.6681,0.671,"[0.671, 0.6543, 0.7006, 0.6483, 0.6806]"
site_proxy_only,group_cv,logistic_regression,3597,0.5316,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]"
site_proxy_only,group_cv,random_forest,3597,0.534,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]"
site_proxy_only,group_cv,hist_gradient_boosting,3597,0.41,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]"
