cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,feature_count,threshold_type,outer_fold,threshold,n_subjects,n_positive,n_negative,auroc,auprc,balanced_accuracy,macro_f1,sensitivity,specificity,accuracy,brier_score,ece,positive_prediction_rate
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,no_information,no_information_prior,20260909,0,fixed_0_5,0,0.5,57,24,33,0.5,0.42105263157894735,0.5,0.36666666666666664,0.0,1.0,0.5789473684210527,0.25444735699926907,0.10334429824561409,0.0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,no_information,no_information_prior,20260909,0,inner_cv,0,0.5,57,24,33,0.5,0.42105263157894735,0.5,0.36666666666666664,0.0,1.0,0.5789473684210527,0.25444735699926907,0.10334429824561409,0.0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,no_information,no_information_prior,20260909,0,fixed_0_5,1,0.5,37,6,31,0.5,0.16216216216216217,0.5,0.45588235294117646,0.0,1.0,0.8378378378378378,0.18016715095301777,0.21047934727179995,0.0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,no_information,no_information_prior,20260909,0,inner_cv,1,0.5,37,6,31,0.5,0.16216216216216217,0.5,0.45588235294117646,0.0,1.0,0.8378378378378378,0.18016715095301777,0.21047934727179995,0.0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,no_information,no_information_prior,20260909,0,fixed_0_5,2,0.5,54,16,38,0.5,0.2962962962962963,0.5,0.41304347826086957,0.0,1.0,0.7037037037037037,0.21181678720140262,0.05754985754985742,0.0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,no_information,no_information_prior,20260909,0,inner_cv,2,0.5,54,16,38,0.5,0.2962962962962963,0.5,0.41304347826086957,0.0,1.0,0.7037037037037037,0.21181678720140262,0.05754985754985742,0.0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,no_information,no_information_prior,20260909,0,fixed_0_5,3,0.5,54,22,32,0.5,0.4074074074074074,0.5,0.37209302325581395,0.0,1.0,0.5925925925925926,0.24853824238439629,0.0843304843304844,0.0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,no_information,no_information_prior,20260909,0,inner_cv,3,0.5,54,22,32,0.5,0.4074074074074074,0.5,0.37209302325581395,0.0,1.0,0.5925925925925926,0.24853824238439629,0.0843304843304844,0.0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,no_information,no_information_prior,20260909,0,fixed_0_5,4,0.5,47,17,30,0.5,0.3617021276595745,0.5,0.38961038961038963,0.0,1.0,0.6382978723404256,0.23150212640813275,0.02506846429323778,0.0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,no_information,no_information_prior,20260909,0,inner_cv,4,0.5,47,17,30,0.5,0.3617021276595745,0.5,0.38961038961038963,0.0,1.0,0.6382978723404256,0.23150212640813275,0.02506846429323778,0.0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,logistic_regression,20260909,49,fixed_0_5,0,0.5,57,24,33,0.5631313131313131,0.5319121104620205,0.5132575757575757,0.5074074074074074,0.5416666666666666,0.48484848484848486,0.5087719298245614,0.3000901798859581,0.23608373559439602,0.5263157894736842
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,logistic_regression,20260909,49,inner_cv,0,0.7,57,24,33,0.5631313131313131,0.5319121104620205,0.5454545454545454,0.5378378378378379,0.3333333333333333,0.7575757575757576,0.5789473684210527,0.3000901798859581,0.23608373559439602,0.2807017543859649
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,logistic_regression,20260909,49,fixed_0_5,1,0.5,37,6,31,0.6021505376344085,0.31844634124045884,0.60752688172043,0.5066666666666667,0.6666666666666666,0.5483870967741935,0.5675675675675675,0.24168590457896794,0.3393774064215524,0.4864864864864865
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,logistic_regression,20260909,49,inner_cv,1,0.5,37,6,31,0.6021505376344085,0.31844634124045884,0.60752688172043,0.5066666666666667,0.6666666666666666,0.5483870967741935,0.5675675675675675,0.24168590457896794,0.3393774064215524,0.4864864864864865
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,logistic_regression,20260909,49,fixed_0_5,2,0.5,54,16,38,0.5476973684210527,0.3228669973942135,0.4588815789473684,0.4583333333333333,0.3125,0.6052631578947368,0.5185185185185185,0.2536568803933909,0.2025191317629395,0.37037037037037035
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,logistic_regression,20260909,49,inner_cv,2,0.5,54,16,38,0.5476973684210527,0.3228669973942135,0.4588815789473684,0.4583333333333333,0.3125,0.6052631578947368,0.5185185185185185,0.2536568803933909,0.2025191317629395,0.37037037037037035
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,logistic_regression,20260909,49,fixed_0_5,3,0.5,54,22,32,0.59375,0.4812173721997769,0.6164772727272727,0.6164772727272727,0.5454545454545454,0.6875,0.6296296296296297,0.2531531153928465,0.2442330270339318,0.4074074074074074
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,logistic_regression,20260909,49,inner_cv,3,0.35,54,22,32,0.59375,0.4812173721997769,0.5667613636363636,0.5356037151702786,0.7272727272727273,0.40625,0.5370370370370371,0.2531531153928465,0.2442330270339318,0.6481481481481481
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,logistic_regression,20260909,49,fixed_0_5,4,0.5,47,17,30,0.5784313725490196,0.47149115524493834,0.5352941176470588,0.5320056899004267,0.47058823529411764,0.6,0.5531914893617021,0.2740533953550998,0.17361398612015957,0.425531914893617
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,logistic_regression,20260909,49,inner_cv,4,0.6,47,17,30,0.5784313725490196,0.47149115524493834,0.5264705882352941,0.5262096774193548,0.35294117647058826,0.7,0.574468085106383,0.2740533953550998,0.17361398612015957,0.3191489361702128
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,random_forest,20260909,49,fixed_0_5,0,0.5,57,24,33,0.4595959595959596,0.3906936251244678,0.4602272727272727,0.37565922920892497,0.041666666666666664,0.8787878787878788,0.5263157894736842,0.26490363094306324,0.17464109633355318,0.08771929824561403
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,random_forest,20260909,49,inner_cv,0,0.35,57,24,33,0.4595959595959596,0.3906936251244678,0.5246212121212122,0.5086206896551724,0.625,0.42424242424242425,0.5087719298245614,0.26490363094306324,0.17464109633355318,0.5964912280701754
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,random_forest,20260909,49,fixed_0_5,1,0.5,37,6,31,0.564516129032258,0.3123404917522564,0.6021505376344086,0.6021505376344086,0.3333333333333333,0.8709677419354839,0.7837837837837838,0.20601273368376766,0.2645617559649297,0.16216216216216217
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,random_forest,20260909,49,inner_cv,1,0.7,37,6,31,0.564516129032258,0.3123404917522564,0.5,0.45588235294117646,0.0,1.0,0.8378378378378378,0.20601273368376766,0.2645617559649297,0.0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,random_forest,20260909,49,fixed_0_5,2,0.5,54,16,38,0.48848684210526316,0.29753884561074645,0.5016447368421053,0.4934333958724203,0.1875,0.8157894736842105,0.6296296296296297,0.23413707947328832,0.1444908598620226,0.18518518518518517
