cohort_name,modality,device,task,feature_set,n_subjects,feature_count,numeric_count,categorical_count
eye_tobii_free_viewing_native,eye,tobii,free_viewing,no_information,249,0,0,0
eye_tobii_free_viewing_native,eye,tobii,free_viewing,demographics,249,3,1,2
eye_tobii_free_viewing_native,eye,tobii,free_viewing,qc,249,21,21,0
eye_tobii_free_viewing_native,eye,tobii,free_viewing,qc_demographics,249,24,22,2
eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal,249,121,121,0
eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_qc,249,142,142,0
eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_demographics,249,124,122,2
eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_qc_demographics,249,145,143,2
eye_tobii_free_viewing_native,eye,tobii,free_viewing,age_only,249,1,1,0
eye_tobii_free_viewing_native,eye,tobii,free_viewing,sex_only,249,1,0,1
eye_tobii_free_viewing_native,eye,tobii,free_viewing,grade_only,249,1,0,1
eye_tobii_free_viewing_native,eye,tobii,free_viewing,grade_group_only,249,1,0,1
eye_tobii_free_viewing_native,eye,tobii,free_viewing,age_sex,249,2,1,1
eye_tobii_free_viewing_native,eye,tobii,free_viewing,age_grade,249,2,1,1
eye_tobii_free_viewing_native,eye,tobii,free_viewing,sex_grade,249,2,0,2
eye_tobii_free_viewing_native,eye,tobii,free_viewing,age_sex_grade,249,3,1,2
eye_tobii_free_viewing_native,eye,tobii,free_viewing,age_sex_grade_group,249,4,1,3
eye_tobii_free_viewing_native,eye,tobii,free_viewing,group_proxy_only,249,4,0,4
eye_tobii_free_viewing_native,eye,tobii,free_viewing,fnirs_device_only,249,1,0,1
eye_tobii_free_viewing_native,eye,tobii,free_viewing,demographics_group,249,7,1,6
eye_tobii_free_viewing_native,eye,tobii,free_viewing,demographics_group_device,249,8,1,7
eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_absolute,249,75,75,0
eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast,249,46,46,0
eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_absolute_demographics,249,78,76,2
eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,249,49,47,2
eye_tobii_saccade_native,eye,tobii,saccade,no_information,253,0,0,0
eye_tobii_saccade_native,eye,tobii,saccade,demographics,253,3,1,2
eye_tobii_saccade_native,eye,tobii,saccade,qc,253,15,15,0
eye_tobii_saccade_native,eye,tobii,saccade,qc_demographics,253,18,16,2
eye_tobii_saccade_native,eye,tobii,saccade,signal,253,27,27,0
eye_tobii_saccade_native,eye,tobii,saccade,signal_qc,253,42,42,0
eye_tobii_saccade_native,eye,tobii,saccade,signal_demographics,253,30,28,2
eye_tobii_saccade_native,eye,tobii,saccade,signal_qc_demographics,253,45,43,2
eye_tobii_saccade_native,eye,tobii,saccade,age_only,253,1,1,0
eye_tobii_saccade_native,eye,tobii,saccade,sex_only,253,1,0,1
eye_tobii_saccade_native,eye,tobii,saccade,grade_only,253,1,0,1
eye_tobii_saccade_native,eye,tobii,saccade,grade_group_only,253,1,0,1
