cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,feature_count,outer_fold,pca_used,pca_n_components,pca_explained_variance_ratio_sum,visual_branch_feature_count,nonvisual_branch_feature_count
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,logistic_regression,20260909,49,0,0,0,,0,0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,logistic_regression,20260909,49,1,0,0,,0,0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,logistic_regression,20260909,49,2,0,0,,0,0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,logistic_regression,20260909,49,3,0,0,,0,0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,logistic_regression,20260909,49,4,0,0,,0,0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,random_forest,20260909,49,0,0,0,,0,0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,random_forest,20260909,49,1,0,0,,0,0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,random_forest,20260909,49,2,0,0,,0,0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,random_forest,20260909,49,3,0,0,,0,0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,random_forest,20260909,49,4,0,0,,0,0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,hist_gradient_boosting,20260909,49,0,0,0,,0,0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,hist_gradient_boosting,20260909,49,1,0,0,,0,0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,hist_gradient_boosting,20260909,49,2,0,0,,0,0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,hist_gradient_boosting,20260909,49,3,0,0,,0,0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,hist_gradient_boosting,20260909,49,4,0,0,,0,0
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,logistic_regression,20260909,27,0,0,0,,0,0
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,logistic_regression,20260909,27,1,0,0,,0,0
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,logistic_regression,20260909,27,2,0,0,,0,0
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,logistic_regression,20260909,27,3,0,0,,0,0
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,logistic_regression,20260909,27,4,0,0,,0,0
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,random_forest,20260909,27,0,0,0,,0,0
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,random_forest,20260909,27,1,0,0,,0,0
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,random_forest,20260909,27,2,0,0,,0,0
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,random_forest,20260909,27,3,0,0,,0,0
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,random_forest,20260909,27,4,0,0,,0,0
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,hist_gradient_boosting,20260909,27,0,0,0,,0,0
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,hist_gradient_boosting,20260909,27,1,0,0,,0,0
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,hist_gradient_boosting,20260909,27,2,0,0,,0,0
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,hist_gradient_boosting,20260909,27,3,0,0,,0,0
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,hist_gradient_boosting,20260909,27,4,0,0,,0,0
standard_cv,eye_tobii_smooth_pursuit_native,eye,tobii,smooth_pursuit,signal_contrast,logistic_regression,20260909,3,0,0,0,,0,0
