cohort_name,modality,device,task,model,seed,model_a,model_b,n_subjects,auroc_diff,auroc_diff_ci_low,auroc_diff_ci_high,auprc_diff,auprc_diff_ci_low,auprc_diff_ci_high,fold_direction_consistency,folds_compared,n_bootstrap
core3_same_cohort,eeg,,rest,hist_gradient_boosting,20260707,modality,demographics,661,-0.0636978408539543,-0.12985489439747228,0.00036266176608779576,-0.03510653750048193,-0.08524444076072674,0.012812035411888913,0,5,1000
core3_same_cohort,eeg,,rest,hist_gradient_boosting,20260707,modality_demographics,modality,661,0.004230349344978179,-0.019446356741137438,0.027284525545966477,0.005595561043741426,-0.013091295395980343,0.02489825972553489,3,5,1000
core3_same_cohort,eeg,,rest,logistic_regression,20260707,modality,demographics,661,-0.061084829370855465,-0.1251348319728918,-0.0006328626217790077,-0.036680903903600626,-0.09008005932815973,0.022014350166454415,1,5,1000
core3_same_cohort,eeg,,rest,logistic_regression,20260707,modality_demographics,modality,661,0.03897784247129221,0.012607477882890055,0.06421330884291222,0.025002431206319398,0.0012656551901394685,0.04859511873294484,4,5,1000
core3_same_cohort,eeg,,rest,random_forest,20260707,modality,demographics,661,-0.057804666019731554,-0.12117551964570468,0.0072536224695396246,-0.019260285781311837,-0.07200424257687416,0.03751713617996614,1,5,1000
core3_same_cohort,eeg,,rest,random_forest,20260707,modality_demographics,modality,661,0.01175602458353553,-0.01735148485467682,0.03989609925899933,0.004535737578838628,-0.020769109185124472,0.031041370101603138,4,5,1000
core3_same_cohort,face,,self_intro,hist_gradient_boosting,20260707,modality,demographics,661,-0.000550905709202576,-0.06023858392744282,0.054839178492992136,0.04401286452814851,-0.00915747718695304,0.10130630941888523,2,5,1000
core3_same_cohort,face,,self_intro,hist_gradient_boosting,20260707,modality_demographics,modality,661,-0.011220281416787992,-0.04591648039871908,0.022244345802100773,-0.019054033802548775,-0.05966416948977364,0.01671670708761891,2,5,1000
core3_same_cohort,face,,self_intro,logistic_regression,20260707,modality,demographics,661,-0.00842026524340922,-0.06380079053468694,0.049304842550683244,0.028721253285258375,-0.029875742363180927,0.08885807098330249,1,5,1000
core3_same_cohort,face,,self_intro,logistic_regression,20260707,modality_demographics,modality,661,0.003265000808668872,-0.0003295396476856532,0.00686299021647663,0.0025263575329281807,-0.0021251634687538185,0.007996696053345229,4,5,1000
core3_same_cohort,fnirs,yiruid,vft,hist_gradient_boosting,20260707,modality,demographics,661,-0.0022642730066310124,-0.06131249333971446,0.05124221211384089,0.02075187472456208,-0.03161979229529507,0.07336711584503577,2,5,1000
core3_same_cohort,fnirs,yiruid,vft,hist_gradient_boosting,20260707,modality_demographics,modality,661,0.0,0.0,0.0,0.0,0.0,0.0,0,5,1000
core3_same_cohort,fnirs,yiruid,vft,logistic_regression,20260707,modality,demographics,661,-0.045528060811903526,-0.10692203061055515,0.011893742517923751,-0.013086459574866705,-0.06952924194207574,0.041096151603107936,1,5,1000
core3_same_cohort,fnirs,yiruid,vft,logistic_regression,20260707,modality_demographics,modality,661,0.003649118550865249,-0.005521674197085272,0.013712083658795428,-0.0030685550589896193,-0.011883591771488868,0.006643307597682708,3,5,1000
core3_same_cohort,fnirs,yiruid,vft,random_forest,20260707,modality,demographics,661,0.02514454957140544,-0.029939927201683543,0.08446226022592467,0.05663044947034024,0.0008788670652786521,0.1180100424163168,3,5,1000
core3_same_cohort,fnirs,yiruid,vft,random_forest,20260707,modality_demographics,modality,661,-0.005640465793304128,-0.026490982628643446,0.014876501628792234,0.00018789499116989017,-0.02123799970201897,0.022733666993539643,2,5,1000
eeg_1back_native,eeg,,1back,hist_gradient_boosting,20260707,signal,demographics,1154,-0.06513407877944077,-0.11161439804302734,-0.019054547890346725,-0.02851882330090738,-0.06714886896440511,0.013567990652225831,0,5,1000
eeg_1back_native,eeg,,1back,hist_gradient_boosting,20260707,signal,qc,1154,0.028104696020419984,-0.016289836850315577,0.07321851935502498,0.023215106097601468,-0.011494991144438155,0.05995458300713122,4,5,1000
eeg_1back_native,eeg,,1back,hist_gradient_boosting,20260707,signal_qc_demographics,signal,1154,0.024223372781065122,-0.0005187812859859001,0.049489976310891394,0.00715221749358852,-0.015883361143289306,0.02910379809232213,4,5,1000
eeg_1back_native,eeg,,1back,logistic_regression,20260707,signal,demographics,1154,-0.10602303051398065,-0.15360929525600048,-0.059615131900090636,-0.061662713387170554,-0.1013759446052879,-0.019596703937600022,0,5,1000
eeg_1back_native,eeg,,1back,logistic_regression,20260707,signal,qc,1154,-0.0475620721661445,-0.09468946527104903,-0.0012436330906933045,-0.031990708286010916,-0.06970074501675651,0.005211168641024322,1,5,1000
eeg_1back_native,eeg,,1back,logistic_regression,20260707,signal_qc_demographics,signal,1154,0.03906340642765982,0.019659984426201784,0.06193064826550012,0.023933575346509195,0.008550547063598085,0.042251724135850835,5,5,1000
eeg_1back_native,eeg,,1back,random_forest,20260707,signal,demographics,1154,-0.061568192365703656,-0.11202783270871294,-0.013937698976133218,-0.028993902120287962,-0.07648907474472368,0.02035802881322496,0,5,1000
