cohort_name,modality,device,task,feature_set,model,seed,feature_count,outer_fold,pca_used,pca_n_components,pca_explained_variance_ratio_sum
eeg_rest_native,eeg,,rest,demographics,logistic_regression,20260707,4,0,0,0,
eeg_rest_native,eeg,,rest,demographics,logistic_regression,20260707,4,1,0,0,
eeg_rest_native,eeg,,rest,demographics,logistic_regression,20260707,4,2,0,0,
eeg_rest_native,eeg,,rest,demographics,logistic_regression,20260707,4,3,0,0,
eeg_rest_native,eeg,,rest,demographics,logistic_regression,20260707,4,4,0,0,
eeg_rest_native,eeg,,rest,demographics,random_forest,20260707,4,0,0,0,
eeg_rest_native,eeg,,rest,demographics,random_forest,20260707,4,1,0,0,
eeg_rest_native,eeg,,rest,demographics,random_forest,20260707,4,2,0,0,
eeg_rest_native,eeg,,rest,demographics,random_forest,20260707,4,3,0,0,
eeg_rest_native,eeg,,rest,demographics,random_forest,20260707,4,4,0,0,
eeg_rest_native,eeg,,rest,demographics,hist_gradient_boosting,20260707,4,0,0,0,
eeg_rest_native,eeg,,rest,demographics,hist_gradient_boosting,20260707,4,1,0,0,
eeg_rest_native,eeg,,rest,demographics,hist_gradient_boosting,20260707,4,2,0,0,
eeg_rest_native,eeg,,rest,demographics,hist_gradient_boosting,20260707,4,3,0,0,
eeg_rest_native,eeg,,rest,demographics,hist_gradient_boosting,20260707,4,4,0,0,
eeg_rest_native,eeg,,rest,qc,logistic_regression,20260707,16,0,0,0,
eeg_rest_native,eeg,,rest,qc,logistic_regression,20260707,16,1,0,0,
eeg_rest_native,eeg,,rest,qc,logistic_regression,20260707,16,2,0,0,
eeg_rest_native,eeg,,rest,qc,logistic_regression,20260707,16,3,0,0,
eeg_rest_native,eeg,,rest,qc,logistic_regression,20260707,16,4,0,0,
eeg_rest_native,eeg,,rest,qc,random_forest,20260707,16,0,0,0,
eeg_rest_native,eeg,,rest,qc,random_forest,20260707,16,1,0,0,
eeg_rest_native,eeg,,rest,qc,random_forest,20260707,16,2,0,0,
eeg_rest_native,eeg,,rest,qc,random_forest,20260707,16,3,0,0,
eeg_rest_native,eeg,,rest,qc,random_forest,20260707,16,4,0,0,
eeg_rest_native,eeg,,rest,qc,hist_gradient_boosting,20260707,16,0,0,0,
eeg_rest_native,eeg,,rest,qc,hist_gradient_boosting,20260707,16,1,0,0,
eeg_rest_native,eeg,,rest,qc,hist_gradient_boosting,20260707,16,2,0,0,
eeg_rest_native,eeg,,rest,qc,hist_gradient_boosting,20260707,16,3,0,0,
eeg_rest_native,eeg,,rest,qc,hist_gradient_boosting,20260707,16,4,0,0,
eeg_rest_native,eeg,,rest,signal,logistic_regression,20260707,217,0,0,0,
eeg_rest_native,eeg,,rest,signal,logistic_regression,20260707,217,1,0,0,
eeg_rest_native,eeg,,rest,signal,logistic_regression,20260707,217,2,0,0,
eeg_rest_native,eeg,,rest,signal,logistic_regression,20260707,217,3,0,0,
eeg_rest_native,eeg,,rest,signal,logistic_regression,20260707,217,4,0,0,
eeg_rest_native,eeg,,rest,signal,random_forest,20260707,217,0,0,0,
eeg_rest_native,eeg,,rest,signal,random_forest,20260707,217,1,0,0,
eeg_rest_native,eeg,,rest,signal,random_forest,20260707,217,2,0,0,
eeg_rest_native,eeg,,rest,signal,random_forest,20260707,217,3,0,0,
eeg_rest_native,eeg,,rest,signal,random_forest,20260707,217,4,0,0,
eeg_rest_native,eeg,,rest,signal,hist_gradient_boosting,20260707,217,0,0,0,
eeg_rest_native,eeg,,rest,signal,hist_gradient_boosting,20260707,217,1,0,0,
eeg_rest_native,eeg,,rest,signal,hist_gradient_boosting,20260707,217,2,0,0,
eeg_rest_native,eeg,,rest,signal,hist_gradient_boosting,20260707,217,3,0,0,
eeg_rest_native,eeg,,rest,signal,hist_gradient_boosting,20260707,217,4,0,0,
eeg_rest_native,eeg,,rest,signal_qc,logistic_regression,20260707,233,0,0,0,
eeg_rest_native,eeg,,rest,signal_qc,logistic_regression,20260707,233,1,0,0,
eeg_rest_native,eeg,,rest,signal_qc,logistic_regression,20260707,233,2,0,0,
eeg_rest_native,eeg,,rest,signal_qc,logistic_regression,20260707,233,3,0,0,
eeg_rest_native,eeg,,rest,signal_qc,logistic_regression,20260707,233,4,0,0,
eeg_rest_native,eeg,,rest,signal_qc,random_forest,20260707,233,0,0,0,
eeg_rest_native,eeg,,rest,signal_qc,random_forest,20260707,233,1,0,0,
eeg_rest_native,eeg,,rest,signal_qc,random_forest,20260707,233,2,0,0,
eeg_rest_native,eeg,,rest,signal_qc,random_forest,20260707,233,3,0,0,
eeg_rest_native,eeg,,rest,signal_qc,random_forest,20260707,233,4,0,0,
eeg_rest_native,eeg,,rest,signal_qc,hist_gradient_boosting,20260707,233,0,0,0,
eeg_rest_native,eeg,,rest,signal_qc,hist_gradient_boosting,20260707,233,1,0,0,
eeg_rest_native,eeg,,rest,signal_qc,hist_gradient_boosting,20260707,233,2,0,0,
eeg_rest_native,eeg,,rest,signal_qc,hist_gradient_boosting,20260707,233,3,0,0,
eeg_rest_native,eeg,,rest,signal_qc,hist_gradient_boosting,20260707,233,4,0,0,
eeg_rest_native,eeg,,rest,signal_demographics,logistic_regression,20260707,221,0,0,0,
eeg_rest_native,eeg,,rest,signal_demographics,logistic_regression,20260707,221,1,0,0,
eeg_rest_native,eeg,,rest,signal_demographics,logistic_regression,20260707,221,2,0,0,
eeg_rest_native,eeg,,rest,signal_demographics,logistic_regression,20260707,221,3,0,0,
eeg_rest_native,eeg,,rest,signal_demographics,logistic_regression,20260707,221,4,0,0,
eeg_rest_native,eeg,,rest,signal_demographics,random_forest,20260707,221,0,0,0,
eeg_rest_native,eeg,,rest,signal_demographics,random_forest,20260707,221,1,0,0,
eeg_rest_native,eeg,,rest,signal_demographics,random_forest,20260707,221,2,0,0,
eeg_rest_native,eeg,,rest,signal_demographics,random_forest,20260707,221,3,0,0,
eeg_rest_native,eeg,,rest,signal_demographics,random_forest,20260707,221,4,0,0,
eeg_rest_native,eeg,,rest,signal_demographics,hist_gradient_boosting,20260707,221,0,0,0,
eeg_rest_native,eeg,,rest,signal_demographics,hist_gradient_boosting,20260707,221,1,0,0,
eeg_rest_native,eeg,,rest,signal_demographics,hist_gradient_boosting,20260707,221,2,0,0,
eeg_rest_native,eeg,,rest,signal_demographics,hist_gradient_boosting,20260707,221,3,0,0,
eeg_rest_native,eeg,,rest,signal_demographics,hist_gradient_boosting,20260707,221,4,0,0,
eeg_rest_native,eeg,,rest,signal_qc_demographics,logistic_regression,20260707,237,0,0,0,
eeg_rest_native,eeg,,rest,signal_qc_demographics,logistic_regression,20260707,237,1,0,0,
eeg_rest_native,eeg,,rest,signal_qc_demographics,logistic_regression,20260707,237,2,0,0,
eeg_rest_native,eeg,,rest,signal_qc_demographics,logistic_regression,20260707,237,3,0,0,
eeg_rest_native,eeg,,rest,signal_qc_demographics,logistic_regression,20260707,237,4,0,0,
eeg_rest_native,eeg,,rest,signal_qc_demographics,random_forest,20260707,237,0,0,0,
eeg_rest_native,eeg,,rest,signal_qc_demographics,random_forest,20260707,237,1,0,0,
eeg_rest_native,eeg,,rest,signal_qc_demographics,random_forest,20260707,237,2,0,0,
eeg_rest_native,eeg,,rest,signal_qc_demographics,random_forest,20260707,237,3,0,0,
eeg_rest_native,eeg,,rest,signal_qc_demographics,random_forest,20260707,237,4,0,0,
eeg_rest_native,eeg,,rest,signal_qc_demographics,hist_gradient_boosting,20260707,237,0,0,0,
eeg_rest_native,eeg,,rest,signal_qc_demographics,hist_gradient_boosting,20260707,237,1,0,0,
eeg_rest_native,eeg,,rest,signal_qc_demographics,hist_gradient_boosting,20260707,237,2,0,0,
eeg_rest_native,eeg,,rest,signal_qc_demographics,hist_gradient_boosting,20260707,237,3,0,0,
eeg_rest_native,eeg,,rest,signal_qc_demographics,hist_gradient_boosting,20260707,237,4,0,0,
eeg_oddball_native,eeg,,oddball,demographics,logistic_regression,20260707,4,0,0,0,
eeg_oddball_native,eeg,,oddball,demographics,logistic_regression,20260707,4,1,0,0,
eeg_oddball_native,eeg,,oddball,demographics,logistic_regression,20260707,4,2,0,0,
eeg_oddball_native,eeg,,oddball,demographics,logistic_regression,20260707,4,3,0,0,
eeg_oddball_native,eeg,,oddball,demographics,logistic_regression,20260707,4,4,0,0,
eeg_oddball_native,eeg,,oddball,demographics,random_forest,20260707,4,0,0,0,
eeg_oddball_native,eeg,,oddball,demographics,random_forest,20260707,4,1,0,0,
eeg_oddball_native,eeg,,oddball,demographics,random_forest,20260707,4,2,0,0,
eeg_oddball_native,eeg,,oddball,demographics,random_forest,20260707,4,3,0,0,
eeg_oddball_native,eeg,,oddball,demographics,random_forest,20260707,4,4,0,0,
eeg_oddball_native,eeg,,oddball,demographics,hist_gradient_boosting,20260707,4,0,0,0,
eeg_oddball_native,eeg,,oddball,demographics,hist_gradient_boosting,20260707,4,1,0,0,
eeg_oddball_native,eeg,,oddball,demographics,hist_gradient_boosting,20260707,4,2,0,0,
eeg_oddball_native,eeg,,oddball,demographics,hist_gradient_boosting,20260707,4,3,0,0,
eeg_oddball_native,eeg,,oddball,demographics,hist_gradient_boosting,20260707,4,4,0,0,
eeg_oddball_native,eeg,,oddball,qc,logistic_regression,20260707,16,0,0,0,
eeg_oddball_native,eeg,,oddball,qc,logistic_regression,20260707,16,1,0,0,
eeg_oddball_native,eeg,,oddball,qc,logistic_regression,20260707,16,2,0,0,
eeg_oddball_native,eeg,,oddball,qc,logistic_regression,20260707,16,3,0,0,
eeg_oddball_native,eeg,,oddball,qc,logistic_regression,20260707,16,4,0,0,
eeg_oddball_native,eeg,,oddball,qc,random_forest,20260707,16,0,0,0,
eeg_oddball_native,eeg,,oddball,qc,random_forest,20260707,16,1,0,0,
eeg_oddball_native,eeg,,oddball,qc,random_forest,20260707,16,2,0,0,
eeg_oddball_native,eeg,,oddball,qc,random_forest,20260707,16,3,0,0,
eeg_oddball_native,eeg,,oddball,qc,random_forest,20260707,16,4,0,0,
eeg_oddball_native,eeg,,oddball,qc,hist_gradient_boosting,20260707,16,0,0,0,
eeg_oddball_native,eeg,,oddball,qc,hist_gradient_boosting,20260707,16,1,0,0,
eeg_oddball_native,eeg,,oddball,qc,hist_gradient_boosting,20260707,16,2,0,0,
eeg_oddball_native,eeg,,oddball,qc,hist_gradient_boosting,20260707,16,3,0,0,
eeg_oddball_native,eeg,,oddball,qc,hist_gradient_boosting,20260707,16,4,0,0,
eeg_oddball_native,eeg,,oddball,signal,logistic_regression,20260707,231,0,0,0,
eeg_oddball_native,eeg,,oddball,signal,logistic_regression,20260707,231,1,0,0,
eeg_oddball_native,eeg,,oddball,signal,logistic_regression,20260707,231,2,0,0,
eeg_oddball_native,eeg,,oddball,signal,logistic_regression,20260707,231,3,0,0,
eeg_oddball_native,eeg,,oddball,signal,logistic_regression,20260707,231,4,0,0,
eeg_oddball_native,eeg,,oddball,signal,random_forest,20260707,231,0,0,0,
eeg_oddball_native,eeg,,oddball,signal,random_forest,20260707,231,1,0,0,
eeg_oddball_native,eeg,,oddball,signal,random_forest,20260707,231,2,0,0,
eeg_oddball_native,eeg,,oddball,signal,random_forest,20260707,231,3,0,0,
eeg_oddball_native,eeg,,oddball,signal,random_forest,20260707,231,4,0,0,
eeg_oddball_native,eeg,,oddball,signal,hist_gradient_boosting,20260707,231,0,0,0,
eeg_oddball_native,eeg,,oddball,signal,hist_gradient_boosting,20260707,231,1,0,0,
eeg_oddball_native,eeg,,oddball,signal,hist_gradient_boosting,20260707,231,2,0,0,
eeg_oddball_native,eeg,,oddball,signal,hist_gradient_boosting,20260707,231,3,0,0,
eeg_oddball_native,eeg,,oddball,signal,hist_gradient_boosting,20260707,231,4,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc,logistic_regression,20260707,247,0,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc,logistic_regression,20260707,247,1,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc,logistic_regression,20260707,247,2,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc,logistic_regression,20260707,247,3,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc,logistic_regression,20260707,247,4,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc,random_forest,20260707,247,0,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc,random_forest,20260707,247,1,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc,random_forest,20260707,247,2,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc,random_forest,20260707,247,3,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc,random_forest,20260707,247,4,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc,hist_gradient_boosting,20260707,247,0,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc,hist_gradient_boosting,20260707,247,1,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc,hist_gradient_boosting,20260707,247,2,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc,hist_gradient_boosting,20260707,247,3,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc,hist_gradient_boosting,20260707,247,4,0,0,
eeg_oddball_native,eeg,,oddball,signal_demographics,logistic_regression,20260707,235,0,0,0,
eeg_oddball_native,eeg,,oddball,signal_demographics,logistic_regression,20260707,235,1,0,0,
eeg_oddball_native,eeg,,oddball,signal_demographics,logistic_regression,20260707,235,2,0,0,
eeg_oddball_native,eeg,,oddball,signal_demographics,logistic_regression,20260707,235,3,0,0,
eeg_oddball_native,eeg,,oddball,signal_demographics,logistic_regression,20260707,235,4,0,0,
eeg_oddball_native,eeg,,oddball,signal_demographics,random_forest,20260707,235,0,0,0,
eeg_oddball_native,eeg,,oddball,signal_demographics,random_forest,20260707,235,1,0,0,
eeg_oddball_native,eeg,,oddball,signal_demographics,random_forest,20260707,235,2,0,0,
eeg_oddball_native,eeg,,oddball,signal_demographics,random_forest,20260707,235,3,0,0,
eeg_oddball_native,eeg,,oddball,signal_demographics,random_forest,20260707,235,4,0,0,
eeg_oddball_native,eeg,,oddball,signal_demographics,hist_gradient_boosting,20260707,235,0,0,0,
eeg_oddball_native,eeg,,oddball,signal_demographics,hist_gradient_boosting,20260707,235,1,0,0,
eeg_oddball_native,eeg,,oddball,signal_demographics,hist_gradient_boosting,20260707,235,2,0,0,
eeg_oddball_native,eeg,,oddball,signal_demographics,hist_gradient_boosting,20260707,235,3,0,0,
eeg_oddball_native,eeg,,oddball,signal_demographics,hist_gradient_boosting,20260707,235,4,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,logistic_regression,20260707,251,0,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,logistic_regression,20260707,251,1,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,logistic_regression,20260707,251,2,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,logistic_regression,20260707,251,3,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,logistic_regression,20260707,251,4,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,random_forest,20260707,251,0,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,random_forest,20260707,251,1,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,random_forest,20260707,251,2,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,random_forest,20260707,251,3,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,random_forest,20260707,251,4,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,hist_gradient_boosting,20260707,251,0,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,hist_gradient_boosting,20260707,251,1,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,hist_gradient_boosting,20260707,251,2,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,hist_gradient_boosting,20260707,251,3,0,0,
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,hist_gradient_boosting,20260707,251,4,0,0,
eeg_1back_native,eeg,,1back,demographics,logistic_regression,20260707,4,0,0,0,
eeg_1back_native,eeg,,1back,demographics,logistic_regression,20260707,4,1,0,0,
eeg_1back_native,eeg,,1back,demographics,logistic_regression,20260707,4,2,0,0,
eeg_1back_native,eeg,,1back,demographics,logistic_regression,20260707,4,3,0,0,
eeg_1back_native,eeg,,1back,demographics,logistic_regression,20260707,4,4,0,0,
eeg_1back_native,eeg,,1back,demographics,random_forest,20260707,4,0,0,0,
eeg_1back_native,eeg,,1back,demographics,random_forest,20260707,4,1,0,0,
eeg_1back_native,eeg,,1back,demographics,random_forest,20260707,4,2,0,0,
eeg_1back_native,eeg,,1back,demographics,random_forest,20260707,4,3,0,0,
eeg_1back_native,eeg,,1back,demographics,random_forest,20260707,4,4,0,0,
eeg_1back_native,eeg,,1back,demographics,hist_gradient_boosting,20260707,4,0,0,0,
eeg_1back_native,eeg,,1back,demographics,hist_gradient_boosting,20260707,4,1,0,0,
eeg_1back_native,eeg,,1back,demographics,hist_gradient_boosting,20260707,4,2,0,0,
eeg_1back_native,eeg,,1back,demographics,hist_gradient_boosting,20260707,4,3,0,0,
eeg_1back_native,eeg,,1back,demographics,hist_gradient_boosting,20260707,4,4,0,0,
eeg_1back_native,eeg,,1back,qc,logistic_regression,20260707,16,0,0,0,
eeg_1back_native,eeg,,1back,qc,logistic_regression,20260707,16,1,0,0,
eeg_1back_native,eeg,,1back,qc,logistic_regression,20260707,16,2,0,0,
eeg_1back_native,eeg,,1back,qc,logistic_regression,20260707,16,3,0,0,
eeg_1back_native,eeg,,1back,qc,logistic_regression,20260707,16,4,0,0,
eeg_1back_native,eeg,,1back,qc,random_forest,20260707,16,0,0,0,
eeg_1back_native,eeg,,1back,qc,random_forest,20260707,16,1,0,0,
eeg_1back_native,eeg,,1back,qc,random_forest,20260707,16,2,0,0,
eeg_1back_native,eeg,,1back,qc,random_forest,20260707,16,3,0,0,
eeg_1back_native,eeg,,1back,qc,random_forest,20260707,16,4,0,0,
eeg_1back_native,eeg,,1back,qc,hist_gradient_boosting,20260707,16,0,0,0,
eeg_1back_native,eeg,,1back,qc,hist_gradient_boosting,20260707,16,1,0,0,
eeg_1back_native,eeg,,1back,qc,hist_gradient_boosting,20260707,16,2,0,0,
eeg_1back_native,eeg,,1back,qc,hist_gradient_boosting,20260707,16,3,0,0,
eeg_1back_native,eeg,,1back,qc,hist_gradient_boosting,20260707,16,4,0,0,
eeg_1back_native,eeg,,1back,signal,logistic_regression,20260707,246,0,0,0,
eeg_1back_native,eeg,,1back,signal,logistic_regression,20260707,246,1,0,0,
eeg_1back_native,eeg,,1back,signal,logistic_regression,20260707,246,2,0,0,
eeg_1back_native,eeg,,1back,signal,logistic_regression,20260707,246,3,0,0,
eeg_1back_native,eeg,,1back,signal,logistic_regression,20260707,246,4,0,0,
eeg_1back_native,eeg,,1back,signal,random_forest,20260707,246,0,0,0,
eeg_1back_native,eeg,,1back,signal,random_forest,20260707,246,1,0,0,
eeg_1back_native,eeg,,1back,signal,random_forest,20260707,246,2,0,0,
eeg_1back_native,eeg,,1back,signal,random_forest,20260707,246,3,0,0,
eeg_1back_native,eeg,,1back,signal,random_forest,20260707,246,4,0,0,
eeg_1back_native,eeg,,1back,signal,hist_gradient_boosting,20260707,246,0,0,0,
eeg_1back_native,eeg,,1back,signal,hist_gradient_boosting,20260707,246,1,0,0,
eeg_1back_native,eeg,,1back,signal,hist_gradient_boosting,20260707,246,2,0,0,
eeg_1back_native,eeg,,1back,signal,hist_gradient_boosting,20260707,246,3,0,0,
eeg_1back_native,eeg,,1back,signal,hist_gradient_boosting,20260707,246,4,0,0,
eeg_1back_native,eeg,,1back,signal_qc,logistic_regression,20260707,262,0,0,0,
eeg_1back_native,eeg,,1back,signal_qc,logistic_regression,20260707,262,1,0,0,
eeg_1back_native,eeg,,1back,signal_qc,logistic_regression,20260707,262,2,0,0,
eeg_1back_native,eeg,,1back,signal_qc,logistic_regression,20260707,262,3,0,0,
eeg_1back_native,eeg,,1back,signal_qc,logistic_regression,20260707,262,4,0,0,
eeg_1back_native,eeg,,1back,signal_qc,random_forest,20260707,262,0,0,0,
eeg_1back_native,eeg,,1back,signal_qc,random_forest,20260707,262,1,0,0,
eeg_1back_native,eeg,,1back,signal_qc,random_forest,20260707,262,2,0,0,
eeg_1back_native,eeg,,1back,signal_qc,random_forest,20260707,262,3,0,0,
eeg_1back_native,eeg,,1back,signal_qc,random_forest,20260707,262,4,0,0,
eeg_1back_native,eeg,,1back,signal_qc,hist_gradient_boosting,20260707,262,0,0,0,
eeg_1back_native,eeg,,1back,signal_qc,hist_gradient_boosting,20260707,262,1,0,0,
eeg_1back_native,eeg,,1back,signal_qc,hist_gradient_boosting,20260707,262,2,0,0,
eeg_1back_native,eeg,,1back,signal_qc,hist_gradient_boosting,20260707,262,3,0,0,
eeg_1back_native,eeg,,1back,signal_qc,hist_gradient_boosting,20260707,262,4,0,0,
eeg_1back_native,eeg,,1back,signal_demographics,logistic_regression,20260707,250,0,0,0,
eeg_1back_native,eeg,,1back,signal_demographics,logistic_regression,20260707,250,1,0,0,
eeg_1back_native,eeg,,1back,signal_demographics,logistic_regression,20260707,250,2,0,0,
eeg_1back_native,eeg,,1back,signal_demographics,logistic_regression,20260707,250,3,0,0,
eeg_1back_native,eeg,,1back,signal_demographics,logistic_regression,20260707,250,4,0,0,
eeg_1back_native,eeg,,1back,signal_demographics,random_forest,20260707,250,0,0,0,
eeg_1back_native,eeg,,1back,signal_demographics,random_forest,20260707,250,1,0,0,
eeg_1back_native,eeg,,1back,signal_demographics,random_forest,20260707,250,2,0,0,
eeg_1back_native,eeg,,1back,signal_demographics,random_forest,20260707,250,3,0,0,
eeg_1back_native,eeg,,1back,signal_demographics,random_forest,20260707,250,4,0,0,
eeg_1back_native,eeg,,1back,signal_demographics,hist_gradient_boosting,20260707,250,0,0,0,
eeg_1back_native,eeg,,1back,signal_demographics,hist_gradient_boosting,20260707,250,1,0,0,
eeg_1back_native,eeg,,1back,signal_demographics,hist_gradient_boosting,20260707,250,2,0,0,
eeg_1back_native,eeg,,1back,signal_demographics,hist_gradient_boosting,20260707,250,3,0,0,
eeg_1back_native,eeg,,1back,signal_demographics,hist_gradient_boosting,20260707,250,4,0,0,
eeg_1back_native,eeg,,1back,signal_qc_demographics,logistic_regression,20260707,266,0,0,0,
eeg_1back_native,eeg,,1back,signal_qc_demographics,logistic_regression,20260707,266,1,0,0,
eeg_1back_native,eeg,,1back,signal_qc_demographics,logistic_regression,20260707,266,2,0,0,
eeg_1back_native,eeg,,1back,signal_qc_demographics,logistic_regression,20260707,266,3,0,0,
eeg_1back_native,eeg,,1back,signal_qc_demographics,logistic_regression,20260707,266,4,0,0,
eeg_1back_native,eeg,,1back,signal_qc_demographics,random_forest,20260707,266,0,0,0,
eeg_1back_native,eeg,,1back,signal_qc_demographics,random_forest,20260707,266,1,0,0,
eeg_1back_native,eeg,,1back,signal_qc_demographics,random_forest,20260707,266,2,0,0,
eeg_1back_native,eeg,,1back,signal_qc_demographics,random_forest,20260707,266,3,0,0,
eeg_1back_native,eeg,,1back,signal_qc_demographics,random_forest,20260707,266,4,0,0,
eeg_1back_native,eeg,,1back,signal_qc_demographics,hist_gradient_boosting,20260707,266,0,0,0,
eeg_1back_native,eeg,,1back,signal_qc_demographics,hist_gradient_boosting,20260707,266,1,0,0,
eeg_1back_native,eeg,,1back,signal_qc_demographics,hist_gradient_boosting,20260707,266,2,0,0,
eeg_1back_native,eeg,,1back,signal_qc_demographics,hist_gradient_boosting,20260707,266,3,0,0,
