cohort_name,modality,device,task,feature_set,model,seed,threshold_type,threshold,n_subjects,n_positive,n_negative,auroc,auprc,balanced_accuracy,macro_f1,sensitivity,specificity,accuracy,brier_score,ece,positive_prediction_rate,auroc_fold_mean,auroc_fold_std,auprc_fold_mean,auprc_fold_std,balanced_accuracy_fold_mean,balanced_accuracy_fold_std,macro_f1_fold_mean,macro_f1_fold_std,sensitivity_fold_mean,sensitivity_fold_std,specificity_fold_mean,specificity_fold_std,accuracy_fold_mean,accuracy_fold_std,brier_score_fold_mean,brier_score_fold_std,ece_fold_mean,ece_fold_std,positive_prediction_rate_fold_mean,positive_prediction_rate_fold_std
eeg_1back_native,eeg,,1back,qc,hist_gradient_boosting,20260707,fixed_0_5,0.5,1154,338,816,0.4820291652163824,0.28372949876044984,0.48214337510151994,0.46299423037620463,0.47041420118343197,0.49387254901960786,0.48700173310225303,0.25061355096123317,0.20307567199457566,0.49566724436741766,0.4837859959183189,0.036784696370480874,0.29356401116308267,0.036360443139045524,0.4816453611044305,0.037625857547202116,0.45412430954883715,0.05226911630798426,0.4686955569339378,0.1549952369579484,0.49459516527492314,0.14326869521590227,0.4869356042236556,0.06318269975985162,0.2506197309035011,0.001190628436603284,0.20548844641893238,0.023574548982224722,0.49519708079952773,0.1423113019079089
eeg_1back_native,eeg,,1back,qc,hist_gradient_boosting,20260707,inner_cv,0.5,1154,338,816,0.4820291652163824,0.28372949876044984,0.48214337510151994,0.46299423037620463,0.47041420118343197,0.49387254901960786,0.48700173310225303,0.25061355096123317,0.20307567199457566,0.49566724436741766,0.4837859959183189,0.036784696370480874,0.29356401116308267,0.036360443139045524,0.4816453611044305,0.037625857547202116,0.45412430954883715,0.05226911630798426,0.4686955569339378,0.1549952369579484,0.49459516527492314,0.14326869521590227,0.4869356042236556,0.06318269975985162,0.2506197309035011,0.001190628436603284,0.20548844641893238,0.023574548982224722,0.49519708079952773,0.1423113019079089
eeg_1back_native,eeg,,1back,qc,logistic_regression,20260707,fixed_0_5,0.5,1154,338,816,0.5396471458405847,0.32602243101280304,0.5330882352941176,0.515564663001749,0.5,0.5661764705882353,0.5467937608318891,0.24970020688825947,0.2064566913911339,0.4532062391681109,0.5431880783925276,0.02691842293768044,0.34265509645391296,0.034984589577573,0.5334152666036228,0.023033493193567595,0.5149027286040747,0.015562716609396897,0.5009876160325935,0.048115126394952974,0.5658429171746523,0.020717820040809725,0.5467526235078507,0.01768765373252917,0.24970082587066117,0.0021918884153054197,0.20662493657591724,0.026516960037582256,0.45320849702749266,0.02355921798370031
eeg_1back_native,eeg,,1back,qc,logistic_regression,20260707,inner_cv,0.5,1154,338,816,0.5396471458405847,0.32602243101280304,0.5330882352941176,0.515564663001749,0.5,0.5661764705882353,0.5467937608318891,0.24970020688825947,0.2064566913911339,0.4532062391681109,0.5431880783925276,0.02691842293768044,0.34265509645391296,0.034984589577573,0.5334152666036228,0.023033493193567595,0.5149027286040747,0.015562716609396897,0.5009876160325935,0.048115126394952974,0.5658429171746523,0.020717820040809725,0.5467526235078507,0.01768765373252917,0.24970082587066117,0.0021918884153054197,0.20662493657591724,0.026516960037582256,0.45320849702749266,0.02355921798370031
eeg_1back_native,eeg,,1back,qc,random_forest,20260707,fixed_0_5,0.5,1154,338,816,0.49395594036431145,0.28786724695273197,0.4863564508643694,0.48570356296765416,0.31952662721893493,0.6531862745098039,0.5554592720970537,0.24327102035108122,0.17018913171683941,0.33882149046793764,0.4924233848495626,0.050712661564252984,0.2972502119259527,0.054151907441949615,0.4843267276869012,0.046738519206711536,0.483628739286185,0.04509960964861903,0.315079210221639,0.08018719307811488,0.6535742451521634,0.03772623529945813,0.5551820103210365,0.03259061559337213,0.24331773119089212,0.004778411621667545,0.17200633421543926,0.02805713385542481,0.3386303166168839,0.03352922700194004
eeg_1back_native,eeg,,1back,qc,random_forest,20260707,inner_cv,0.45,1154,338,816,0.49395594036431145,0.28786724695273197,0.5013378872258962,0.4597984750079228,0.5798816568047337,0.4227941176470588,0.46880415944540726,0.24327102035108122,0.17018913171683941,0.5779896013864818,0.4924233848495626,0.050712661564252984,0.2972502119259527,0.054151907441949615,0.5010895119829677,0.03134798550778639,0.4581003383161161,0.04103870335591206,0.5781993722473483,0.0694696789398278,0.4239796517185871,0.07292940726724637,0.46880344200131263,0.044388178921646426,0.24331773119089212,0.004778411621667545,0.17200633421543926,0.02805713385542481,0.5774511000629128,0.06610654845659274
eeg_oddball_native,eeg,,oddball,qc,hist_gradient_boosting,20260707,fixed_0_5,0.5,1827,611,1216,0.47831491192178477,0.3201063400884826,0.4884693449048152,0.4883918301230824,0.3404255319148936,0.6365131578947368,0.5374931581828134,0.25049982393203074,0.16448950288641456,0.35577449370552816,0.48023014818678844,0.01882204530418718,0.3281151135680943,0.009452639131329722,0.4881337307952399,0.02208617413894848,0.4849703794436788,0.024143441370788346,0.3403853113926843,0.08405022787733217,0.6358821501977955,0.10191571717760704,0.5375479137021463,0.04619126313967478,0.25049860379447375,0.0009961637850763258,0.16450373645557598,0.010667185411332027,0.35589598678768386,0.09410107948788224
eeg_oddball_native,eeg,,oddball,qc,hist_gradient_boosting,20260707,inner_cv,0.45,1827,611,1216,0.47831491192178477,0.3201063400884826,0.505361545998794,0.26847591928357445,0.9934533551554828,0.017269736842105265,0.3437328954570334,0.25049982393203074,0.16448950288641456,0.9863163656267104,0.48023014818678844,0.01882204530418718,0.3281151135680943,0.009452639131329722,0.5054285110338457,0.005922639256611121,0.26843646124483156,0.014438248535698056,0.9935194672131147,0.0068370284395068695,0.017337554854576692,0.009893014707263942,0.34372566442401153,0.014330840434615135,0.25049860379447375,0.0009961637850763258,0.16450373645557598,0.010667185411332027,0.9863080188498502,0.007001225599076316
eeg_oddball_native,eeg,,oddball,qc,logistic_regression,20260707,fixed_0_5,0.5,1827,611,1216,0.500728152726333,0.3362320377236232,0.49841381148247055,0.48779915335931934,0.4762684124386252,0.5205592105263158,0.5057471264367817,0.25054051397863314,0.16543565903016225,0.4783798576902025,0.5023719649860154,0.02537445153213818,0.3447049903446121,0.013939582966677865,0.4987570752778566,0.013423148025203247,0.4872669768098854,0.013679089189929456,0.4769178822723784,0.04090750266033183,0.5205962682833347,0.04502439700741329,0.505780313853655,0.020438489181192024,0.2505374408544281,0.001192474294677462,0.1655806666091336,0.010187183576452851,0.47837318422655456,0.04166176925396862
eeg_oddball_native,eeg,,oddball,qc,logistic_regression,20260707,inner_cv,0.5,1827,611,1216,0.500728152726333,0.3362320377236232,0.49841381148247055,0.48779915335931934,0.4762684124386252,0.5205592105263158,0.5057471264367817,0.25054051397863314,0.16543565903016225,0.4783798576902025,0.5023719649860154,0.02537445153213818,0.3447049903446121,0.013939582966677865,0.4987570752778566,0.013423148025203247,0.4872669768098854,0.013679089189929456,0.4769178822723784,0.04090750266033183,0.5205962682833347,0.04502439700741329,0.505780313853655,0.020438489181192024,0.2505374408544281,0.001192474294677462,0.1655806666091336,0.010187183576452851,0.47837318422655456,0.04166176925396862
