cv_protocol,cohort_name,modality,device,task,model,comparison,auroc_diff,auroc_diff_ci_low,auroc_diff_ci_high,significant_positive,significant_negative
group_cv,eeg_1back_native,eeg,,1back,hist_gradient_boosting,signal_vs_demographics,-0.0666932723890024,-0.1149851801213573,-0.0162088135847584,0,1
group_cv,eeg_1back_native,eeg,,1back,hist_gradient_boosting,signal_demographics_vs_demographics,-0.0260812642120494,-0.064666027221604,0.0111566160463006,0,0
group_cv,eeg_1back_native,eeg,,1back,hist_gradient_boosting,signal_qc_demographics_vs_qc_demographics,-0.0384658451432116,-0.0752315811528179,-0.001354591349982,0,1
group_cv,eeg_1back_native,eeg,,1back,hist_gradient_boosting,signal_qc_demographics_vs_demographics,-0.033887842524749,-0.0722068252723886,0.0037037073470398,0,0
group_cv,eeg_1back_native,eeg,,1back,logistic_regression,signal_vs_demographics,-0.0763833061533866,-0.1228089447963551,-0.0317673083963165,0,1
group_cv,eeg_1back_native,eeg,,1back,logistic_regression,signal_demographics_vs_demographics,-0.0355329949238577,-0.0683345010838111,-0.0043228663121733,0,1
group_cv,eeg_1back_native,eeg,,1back,logistic_regression,signal_qc_demographics_vs_qc_demographics,-0.0256663872108779,-0.0589301667433143,0.008522140354684,0,0
group_cv,eeg_1back_native,eeg,,1back,logistic_regression,signal_qc_demographics_vs_demographics,-0.0413584996669498,-0.0764878310620268,-0.0088159977434484,0,1
group_cv,eeg_1back_native,eeg,,1back,random_forest,signal_vs_demographics,-0.0941699014631231,-0.1426716921148247,-0.0421233666226925,0,1
group_cv,eeg_1back_native,eeg,,1back,random_forest,signal_demographics_vs_demographics,-0.0702735604198726,-0.1144673454478261,-0.0274747217045502,0,1
group_cv,eeg_1back_native,eeg,,1back,random_forest,signal_qc_demographics_vs_qc_demographics,-0.0553753129522015,-0.0943437559391633,-0.0138473338573812,0,1
group_cv,eeg_1back_native,eeg,,1back,random_forest,signal_qc_demographics_vs_demographics,-0.0598485196499527,-0.1030834935945649,-0.0198308926637428,0,1
group_cv,eeg_oddball_native,eeg,,oddball,hist_gradient_boosting,signal_vs_demographics,-0.0721575667253759,-0.1106336050726251,-0.035766363083421,0,1
group_cv,eeg_oddball_native,eeg,,oddball,hist_gradient_boosting,signal_demographics_vs_demographics,-0.0516156347378404,-0.0824493916063082,-0.0220178895255647,0,1
group_cv,eeg_oddball_native,eeg,,oddball,hist_gradient_boosting,signal_qc_demographics_vs_qc_demographics,-0.0170891478119494,-0.0475499679648947,0.0125459300909805,0,0
group_cv,eeg_oddball_native,eeg,,oddball,hist_gradient_boosting,signal_qc_demographics_vs_demographics,-0.0440191031025606,-0.0723874507994424,-0.0140802212714262,0,1
group_cv,eeg_oddball_native,eeg,,oddball,logistic_regression,signal_vs_demographics,-0.0701320959219616,-0.1062523594183612,-0.0328454679729683,0,1
group_cv,eeg_oddball_native,eeg,,oddball,logistic_regression,signal_demographics_vs_demographics,-0.0391877794336809,-0.0652457070244423,-0.0129507323314558,0,1
group_cv,eeg_oddball_native,eeg,,oddball,logistic_regression,signal_qc_demographics_vs_qc_demographics,-0.0339750711285734,-0.0601870086527679,-0.007516931062593,0,1
group_cv,eeg_oddball_native,eeg,,oddball,logistic_regression,signal_qc_demographics_vs_demographics,-0.0421047283565911,-0.0695527496587953,-0.0147859109592392,0,1
group_cv,eeg_oddball_native,eeg,,oddball,random_forest,signal_vs_demographics,-0.0970322449532582,-0.1338151845913846,-0.0575426121831412,0,1
group_cv,eeg_oddball_native,eeg,,oddball,random_forest,signal_demographics_vs_demographics,-0.0485198482590433,-0.0820781792142984,-0.018229941422594,0,1
group_cv,eeg_oddball_native,eeg,,oddball,random_forest,signal_qc_demographics_vs_qc_demographics,-0.0456916406990922,-0.0784709370640159,-0.0141371577492107,0,1
group_cv,eeg_oddball_native,eeg,,oddball,random_forest,signal_qc_demographics_vs_demographics,-0.0601402249017747,-0.0911345006147037,-0.0274731431027135,0,1
group_cv,eeg_rest_native,eeg,,rest,hist_gradient_boosting,signal_vs_demographics,-0.0443633765042169,-0.1003762033845282,0.0062510990363414,0,0
group_cv,eeg_rest_native,eeg,,rest,hist_gradient_boosting,signal_demographics_vs_demographics,0.0009704626460104,-0.04544114619891,0.0472667282197994,0,0
group_cv,eeg_rest_native,eeg,,rest,hist_gradient_boosting,signal_qc_demographics_vs_qc_demographics,-0.0056573561068566,-0.0487926730069713,0.036159432467891,0,0
group_cv,eeg_rest_native,eeg,,rest,hist_gradient_boosting,signal_qc_demographics_vs_demographics,-0.0072123019373963,-0.0496149796077684,0.038040413722973,0,0
group_cv,eeg_rest_native,eeg,,rest,logistic_regression,signal_vs_demographics,-0.1235641564032888,-0.1756668574511193,-0.071072790781153,0,1
group_cv,eeg_rest_native,eeg,,rest,logistic_regression,signal_demographics_vs_demographics,-0.0454816141440518,-0.0813692873495225,-0.0143986833654463,0,1
group_cv,eeg_rest_native,eeg,,rest,logistic_regression,signal_qc_demographics_vs_qc_demographics,-0.0303181353001377,-0.0632748297229865,0.0027722589227954,0,0
group_cv,eeg_rest_native,eeg,,rest,logistic_regression,signal_qc_demographics_vs_demographics,-0.0459800790485936,-0.0782131808359267,-0.013703966137534,0,1
group_cv,eeg_rest_native,eeg,,rest,random_forest,signal_vs_demographics,-0.0599040124219218,-0.1111260465845724,-0.003644812499885,0,1
group_cv,eeg_rest_native,eeg,,rest,random_forest,signal_demographics_vs_demographics,-0.0307460211031512,-0.0714609650078562,0.0125988855754382,0,0
group_cv,eeg_rest_native,eeg,,rest,random_forest,signal_qc_demographics_vs_qc_demographics,-0.0645666443166177,-0.1103492276946683,-0.0220738827426656,0,1
group_cv,eeg_rest_native,eeg,,rest,random_forest,signal_qc_demographics_vs_demographics,-0.0451441578148709,-0.0889527287637785,-0.0003292657446328,0,1
group_cv,face_segment_raw,face,,task,hist_gradient_boosting,face_vs_demographics,-0.0508218593233001,-0.0717871019883501,-0.0298980847856551,0,1
group_cv,face_segment_raw,face,,task,hist_gradient_boosting,face_demographics_vs_demographics,-0.0154147885415896,-0.0298208587827527,-0.0018919608259498,0,1
group_cv,face_segment_raw,face,,task,hist_gradient_boosting,face_vs_background,0.0511094279826268,0.0278053114729783,0.0767637794894941,1,0
group_cv,face_segment_raw,face,,task,hist_gradient_boosting,face_demographics_vs_background_demographics,0.0002186014433853,-0.01279658856317,0.0123840108930715,0,0
group_cv,face_segment_raw,face,,task,logistic_regression,face_vs_demographics,-0.0333979900982783,-0.0539427608226462,-0.013818921309095,0,1
group_cv,face_segment_raw,face,,task,logistic_regression,face_demographics_vs_demographics,0.0023902477072504,-0.0063788009955109,0.0123118075518579,0,0
group_cv,face_segment_raw,face,,task,logistic_regression,face_vs_background,0.0581845201441743,0.035822422436601,0.0810271640876574,1,0
group_cv,face_segment_raw,face,,task,logistic_regression,face_demographics_vs_background_demographics,0.0052386347775396,-0.0051532324945391,0.0164481871250102,0,0
group_cv,face_segment_raw,face,,task,random_forest,face_vs_demographics,-0.0704695107432857,-0.0936939946999602,-0.0476171047677907,0,1
group_cv,face_segment_raw,face,,task,random_forest,face_demographics_vs_demographics,-0.0170158131973693,-0.0295574356808793,-0.0042038598921596,0,1
group_cv,face_segment_raw,face,,task,random_forest,face_vs_background,0.0427149272970599,0.0158902243584764,0.0685729537713118,1,0
group_cv,face_segment_raw,face,,task,random_forest,face_demographics_vs_background_demographics,0.0056130282355065,-0.0066831667332022,0.0183193659526199,0,0
group_cv,face_valence_contrast,face,,task,hist_gradient_boosting,face_vs_demographics,-0.1129124691084344,-0.1415185917568401,-0.0865548479837033,0,1
group_cv,face_valence_contrast,face,,task,hist_gradient_boosting,face_demographics_vs_demographics,-0.0173561335665082,-0.0292436158150243,-0.0049824740485508,0,1
group_cv,face_valence_contrast,face,,task,hist_gradient_boosting,face_vs_background,0.0352705731668268,0.0072932928348002,0.0661713986177801,1,0
group_cv,face_valence_contrast,face,,task,hist_gradient_boosting,face_demographics_vs_background_demographics,-0.0015644884520965,-0.0148197369846743,0.0117321755282455,0,0
group_cv,face_valence_contrast,face,,task,logistic_regression,face_vs_demographics,-0.1073058039196368,-0.1319095289578732,-0.0801101650544381,0,1
group_cv,face_valence_contrast,face,,task,logistic_regression,face_demographics_vs_demographics,0.005704779263857,-0.0034684732662853,0.0145564180829917,0,0
