cv_protocol,cohort_name,modality,device,task,model,seed,feature_set_a,feature_set_b,comparison,n_subjects,auroc_diff,auroc_diff_ci_low,auroc_diff_ci_high,auprc_diff,auprc_diff_ci_low,auprc_diff_ci_high,fold_direction_consistency,folds_compared,n_bootstrap,protocol_consistent_direction
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,hist_gradient_boosting,20260908,signal,demographics,signal_vs_demographics,955,-0.057388936049801886,-0.11211236491494517,-0.0016911119274884432,-0.05104825813704339,-0.09888575355702924,0.002252038464098075,1,5,1000,1
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,hist_gradient_boosting,20260908,signal_demographics,demographics,signal_demographics_vs_demographics,955,-0.00421921739833464,-0.042280834867078405,0.031239431307586912,0.01177953378588581,-0.02815532998313095,0.05681864670103823,3,5,1000,1
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,hist_gradient_boosting,20260908,signal_qc,qc,signal_qc_vs_qc,955,0.022877253617915816,-0.016172972017858944,0.06227497150102743,0.023995352329726938,-0.004082255681514023,0.06701163249296357,5,5,1000,1
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,hist_gradient_boosting,20260908,signal_qc_demographics,qc_demographics,signal_qc_demographics_vs_qc_demographics,955,-0.00421921739833464,-0.03924453000599127,0.03147489125061102,0.01177953378588581,-0.025131870247957395,0.052581039332214294,3,5,1000,1
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,hist_gradient_boosting,20260908,signal_qc_demographics,demographics,signal_qc_demographics_vs_demographics,955,-0.00421921739833464,-0.04362349558804857,0.03268195658815001,0.01177953378588581,-0.026399594025110378,0.05252323630869917,3,5,1000,1
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,hist_gradient_boosting,20260908,signal_demographics,signal,signal_demographics_vs_signal,955,0.053169718651467246,0.01857412945409135,0.08938266690940785,0.0628277919229292,0.025487077884235685,0.10156881119245675,5,5,1000,1
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,hist_gradient_boosting,20260908,signal_qc_demographics,signal_qc,signal_qc_demographics_vs_signal_qc,955,0.053169718651467246,0.01682866738487102,0.08962494927765863,0.0628277919229292,0.025103353845044345,0.0985409139002913,5,5,1000,1
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,logistic_regression,20260908,signal,demographics,signal_vs_demographics,955,-0.08146879295011744,-0.13560968633949927,-0.02792158924228627,-0.09737497735069378,-0.1515474861534305,-0.04423091511382551,0,5,1000,1
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,logistic_regression,20260908,signal_demographics,demographics,signal_demographics_vs_demographics,955,-0.012869876303662542,-0.03346344589642644,0.008101041440461577,-0.018909588398056287,-0.05208907255809074,0.020188115354154223,3,5,1000,1
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,logistic_regression,20260908,signal_qc,qc,signal_qc_vs_qc,955,-0.0017559018514027303,-0.05595804540644002,0.055275119563342655,-0.0036537209226428224,-0.039413142290794595,0.038790428065086015,4,5,1000,0
