cohort,trained_on,cv_protocol,feature_set,model,n_scored,pooled_auroc,fold_mean_auroc
behaviour_yiruid_1back_native,yiruid_1back,standard_cv,demographics,hist_gradient_boosting,342,0.5197743055555556,0.527888336928326
behaviour_yiruid_1back_native,yiruid_1back,standard_cv,demographics,random_forest,342,0.5300173611111111,0.5419913655268677
behaviour_yiruid_1back_native,yiruid_1back,standard_cv,signal,hist_gradient_boosting,342,0.5230902777777778,0.5232268943107531
behaviour_yiruid_1back_native,yiruid_1back,standard_cv,signal,random_forest,342,0.5216145833333333,0.535579863252068
behaviour_yiruid_1back_native,yiruid_1back,group_cv,demographics,hist_gradient_boosting,342,0.5526388888888889,0.5752498340495407
behaviour_yiruid_1back_native,yiruid_1back,group_cv,demographics,random_forest,342,0.5472743055555555,0.5631695314956503
behaviour_yiruid_1back_native,yiruid_1back,group_cv,signal,hist_gradient_boosting,342,0.5408506944444443,0.49538288197495833
behaviour_yiruid_1back_native,yiruid_1back,group_cv,signal,random_forest,342,0.5459548611111111,0.5315561772539029
behaviour_yiruid_oddball_native,yiruid_oddball,standard_cv,demographics,hist_gradient_boosting,342,0.4990451388888889,0.5048599419753615
behaviour_yiruid_oddball_native,yiruid_oddball,standard_cv,demographics,random_forest,342,0.5225520833333334,0.5344748697821399
behaviour_yiruid_oddball_native,yiruid_oddball,standard_cv,signal,hist_gradient_boosting,342,0.5339930555555555,0.5485539370307743
behaviour_yiruid_oddball_native,yiruid_oddball,standard_cv,signal,random_forest,342,0.54,0.5607971915308806
behaviour_yiruid_oddball_native,yiruid_oddball,group_cv,demographics,hist_gradient_boosting,342,0.520625,0.46787939231226094
behaviour_yiruid_oddball_native,yiruid_oddball,group_cv,demographics,random_forest,342,0.50140625,0.5018375875774995
behaviour_yiruid_oddball_native,yiruid_oddball,group_cv,signal,hist_gradient_boosting,342,0.4878819444444445,0.42430462054453255
behaviour_yiruid_oddball_native,yiruid_oddball,group_cv,signal,random_forest,342,0.45729166666666665,0.39317638854175907
behaviour_yiruid_doors_native,yiruid_doors,standard_cv,demographics,hist_gradient_boosting,342,0.5116493055555555,0.5257962588904864
behaviour_yiruid_doors_native,yiruid_doors,standard_cv,demographics,random_forest,342,0.5030902777777777,0.5192854415774619
behaviour_yiruid_doors_native,yiruid_doors,standard_cv,signal,hist_gradient_boosting,342,0.5360763888888889,0.5321289745355959
behaviour_yiruid_doors_native,yiruid_doors,standard_cv,signal,random_forest,342,0.5541666666666667,0.5382186678672853
behaviour_yiruid_doors_native,yiruid_doors,group_cv,demographics,hist_gradient_boosting,342,0.506892361111111,0.5306319057562638
behaviour_yiruid_doors_native,yiruid_doors,group_cv,demographics,random_forest,342,0.5112326388888888,0.5569665478810746
behaviour_yiruid_doors_native,yiruid_doors,group_cv,signal,hist_gradient_boosting,342,0.47748263888888887,0.5773246662850477
behaviour_yiruid_doors_native,yiruid_doors,group_cv,signal,random_forest,342,0.4471701388888889,0.509915718666269
behaviour_yiruid_combined_native,yiruid_combined,standard_cv,demographics,hist_gradient_boosting,342,0.49633680555555554,0.4975314001085588
behaviour_yiruid_combined_native,yiruid_combined,standard_cv,demographics,random_forest,342,0.4719097222222222,0.48578259279872177
behaviour_yiruid_combined_native,yiruid_combined,standard_cv,signal,hist_gradient_boosting,342,0.5851909722222222,0.5974520445961143
behaviour_yiruid_combined_native,yiruid_combined,standard_cv,signal,random_forest,342,0.5600868055555556,0.5859262338622029
behaviour_yiruid_combined_native,yiruid_combined,group_cv,demographics,hist_gradient_boosting,342,0.44055555555555553,0.4514638563930567
behaviour_yiruid_combined_native,yiruid_combined,group_cv,demographics,random_forest,342,0.4291840277777778,0.45510769848884297
behaviour_yiruid_combined_native,yiruid_combined,group_cv,signal,hist_gradient_boosting,342,0.5116319444444444,0.5871419407200772
behaviour_yiruid_combined_native,yiruid_combined,group_cv,signal,random_forest,342,0.5137847222222223,0.5629485835758763
