cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,outer_fold,n_subjects,selected_threshold_per_fold,predicted_positive_rate,threshold_source
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,hist_gradient_boosting,20260908,0,399,0.6,0.19298245614035087,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,hist_gradient_boosting,20260908,1,237,0.5,0.4810126582278481,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,hist_gradient_boosting,20260908,2,115,0.5,0.7391304347826086,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,hist_gradient_boosting,20260908,3,60,0.45,0.8166666666666667,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,hist_gradient_boosting,20260908,4,144,0.5,0.4861111111111111,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,logistic_regression,20260908,0,399,0.55,0.3107769423558897,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,logistic_regression,20260908,1,237,0.45,0.6962025316455697,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,logistic_regression,20260908,2,115,0.5,0.7565217391304347,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,logistic_regression,20260908,3,60,0.5,0.75,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,logistic_regression,20260908,4,144,0.5,0.4861111111111111,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,random_forest,20260908,0,399,0.55,0.19298245614035087,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,random_forest,20260908,1,237,0.45,0.6962025316455697,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,random_forest,20260908,2,115,0.5,0.7391304347826086,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,random_forest,20260908,3,60,0.45,0.8166666666666667,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,random_forest,20260908,4,144,0.5,0.4791666666666667,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_only,hist_gradient_boosting,20260908,0,399,0.45,0.8370927318295739,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_only,hist_gradient_boosting,20260908,1,237,0.5,0.510548523206751,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_only,hist_gradient_boosting,20260908,2,115,0.5,0.7043478260869566,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_only,hist_gradient_boosting,20260908,3,60,0.55,0.2833333333333333,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_only,hist_gradient_boosting,20260908,4,144,0.5,0.5,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_only,logistic_regression,20260908,0,399,0.5,0.42105263157894735,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_only,logistic_regression,20260908,1,237,0.5,0.4472573839662447,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_only,logistic_regression,20260908,2,115,0.2,1.0,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_only,logistic_regression,20260908,3,60,0.5,0.5833333333333334,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_only,logistic_regression,20260908,4,144,0.5,0.4444444444444444,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_only,random_forest,20260908,0,399,0.55,0.22305764411027568,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_only,random_forest,20260908,1,237,0.5,0.510548523206751,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_only,random_forest,20260908,2,115,0.5,0.7043478260869566,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_only,random_forest,20260908,3,60,0.5,0.7333333333333333,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_only,random_forest,20260908,4,144,0.5,0.5,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex,hist_gradient_boosting,20260908,0,399,0.4,0.8270676691729323,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex,hist_gradient_boosting,20260908,1,237,0.6,0.2911392405063291,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex,hist_gradient_boosting,20260908,2,115,0.55,0.41739130434782606,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex,hist_gradient_boosting,20260908,3,60,0.5,0.6833333333333333,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex,hist_gradient_boosting,20260908,4,144,0.4,0.7083333333333334,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex,logistic_regression,20260908,0,399,0.45,0.7293233082706767,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex,logistic_regression,20260908,1,237,0.45,0.6329113924050633,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex,logistic_regression,20260908,2,115,0.5,0.7565217391304347,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex,logistic_regression,20260908,3,60,0.5,0.7333333333333333,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex,logistic_regression,20260908,4,144,0.55,0.2847222222222222,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex,random_forest,20260908,0,399,0.3,0.8320802005012531,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex,random_forest,20260908,1,237,0.6,0.2911392405063291,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex,random_forest,20260908,2,115,0.55,0.41739130434782606,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex,random_forest,20260908,3,60,0.5,0.6666666666666666,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex,random_forest,20260908,4,144,0.6,0.25,inner_cv_outer_train_only
