cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,threshold_type,metric,ci_low,ci_high,n_bootstrap
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,0,fixed_0_5,auroc,0.5533157533629506,0.610395205686888,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,0,fixed_0_5,auprc,0.37698440506876607,0.4487843088716347,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,0,fixed_0_5,brier_score,0.23891954193466688,0.24801509587631013,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,0,fixed_0_5,ece,0.13280162500910045,0.17623557175727655,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,0,fixed_0_5,balanced_accuracy,0.543895175412062,0.5929152834575712,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,0,fixed_0_5,macro_f1,0.5307541229257483,0.576829185514966,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,0,fixed_0_5,sensitivity,0.5130656108597285,0.5945968393642812,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,0,fixed_0_5,specificity,0.5534364741525556,0.6106133855369411,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,0,fixed_0_5,accuracy,0.5494505494505495,0.5950686813186813,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,0,fixed_0_5,positive_prediction_rate,0.4401098901098901,0.48682692307692305,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,0,inner_cv,auroc,0.5533157533629506,0.610395205686888,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,0,inner_cv,auprc,0.37698440506876607,0.4487843088716347,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,0,inner_cv,brier_score,0.23891954193466688,0.24801509587631013,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,0,inner_cv,ece,0.13280162500910045,0.17623557175727655,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,0,inner_cv,balanced_accuracy,0.5345398641183214,0.5864006015144534,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,0,inner_cv,macro_f1,0.5256939046326508,0.5761480315918039,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,0,inner_cv,sensitivity,0.4827489500442087,0.5659546577629382,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,0,inner_cv,specificity,0.5691892219721661,0.6259555858377832,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,0,inner_cv,accuracy,0.5483516483516484,0.597815934065934,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,0,inner_cv,positive_prediction_rate,0.42032967032967034,0.4648489010989011,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,1,fixed_0_5,auroc,0.5760077872537467,0.6290057824697685,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,1,fixed_0_5,auprc,0.38646055262923606,0.45971852371571,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,1,fixed_0_5,brier_score,0.22042510486749936,0.23253273965074645,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,1,fixed_0_5,ece,0.07211049572616512,0.11546934355839412,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,1,fixed_0_5,balanced_accuracy,0.5472120633875117,0.589679308899821,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,1,fixed_0_5,macro_f1,0.5472187474623056,0.5918330732331064,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,1,fixed_0_5,sensitivity,0.33115715243490323,0.40422252046633234,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,1,fixed_0_5,specificity,0.7464036587372694,0.7908717575602064,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,1,fixed_0_5,accuracy,0.613173076923077,0.6554945054945055,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,1,fixed_0_5,positive_prediction_rate,0.25657967032967033,0.2956043956043956,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,1,inner_cv,auroc,0.5760077872537467,0.6290057824697685,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,1,inner_cv,auprc,0.38646055262923606,0.45971852371571,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,1,inner_cv,brier_score,0.22042510486749936,0.23253273965074645,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,1,inner_cv,ece,0.07211049572616512,0.11546934355839412,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,1,inner_cv,balanced_accuracy,0.5541008115492282,0.6012105970136448,1000
