cv_protocol,cohort_name,modality,device,task,model,seed,feature_set_a,feature_set_b,comparison,n_subjects,auroc_diff,auroc_diff_ci_low,auroc_diff_ci_high,auprc_diff,auprc_diff_ci_low,auprc_diff_ci_high,fold_direction_consistency,folds_compared,n_bootstrap,protocol_consistent_direction,comparator_auroc,comparator_above_chance,arm,p_two_sided,interval_excludes_zero_positive,folds_positive,fdr_significant,both_protocols_positive,verdict,permutation_verification_required
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,mean,demographics_eeg_deep,demographics,demographics_eeg_deep_vs_demographics,1820,-0.007841755859639532,-0.01879804982994678,0.0034200757829103657,5.100646466216219e-05,-0.00926894054630176,0.010258463782349188,0,5,1000,0,0.5909294133586235,1,exploratory,0.176,0,0,0,0,NO_INDEPENDENT_SIGNAL,0
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__difference_wave__mean_std__none,mean,demographics_eeg_deep,demographics,demographics_eeg_deep_vs_demographics,1820,-0.006638666847310626,-0.017726701003510623,0.003936398972051446,-0.0035770920106308335,-0.012404161916453979,0.006800750867789393,3,5,1000,0,0.5909294133586235,1,exploratory,0.216,0,3,0,0,NO_INDEPENDENT_SIGNAL,0
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__standard_only__mean_std__none,mean,demographics_eeg_deep,demographics,demographics_eeg_deep_vs_demographics,1820,-0.00712369597615492,-0.018725226037977154,0.0029245209183808266,-0.0017971846030384597,-0.011430455184700717,0.009553582566741105,1,5,1000,0,0.5909294133586235,1,exploratory,0.186,0,1,0,0,NO_INDEPENDENT_SIGNAL,0
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__target_only__mean_std__none,mean,demographics_eeg_deep,demographics,demographics_eeg_deep_vs_demographics,1820,-0.007592467145373316,-0.017552747260698612,0.0025941246985262357,0.001204668593063285,-0.008203674787670402,0.011516497830656476,2,5,1000,0,0.5909294133586235,1,exploratory,0.162,0,2,0,0,NO_INDEPENDENT_SIGNAL,0
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__attention__none,mean,demographics_eeg_deep,demographics,demographics_eeg_deep_vs_demographics,1820,-0.0034832678498848413,-0.014908089712941188,0.007674087874728666,0.004371685450331064,-0.006503048595634606,0.018411122769740756,4,5,1000,0,0.5909294133586235,1,exploratory,0.558,0,4,0,0,NO_INDEPENDENT_SIGNAL,0
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__none,mean,demographics_eeg_deep,demographics,demographics_eeg_deep_vs_demographics,1820,-0.0031445603576750747,-0.015002743482542843,0.009350435027787407,0.007190114348462062,-0.0052619880724237966,0.020365165336980465,3,5,1000,0,0.5909294133586235,1,confirmatory,0.626,0,3,0,0,NO_INDEPENDENT_SIGNAL,0
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__condition_aware__mean_std__robust_z,mean,demographics_eeg_deep,demographics,demographics_eeg_deep_vs_demographics,1820,-0.004637582983335609,-0.015835533772629286,0.005632089679768564,-0.0030214223980569166,-0.013837492572477282,0.009289204694465796,1,5,1000,0,0.5909294133586235,1,ablation,0.438,0,1,0,0,ABLATION_NOT_A_VERDICT,0
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__difference_wave__mean_std__none,mean,demographics_eeg_deep,demographics,demographics_eeg_deep_vs_demographics,1820,-0.006100799349681663,-0.01731362196106167,0.005371570811777697,-0.0015662857808876884,-0.012253648679442418,0.009697847761713502,3,5,1000,0,0.5909294133586235,1,exploratory,0.298,0,3,0,0,NO_INDEPENDENT_SIGNAL,0
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__standard_only__mean_std__none,mean,demographics_eeg_deep,demographics,demographics_eeg_deep_vs_demographics,1820,-0.005577834981709717,-0.016016649974046577,0.00504323518341398,0.002817177595855591,-0.0077271841574737075,0.014065479788277952,3,5,1000,0,0.5909294133586235,1,exploratory,0.292,0,3,0,0,NO_INDEPENDENT_SIGNAL,0
group_cv,eeg_oddball_goal3,eeg,,oddball,eegnet__target_only__mean_std__none,mean,demographics_eeg_deep,demographics,demographics_eeg_deep_vs_demographics,1820,-0.005706543828749466,-0.017360687053303882,0.004919394580030027,0.003553845060855765,-0.006757757298740075,0.014287691503021258,2,5,1000,0,0.5909294133586235,1,exploratory,0.314,0,2,0,0,NO_INDEPENDENT_SIGNAL,0
