cv_protocol,cohort_name,modality,device,task,model,seed,feature_set_a,feature_set_b,comparison,n_subjects,auroc_diff,auroc_diff_ci_low,auroc_diff_ci_high,auprc_diff,auprc_diff_ci_low,auprc_diff_ci_high,fold_direction_consistency,folds_compared,n_bootstrap,protocol_consistent_direction,comparator_auroc,comparator_above_chance
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,0,demographics_eeg_deep,demographics,demographics_eeg_deep_vs_demographics,1820,0.003947974529196485,-0.0005121891284636942,0.008343955772817747,-0.0013804161287331862,-0.010441003627118242,0.008077987949957444,1,5,1000,1,0.5813792169082781,1
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,0,eeg_deep,demographics,eeg_deep_vs_demographics,1820,-0.09691640699092274,-0.13399015348786267,-0.06303997542091323,-0.08599703238357215,-0.11897958388611886,-0.053643937185896884,0,5,1000,1,0.5813792169082781,1
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,0,eeg_deep,eeg_traditional,eeg_deep_vs_eeg_traditional,1820,-0.006176669827936576,-0.04267703051775034,0.030064225868655852,-0.01051145427962491,-0.037888318307367296,0.015819773991325087,1,5,1000,0,0.49063947974529193,0
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,0,demographics_eeg_deep,demographics_eeg_traditional,demographics_eeg_deep_vs_demographics_eeg_traditional,1820,-0.0007803820620512214,-0.008135506899867636,0.0070712963962330415,0.008125360078555521,-0.005357580579474004,0.022253022948947952,3,5,1000,0,0.5861075734995258,1
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,0,demographics_eeg_traditional,demographics,demographics_eeg_traditional_vs_demographics,1820,0.004728356591247707,-0.0027221841234685547,0.012540074062953018,-0.009505776207288708,-0.022622582467747697,0.003740068937342441,2,5,1000,1,0.5813792169082781,1
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,1,demographics_eeg_deep,demographics,demographics_eeg_deep_vs_demographics,1820,-0.0234663324752743,-0.03900273510324313,-0.006545020719406426,-0.011422177146462598,-0.02324465962452084,0.003193245442958811,3,5,1000,0,0.6012593144560358,1
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,1,eeg_deep,demographics,eeg_deep_vs_demographics,1820,-0.10458542202953525,-0.14553975432237456,-0.06542815758336053,-0.06612278695224866,-0.10227263990547665,-0.025329207563441338,0,5,1000,1,0.6012593144560358,1
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,1,eeg_deep,eeg_traditional,eeg_deep_vs_eeg_traditional,1820,0.006831052702885809,-0.03056531144578078,0.045235289818269735,0.03291587663348339,0.0013264912906543011,0.06678077710040917,3,5,1000,0,0.4898428397236147,0
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,1,demographics_eeg_deep,demographics_eeg_traditional,demographics_eeg_deep_vs_demographics_eeg_traditional,1820,-0.00023438558460908698,-0.005714625222840814,0.005420718808132668,-0.0009920784639037006,-0.01041072935685949,0.00950772992349038,2,5,1000,1,0.5780273675653705,1
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,1,demographics_eeg_traditional,demographics,demographics_eeg_traditional_vs_demographics,1820,-0.02323194689066521,-0.040294703054203476,-0.006770352092846238,-0.010430098682558897,-0.024849046603915015,0.003550026079833746,3,5,1000,0,0.6012593144560358,1
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,2,demographics_eeg_deep,demographics,demographics_eeg_deep_vs_demographics,1820,0.024054328681750392,0.005719775240869196,0.04381993088140118,0.02073425443194371,0.004200663531625119,0.04014001987226478,0,5,1000,1,0.557388565235063,1
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,2,eeg_deep,demographics,eeg_deep_vs_demographics,1820,-0.07746714537325566,-0.11017120974911897,-0.04580944669664761,-0.06981825563970306,-0.09796866314022284,-0.043939640513193504,0,5,1000,1,0.557388565235063,1
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,2,eeg_deep,eeg_traditional,eeg_deep_vs_eeg_traditional,1820,-0.033154044167456986,-0.06830155957637014,0.0019492980757869881,-0.02565712690988642,-0.0497323545951582,-0.000323721192578106,1,5,1000,1,0.5130754640292643,1
