cv_protocol,cohort_name,modality,device,task,model,seed,comparison,feature_set_a,feature_set_b,auroc_diff,p_two_sided
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,0,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,0.003910109721163124,0.088
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,0,eeg_deep_vs_demographics,eeg_deep,demographics,-0.09709452137267768,0.001
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,0,eeg_deep_vs_eeg_traditional,eeg_deep,eeg_traditional,-0.006574229741412196,0.71
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,0,demographics_eeg_deep_vs_demographics_eeg_traditional,demographics_eeg_deep,demographics_eeg_traditional,-0.0006205336151605123,0.872
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,0,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,0.004869219032335892,0.204
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,1,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,-0.02293852320213724,0.004
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,1,eeg_deep_vs_demographics,eeg_deep,demographics,-0.10300753357322912,0.001
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,1,eeg_deep_vs_eeg_traditional,eeg_deep,eeg_traditional,0.006705390781201637,0.724
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,1,demographics_eeg_deep_vs_demographics_eeg_traditional,demographics_eeg_deep,demographics_eeg_traditional,-0.00018505955122632978,0.958
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,1,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,-0.023830470148349103,0.002
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,2,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,0.024449466543149168,0.012
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,2,eeg_deep_vs_demographics,eeg_deep,demographics,-0.07838552709200428,0.001
