cv_protocol,cohort_name,modality,device,task,model,seed,feature_set_a,feature_set_b,comparison,n_subjects,auroc_diff,auroc_diff_ci_low,auroc_diff_ci_high,auprc_diff,auprc_diff_ci_low,auprc_diff_ci_high,fold_direction_consistency,folds_compared,n_bootstrap,protocol_consistent_direction,comparator_auroc,goal,interval_excludes_zero,comparator_above_chance,folds_at_least_4
group_cv,core3_rest_yiruidvft_selfintro_intersection,face,,self_intro,hist_gradient_boosting,20260707,modality_demographics,demographics,modality_demographics_vs_demographics,661,0.0575570111596311,0.0012303398444948,0.1127854486869501,0.0552523819084425,0.0015415120949648,0.1085110554376548,3,5,1000,1,0.5285561216238073,goal2_7,True,True,False
group_cv,core3_rest_yiruidvft_selfintro_intersection,face,,self_intro,random_forest,20260707,modality_demographics,demographics,modality_demographics_vs_demographics,661,0.0656386462882095,0.0128735276971193,0.1244668534941567,0.0856348982289192,0.0386904978517373,0.1455938342363014,4,5,1000,1,0.5307850153647097,goal2_7,True,True,True
group_cv,face_task_native,face,,task,hist_gradient_boosting,20260707,face_qc_demographics,demographics,face_qc_demographics_vs_demographics,3558,0.0234094464634303,0.0087793319848684,0.038520909287983,0.0431131158497067,0.0194001185197351,0.0689206567824728,5,5,1000,1,0.6534671987563087,goal2_7,True,True,True
group_cv,face_task_native,face,,task,logistic_regression,20260707,face_qc_demographics,demographics,face_qc_demographics_vs_demographics,3558,0.0244611200099191,0.0119133727926598,0.0375085763643425,0.0254334774159198,0.004754685123792,0.04831171179133,5,5,1000,1,0.6593970477207051,goal2_7,True,True,True
group_cv,face_two_video_native,face,,two_video,hist_gradient_boosting,20260707,face_qc_demographics,demographics,face_qc_demographics_vs_demographics,3567,0.023060730371136,0.0085759668980569,0.0379313227413073,0.0321979000166337,0.0081140344078195,0.0562226638210878,5,5,1000,1,0.6566273798056361,goal2_7,True,True,True
group_cv,face_two_video_native,face,,two_video,logistic_regression,20260707,face_qc_demographics,demographics,face_qc_demographics_vs_demographics,3567,0.0257429977275853,0.0124724396206433,0.0382157320868329,0.0329833114243565,0.0107486649572989,0.0569981285510627,4,5,1000,1,0.6598608285572958,goal2_7,True,True,True
group_cv,face_two_video_native,face,,two_video,random_forest,20260707,face_qc_demographics,demographics,face_qc_demographics_vs_demographics,3567,0.0234664921134941,0.0079282810074613,0.038274875127742,0.0259239476602995,0.0016508140312051,0.050398399863312,3,5,1000,1,0.6576791618472387,goal2_7,True,True,False
standard_cv,face_task_native,face,,task,hist_gradient_boosting,20260707,face_qc_demographics,demographics,face_qc_demographics_vs_demographics,3558,0.0220367809378194,0.0071405540920455,0.0374382348829257,0.0340040884987006,0.0057920220695571,0.0605115910443975,5,5,1000,1,0.6699894375495115,goal2_7,True,True,True
standard_cv,face_task_native,face,,task,logistic_regression,20260707,face_qc_demographics,demographics,face_qc_demographics_vs_demographics,3558,0.0222653406716444,0.0087803173313231,0.0354786855460017,0.0312929326438525,0.0078873696755465,0.0537513067770809,5,5,1000,1,0.669535512520595,goal2_7,True,True,True
standard_cv,face_two_video_native,face,,two_video,hist_gradient_boosting,20260707,face_qc_demographics,demographics,face_qc_demographics_vs_demographics,3567,0.0220360982902961,0.0069628927822189,0.0372806127491645,0.0416098133557667,0.015294218237722,0.0680375791767568,5,5,1000,1,0.6687950252345869,goal2_7,True,True,True
standard_cv,face_two_video_native,face,,two_video,logistic_regression,20260707,face_qc_demographics,demographics,face_qc_demographics_vs_demographics,3567,0.0261554539808164,0.0132983534058771,0.0410037435067201,0.033265057896386,0.0099837295277043,0.0560873055899571,5,5,1000,1,0.6693090149027251,goal2_7,True,True,True
standard_cv,face_two_video_native,face,,two_video,random_forest,20260707,face_qc_demographics,demographics,face_qc_demographics_vs_demographics,3567,0.02012258393243,0.0057523977214575,0.0361294292972892,0.0397681441717654,0.0159181410951941,0.0669034765464024,5,5,1000,1,0.6718908645960793,goal2_7,True,True,True
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,2,demographics_eeg_deep,demographics,demographics_eeg_deep_vs_demographics,1820,0.0240543286817503,0.0057197752408691,0.0438199308814011,0.0207342544319437,0.0042006635316251,0.0401400198722647,0,5,1000,1,0.557388565235063,goal3,True,True,False
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__condition_aware__mean_std__none,2,demographics_eeg_traditional,demographics,demographics_eeg_traditional_vs_demographics,1820,0.0275037257824143,0.0095205052660793,0.0461341674239166,0.0301976296300837,0.0126163830966365,0.0516105193744166,4,5,1000,1,0.557388565235063,goal3,True,True,True
